SEIX: Virtus Seix Senior Loan ETF
Inception Date: 2019-04-24
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	6190
Shares Outstanding: 250000
Expense Ratio: 0.57%
Tracks This Index: n/a
ETFdb.com Category: Total Bond Market
Issuer: Virtus
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SEIX


Holding,Symbol,Weighting
FIXED INCOME (UNCLASSFIED),Other,30.28%
U.S. Dollar,Other,10.75%
Lcpr Loan Financing Llc 25-Oct-2019 Term Loan 15-Oct-2026,Other,4.14%
Asurion Llc 14-Jul-2017 Term Loan 04-Aug-2025,Other,3.12%
Hca Inc 20-Nov-2019 Term Loan B 18-Mar-2026,Other,2.86%
Talen Energy Supply Llc 08-Jul-2019 Term Loan B 08-Jul-2026,Other,2.77%
Micro Focus International Plc 29-May-2020 Term Loan B 29-May-2025,Other,2.48%
Cwgs Group Llc 24-Oct-2016 Term Loan 08-Nov-2023,Other,2.42%
Ventia Pty Ltd 17-Jul-2019 Term Loan B 21-May-2026,Other,2.41%
Playtika Holding Corp 10-Dec-2019 Term Loan B 10-Dec-2024,Other,2.37%
Delta Air Lines Inc 23-Sep-2020 Term Loan 20-Oct-2027,Other,1.71%
Spirit Aerosystems Inc 05-Oct-2020 Term Loan B 15-Jan-2025,Other,1.67%
Pae Holding Corp 14-Oct-2020 Delayed Draw/Multi Draw Term Loan 19-Oct-2027,Other,1.66%
Granite Acquisition Inc 15-Oct-2014 Term Loan B 19-Sep-2022,Other,1.66%
Ukg Inc 25-Mar-2019 Term Loan 03-May-2026,Other,1.66%
Tech Data Corp 26-Jun-2020 Term Loan 15-Jun-2025,Other,1.66%
Milano Acquisition Corp 17-Aug-2020 Term Loan B 17-Aug-2027,Other,1.65%
Pregis Topco Llc /De/ 25-Jul-2019 Term Loan 01-Aug-2026,Other,1.65%
Ascend Learning Llc 29-Jun-2017 Term Loan B 12-Jul-2024,Other,1.65%
Radiate Holdco Llc 11-Sep-2020 Term Loan B 08-Sep-2026,Other,1.65%
Marcel Bidco Llc 22-Sep-2020 Term Loan B 15-Sep-2027,Other,1.65%
Logmein Inc 31-Aug-2020 Term Loan B 31-Aug-2027,Other,1.65%
Banijay Group Us Holding Inc 05-Feb-2020 Term Loan 04-Mar-2025,Other,1.63%
Ferro Corp 25-Apr-2018 Term Loan B-1 14-Feb-2024,Other,1.62%
Cincinnati Bell Inc 14-Mar-2018 Term Loan B 02-Oct-2024,Other,1.62%
Evertec Group Llc 27-Nov-2018 Term Loan A 27-Nov-2023,Other,1.58%
Petco Animal Supplies Inc 13-Jan-2017 Term Loan B-1 26-Jan-2023,Other,1.58%
Consolidated Energy Finance Sa 04-May-2018 Term Loan B 07-May-2025,Other,1.57%
Dell Technologies Inc 19-Sep-2019 Term Loan B 19-Sep-2025,Other,1.56%
Diamond Sports Group Llc 23-Aug-2019 Term Loan 24-Aug-2026,Other,1.47%
Iridium Communications Inc 04-Nov-2019 Term Loan B 04-Nov-2026,Other,1.23%
Barracuda Networks Inc 26-Nov-2017 Term Loan B 12-Feb-2025,Other,1.15%
Ti Fluid Systems Plc 24-Sep-2020 Term Loan B 24-Dec-2024,Other,0.83%
Camelot Finance Sa 31-Oct-2019 Term Loan B 31-Oct-2026,Other,0.66%
