SFHY: WisdomTree Fundamental U.S. Short-Term High Yield Corporate Bond Fund
Inception Date: 2016-04-27
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	14766
Shares Outstanding: 300000
Expense Ratio: 0.38%
Tracks This Index: WisdomTree Fundamental U.S. Short-term High Yield Corporate Bond Index
ETFdb.com Category: High Yield Bonds
Issuer: WisdomTree
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SFHY


Holding,Symbol,Weighting
U.S. Dollar,Other,2.69%
Carnival Corporation 11.5% 01-APR-2023,Other,2.62%
"Colt Merger Sub, Inc. 6.25% 01-JUL-2025",Other,2.56%
Tenet Healthcare Corporation 6.75% 15-JUN-2023,Other,2.5%
Tenet Healthcare Corporation 5.125% 01-MAY-2025,Other,2.45%
Goodyear Tire & Rubber Company 5.125% 15-NOV-2023,Other,2.39%
Occidental Petroleum Corporation 2.9% 15-AUG-2024,Other,2.34%
DISH DBS Corporation 5.875% 15-JUL-2022,Other,2.25%
"Community Health Systems, Inc. 8.625% 15-JAN-2024",Other,2.15%
"Delta Air Lines, Inc. 3.625% 15-MAR-2022",Other,2.12%
"Starwood Property Trust, Inc. 5.0% 15-DEC-2021",Other,2.1%
Sprint Corp. 7.875% 15-SEP-2023,Other,1.99%
DISH DBS Corporation 5.0% 15-MAR-2023,Other,1.9%
Uniti Group LP 7.875% 15-FEB-2025,Other,1.84%
Ford Motor Company 9.0% 22-APR-2025,Other,1.68%
CRC Escrow Issuer LLC 5.25% 15-OCT-2025,Other,1.67%
"Lumen Technologies, Inc. 7.5% 01-APR-2024",Other,1.63%
Ford Motor Company 8.5% 21-APR-2023,Other,1.55%
"Macy\'s, Inc. 8.375% 15-JUN-2025",Other,1.53%
Ford Motor Credit Company LLC 4.063% 01-NOV-2024,Other,1.44%
Antero Resources Corporation 5.0% 01-MAR-2025,Other,1.37%
"HCA, Inc. 5.875% 01-MAY-2023",Other,1.3%
MGM Resorts International 6.0% 15-MAR-2023,Other,1.28%
"Beacon Roofing Supply, Inc. 4.875% 01-NOV-2025",Other,1.27%
Peabody Energy Corporation 6.0% 31-MAR-2022,Other,1.25%
NCL Corporation Ltd. 12.25% 15-MAY-2024,Other,1.24%
CCO Holdings LLC 4.0% 01-MAR-2023,Other,1.22%
Sprint Corp. 7.125% 15-JUN-2024,Other,1.21%
"Macy\'s Retail Holdings, Inc. 3.625% 01-JUN-2024",Other,1.11%
MGM Growth Properties Operating Partnership LP 5.625% 01-MAY-2024,Other,1.11%
Navient Corporation 5.875% 25-OCT-2024,Other,1.07%
Sprint Corp. 7.625% 15-FEB-2025,Other,1.07%
Springleaf Finance Corporation 6.125% 15-MAR-2024,Other,1.06%
Uniti Group Inc. 7.125% 15-DEC-2024,Other,1.04%
"L Brands, Inc. 9.375% 01-JUL-2025",Other,0.93%
"XPO Logistics, Inc. 6.25% 01-MAY-2025",Other,0.92%
"Genworth Holdings, Inc. 4.9% 15-AUG-2023",Other,0.91%
Service Properties Trust 7.5% 15-SEP-2025,Other,0.91%
"Acadia Healthcare Company, Inc. 5.625% 15-FEB-2023",Other,0.9%
"Scientific Games International, Inc. 8.625% 01-JUL-2025",Other,0.89%
AMC Networks Inc. 5.0% 01-APR-2024,Other,0.87%
Prime Security Services Borrower LLC 5.25% 15-APR-2024,Other,0.86%
"ESH Hospitality, Inc. 5.25% 01-MAY-2025",Other,0.85%
"United Airlines Holdings, Inc. 4.25% 01-OCT-2022",Other,0.84%
"AmeriGas Partners, L.P. 5.5% 20-MAY-2025",Other,0.84%
NextEra Energy Operating Partners LP 4.25% 15-JUL-2024,Other,0.84%
HAT Holdings I LLC 5.25% 15-JUL-2024,Other,0.84%
"CSC Holdings, LLC 6.75% 15-NOV-2021",Other,0.83%
CFX Escrow Corp. 6.0% 15-FEB-2024,Other,0.83%
"Genworth Holdings, Inc. 4.8% 15-FEB-2024",Other,0.81%
"American Axle & Manufacturing, Inc. 6.25% 01-APR-2025",Other,0.8%
"CVR Partners, LP 9.25% 15-JUN-2023",Other,0.8%
Lions Gate Capital Holdings LLC 5.875% 01-NOV-2024,Other,0.78%
"Gap, Inc. 8.625% 15-MAY-2025",Other,0.77%
"TransDigm, Inc. 6.5% 15-JUL-2024",Other,0.75%
Sirius XM Radio Inc. 3.875% 01-AUG-2022,Other,0.75%
"Spirit AeroSystems, Inc. 7.5% 15-APR-2025",Other,0.74%
"Aramark Services, Inc. 6.375% 01-MAY-2025",Other,0.73%
"Koppers, Inc. 6.0% 15-FEB-2025",Other,0.71%
Sealed Air Corporation 4.875% 01-DEC-2022,Other,0.71%
"US Foods, Inc. 5.875% 15-JUN-2024",Other,0.7%
DISH DBS Corporation 6.75% 01-JUN-2021,Other,0.7%
"TreeHouse Foods, Inc. 6.0% 15-FEB-2024",Other,0.7%
MDC Partners Inc. 6.5% 01-MAY-2024,Other,0.7%
Crestwood Midstream Partners LP 6.25% 01-APR-2023,Other,0.69%
Terex Corporation 5.625% 01-FEB-2025,Other,0.65%
"Plantronics, Inc. 5.5% 31-MAY-2023",Other,0.64%
"Prestige Brands, Inc. 6.375% 01-MAR-2024",Other,0.63%
"Freeport-McMoRan, Inc. 3.875% 15-MAR-2023",Other,0.57%
"Stericycle, Inc. 5.375% 15-JUL-2024",Other,0.53%
"MEDNAX, Inc. 5.25% 01-DEC-2023",Other,0.53%
"Sabre GLBL, Inc. 9.25% 15-APR-2025",Other,0.53%
Cleveland-Cliffs Inc. 4.875% 15-JAN-2024,Other,0.53%
"Kennedy-Wilson Holdings, Inc. 5.875% 01-APR-2024",Other,0.52%
Nielsen Finance LLC 5.0% 15-APR-2022,Other,0.51%
Newell Brands Inc 4.35% 01-APR-2023,Other,0.51%
Realogy Group LLC 4.875% 01-JUN-2023,Other,0.5%
"Live Nation Entertainment, Inc. 4.875% 01-NOV-2024",Other,0.47%
Six Flags Entertainment Corporation 4.875% 31-JUL-2024,Other,0.44%
Cablevision Systems Corporation 5.875% 15-SEP-2022,Other,0.44%
"Vista Outdoor, Inc. 5.875% 01-OCT-2023",Other,0.42%
"Meritor, Inc. 6.25% 15-FEB-2024",Other,0.42%
CDW LLC 4.125% 01-MAY-2025,Other,0.4%
Ingram Micro Inc. 5.45% 15-DEC-2024,Other,0.39%
AECOM 5.875% 15-OCT-2024,Other,0.39%
Crown Americas LLC 4.5% 15-JAN-2023,Other,0.38%
Hanesbrands Inc. 4.625% 15-MAY-2024,Other,0.36%
BMC East LLC 5.5% 01-OCT-2024,Other,0.35%
"Molina Healthcare, Inc. 5.375% 15-NOV-2022",Other,0.34%
Hughes Satellite Systems Corp. 7.625% 15-JUN-2021,Other,0.34%
PBF Logistics LP 6.875% 15-MAY-2023,Other,0.34%
"Cinemark USA, Inc. 4.875% 01-JUN-2023",Other,0.33%
"Lamb Weston Holdings, Inc. 4.625% 01-NOV-2024",Other,0.33%
Avient Corporation 5.25% 15-MAR-2023,Other,0.32%
Xerox Corporation 4.375% 15-MAR-2023,Other,0.32%
"Magellan Health, Inc. 4.4% 22-SEP-2024",Other,0.28%
"U.S. Concrete, Inc. 6.375% 01-JUN-2024",Other,0.28%
EMC Corporation 3.375% 01-JUN-2023,Other,0.27%
Lennar Corporation 4.5% 30-APR-2024,Other,0.26%
"TRI Pointe Homes, Inc. 5.875% 15-JUN-2024",Other,0.26%
"Cogent Communications Group, Inc. 5.375% 01-MAR-2022",Other,0.25%
ADT Security Corporation 4.125% 15-JUN-2023,Other,0.24%
"T-Mobile USA, Inc. 4.0% 15-APR-2022",Other,0.22%
Huntsman International LLC 5.125% 15-NOV-2022,Other,0.21%
"Performance Food Group, Inc. 5.5% 01-JUN-2024",Other,0.18%
"Calumet Specialty Products Partners, L.P. 7.625% 15-JAN-2022",Other,0.17%
KB Home 7.625% 15-MAY-2023,Other,0.17%
"Taylor Morrison Communities, Inc. 5.625% 01-MAR-2024",Other,0.17%
"Continental Resources, Inc. 4.5% 15-APR-2023",Other,0.15%
Edgewell Personal Care Co. 4.7% 24-MAY-2022,Other,0.14%
Ferrellgas Finance Corp. 6.75% 15-JAN-2022,Other,0.13%
"Dakota Merger Sub, Inc. 7.75% 01-SEP-2023",Other,0.11%
"Newmark Group, Inc. 6.125% 15-NOV-2023",Other,0.08%
Blue Cube Spinco LLC 9.75% 15-OCT-2023,Other,0.06%
Ashland LLC 4.75% 15-AUG-2022,Other,0.04%
"Freeport-McMoRan, Inc. 3.55% 01-MAR-2022",Other,0.01%
ADT Security Corporation 3.5% 15-JUL-2022,Other,0.01%
"Lumen Technologies, Inc. 5.8% 15-MAR-2022",Other,0.01%
