SFYF: SoFi 50 ETF
Inception Date: 2019-05-08
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	6886
Shares Outstanding: 250000
Expense Ratio: 0.29%
Tracks This Index: Solactive SoFi US 50 Growth Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: SoFi ETFs
Structure: 
ETF Home Page: https://etfdb.com/etf/SFYF


Holding,Symbol,Weighting
Tesla Inc,TSLA,9.64%
Apple Inc.,AAPL,8.65%
"Amazon.com, Inc.",AMZN,7.98%
Microsoft Corporation,MSFT,4.99%
Walt Disney Company,DIS,4.7%
"Delta Air Lines, Inc.",DAL,3.71%
Boeing Company,BA,3.59%
NVIDIA Corporation,NVDA,3.57%
"Shopify, Inc. Class A",SHOP,2.76%
"Moderna, Inc.",MRNA,2.33%
"Square, Inc. Class A",SQ,2.3%
Alibaba Group Holding Ltd. Sponsored ADR,BABA,2.21%
"Zoom Video Communications, Inc. Class A",ZM,2.11%
Alphabet Inc. Class A,GOOGL,2.1%
Carnival Corporation,CCL,2.02%
"Slack Technologies, Inc. Class A",WORK,2.0%
Pfizer Inc.,PFE,1.98%
"Advanced Micro Devices, Inc.",AMD,1.91%
"Netflix, Inc.",NFLX,1.85%
AT&T Inc.,T,1.78%
"American Airlines Group, Inc.",AAL,1.76%
"Facebook, Inc. Class A",FB,1.73%
Costco Wholesale Corporation,COST,1.66%
Berkshire Hathaway Inc. Class B,BRK.B,1.63%
Exxon Mobil Corporation,XOM,1.48%
"United Airlines Holdings, Inc.",UAL,1.41%
Southwest Airlines Co.,LUV,1.29%
Ford Motor Company,F,1.16%
General Electric Company,GE,1.15%
Starbucks Corporation,SBUX,1.08%
Walmart Inc.,WMT,1.05%
"Beyond Meat, Inc.",BYND,0.98%
Virgin Galactic Holdings Inc,SPCE,0.97%
PayPal Holdings Inc,PYPL,0.97%
"Uber Technologies, Inc.",UBER,0.92%
Aurora Cannabis Inc.,ACB,0.91%
JPMorgan Chase & Co.,JPM,0.87%
Coca-Cola Company,KO,0.79%
"Roku, Inc. Class A",ROKU,0.79%
Bank of America Corp,BAC,0.73%
Johnson & Johnson,JNJ,0.67%
Target Corporation,TGT,0.57%
Canopy Growth Corporation,WEED,0.54%
Visa Inc. Class A,V,0.51%
"NIKE, Inc. Class B",NKE,0.51%
"AbbVie, Inc.",ABBV,0.49%
3M Company,MMM,0.38%
Verizon Communications Inc.,VZ,0.37%
McDonald\'s Corporation,MCD,0.28%
Cronos Group Inc,CRON,0.16%
First American Funds Inc X Government Obligations Fund,FGXXX,0.04%
U.S. Dollar,Other,-0.02%
