SHV: iShares Short Treasury Bond ETF
Inception Date: 2007-01-11
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	17289600
Shares Outstanding: 156440000
Expense Ratio: 0.15%
Tracks This Index: Barclays Capital U.S. Short Treasury Bond Index
ETFdb.com Category: Government Bonds
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SHV


Holding,Symbol,Weighting
United States Treasury Bills 0.0% 22-APR-2021,Other,11.64%
United States Treasury Bills 0.0% 28-JAN-2021,Other,10.09%
United States Treasury Bills 0.0% 26-JAN-2021,Other,7.05%
United States Treasury Bills 0.0% 23-FEB-2021,Other,7.05%
United States Treasury Notes 2.5% 15-JAN-2022,Other,6.49%
United States Treasury Bills 0.0% 01-APR-2021,Other,5.55%
United States Treasury Notes 2.25% 30-APR-2021,Other,4.73%
United States Treasury Bills 0.0% 04-FEB-2021,Other,4.11%
United States Treasury Notes 1.125% 31-AUG-2021,Other,3.91%
United States Treasury Notes 2.875% 15-OCT-2021,Other,3.58%
United States Treasury Notes 2.125% 15-AUG-2021,Other,3.52%
United States Treasury Notes 2.125% 31-JAN-2021,Other,2.55%
United States Treasury Notes 2.875% 15-NOV-2021,Other,2.32%
United States Treasury Notes 2.0% 28-FEB-2021,Other,2.31%
United States Treasury Notes 2.0% 31-AUG-2021,Other,2.12%
United States Treasury Bills 0.0% 25-FEB-2021,Other,2.09%
United States Treasury Notes 2.75% 15-AUG-2021,Other,2.08%
United States Treasury Notes 2.25% 31-MAR-2021,Other,1.92%
United States Treasury Bills 0.0% 11-MAR-2021,Other,1.84%
United States Treasury Notes 1.75% 30-NOV-2021,Other,1.57%
United States Treasury Notes 2.0% 31-OCT-2021,Other,1.57%
United States Treasury Notes 1.125% 28-FEB-2021,Other,1.46%
United States Treasury Bills 0.0% 31-DEC-2021,Other,1.37%
United States Treasury Notes 2.125% 30-SEP-2021,Other,1.29%
United States Treasury Notes 2.125% 30-JUN-2021,Other,1.19%
United States Treasury Notes 1.375% 30-APR-2021,Other,1.05%
United States Treasury Notes 2.625% 15-JUN-2021,Other,0.95%
United States Treasury Notes 2.0% 31-DEC-2021,Other,0.79%
United States Treasury Notes 2.625% 15-JUL-2021,Other,0.76%
United States Treasury Notes 2.0% 31-MAY-2021,Other,0.59%
United States Treasury Notes 1.125% 30-JUN-2021,Other,0.56%
United States Treasury Notes 2.375% 15-MAR-2021,Other,0.47%
United States Treasury Notes 2.25% 31-JUL-2021,Other,0.45%
United States Treasury Notes 1.5% 31-OCT-2021,Other,0.32%
United States Treasury Notes 1.125% 31-JUL-2021,Other,0.23%
United States Treasury Notes 1.75% 31-JUL-2021,Other,0.09%
United States Treasury Notes 2.75% 15-SEP-2021,Other,0.08%
United States Treasury Notes 2.125% 31-DEC-2021,Other,0.03%
United States Treasury Bills 0.0% 09-SEP-2021,Other,0.03%
United States Treasury Notes 3.625% 15-FEB-2021,Other,0.03%
United States Treasury Bills 0.0% 15-JUL-2021,Other,0.03%
Government of the United States of America 0.0% 06-APR-2021,Other,0.03%
United States Treasury Bills 0.0% 12-AUG-2021,Other,0.03%
MUTUAL FUND (OTHER),Other,0.01%
United States Treasury Bills 0.0% 12-JAN-2021,Other,0.01%
United States Treasury Bills 0.0% 21-JAN-2021,Other,0.01%
United States Treasury Bills 0.0% 05-JAN-2021,Other,0.01%
United States Treasury Notes 1.5% 31-AUG-2021,Other,0.01%
United States Treasury Notes 1.25% 31-MAR-2021,Other,0.01%
United States Treasury Notes 1.375% 31-JAN-2021,Other,0.01%
United States Treasury Notes 3.125% 15-MAY-2021,Other,0.01%
U.S. Dollar,Other,0.0%
United States Treasury Bills 0.0% 14-JAN-2021,Other,0.0%
United States Treasury Notes 2.5% 28-FEB-2021,Other,0.0%
United States Treasury Notes 2.5% 31-JAN-2021,Other,0.0%
