SHYD: VanEck Vectors Short High-Yield Municipal Index ETF
Inception Date: 2014-01-13
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	240613
Shares Outstanding: 9700000
Expense Ratio: 0.35%
Tracks This Index: Bloomberg Barclays Municipal Custom High Yield Composite Index
ETFdb.com Category: National Munis
Issuer: VanEck
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SHYD


Holding,Symbol,Weighting
Florida Dev Fin Corp Surface Transn Fac Rev VAR 01-JAN-2049,Other,1.91%
Illinois St 5.0% 01-NOV-2026,Other,1.18%
Florida Dev Fin Corp Surface Transn Fac Rev VAR 01-JAN-2049,Other,1.1%
California Mun Fin Auth Spl Fac Rev 4.0% 15-JUL-2029,Other,1.0%
Public Fin Auth Wis Rev 5.0% 01-DEC-2027,Other,0.94%
Ohio St Air Quality Dev Auth Rev 3.25% 01-SEP-2029,Other,0.91%
MUNICIPAL BONDS,Other,0.88%
New Jersey Economic Dev Auth Spl Fac Rev 5.25% 15-SEP-2029,Other,0.88%
Brooklyn Arena Loc Dev Corp N Y Pilot Rev 5.0% 15-JUL-2030,Other,0.88%
New York Transn Dev Corp Spl Fac Rev 5.0% 01-AUG-2031,Other,0.85%
Brooklyn Arena Loc Dev Corp N Y Pilot Rev 5.0% 15-JUL-2024,Other,0.82%
New Jersey St Transn Tr Fd Auth 5.0% 15-JUN-2031,Other,0.78%
Illinois Fin Auth Rev VAR 15-OCT-2040,Other,0.76%
Puerto Rico Sales Tax Fing Corp Sales Tax Rev 0.0% 01-JUL-2027,Other,0.75%
Brooklyn Arena Loc Dev Corp N Y Pilot Rev 5.0% 15-JUL-2023,Other,0.73%
Florida Dev Fin Corp Surface Transn Fac Rev VAR 01-JAN-2049,Other,0.72%
Houston Tex Arpt Sys Rev 5.0% 15-JUL-2028,Other,0.7%
Tulsa Okla Mun Arpt Tr Rev VAR 01-JUN-2035,Other,0.67%
Maryland St Economic Dev Corp Private Activity Rev 5.0% 31-MAR-2024,Other,0.64%
Tsasc Inc N Y 5.0% 01-JUN-2023,Other,0.64%
Puerto Rico Sales Tax Fing Corp Sales Tax Rev 0.0% 01-JUL-2024,Other,0.63%
Illinois St 5.0% 01-DEC-2025,Other,0.63%
Roanoke Va Economic Dev Auth Residential Care Fac Rev 4.3% 01-SEP-2030,Other,0.63%
Allentown Pa Neighborhood Impt Zone Dev Auth Taxrev 5.0% 01-MAY-2027,Other,0.6%
Tuscaloosa Cnty Ala Indl Dev Gulf Opportunity Zone 4.5% 01-MAY-2032,Other,0.6%
Dominion Wtr & Santn Dist Colo Tap Fee Rev 5.25% 01-DEC-2027,Other,0.59%
U.S. Dollar,Other,0.58%
Northern Calif Energy Auth Commodity Supply Rev VAR 01-JUL-2049,Other,0.58%
District Columbia Rev 4.125% 01-JUL-2027,Other,0.53%
New Jersey St Transn Tr Fd Auth 5.0% 15-DEC-2026,Other,0.53%
Chicago Ill Brd Ed 0.0% 01-DEC-2028,Other,0.51%
New Jersey St Transn Tr Fd Auth 0.0% 15-DEC-2028,Other,0.51%
Illinois Fin Auth Rev 5.0% 15-FEB-2027,Other,0.5%
Chicago Ill 5.0% 01-JAN-2025,Other,0.5%
