SHYL: Xtrackers Short Duration High Yield Bond ETF
Inception Date: 2018-01-10
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	40268
Shares Outstanding: 850000
Expense Ratio: 0.2%
Tracks This Index: Solactive USD High Yield Corporates Total Market 0-5 Year Index
ETFdb.com Category: High Yield Bonds
Issuer: DWS
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SHYL


Holding,Symbol,Weighting
U.S. Dollar,Other,2.5%
Ford Motor Credit Company LLC 3.55% 07-OCT-2022,Other,1.67%
Ford Motor Credit Company LLC 3.664% 08-SEP-2024,Other,1.41%
Sprint Corp. 7.875% 15-SEP-2023,Other,1.03%
Carnival Corporation 11.5% 01-APR-2023,Other,0.87%
"Colt Merger Sub, Inc. 6.25% 01-JUL-2025",Other,0.81%
"Delta Air Lines, Inc. 3.625% 15-MAR-2022",Other,0.75%
Occidental Petroleum Corporation 2.9% 15-AUG-2024,Other,0.75%
Ford Motor Credit Company LLC 5.875% 02-AUG-2021,Other,0.73%
VRX Escrow Corp. 6.125% 15-APR-2025,Other,0.7%
"T-Mobile USA, Inc. 6.0% 15-APR-2024",Other,0.67%
"XPO Logistics, Inc. 6.5% 15-JUN-2022",Other,0.63%
Sprint Corp. 7.125% 15-JUN-2024,Other,0.61%
CIT Group Inc. 5.0% 15-AUG-2022,Other,0.59%
CITGO Petroleum Corp. 6.25% 15-AUG-2022,Other,0.59%
"American Airlines, Inc. 11.75% 15-JUL-2025",Other,0.58%
Ford Motor Credit Company LLC 4.375% 06-AUG-2023,Other,0.57%
International Game Technology Plc 6.5% 15-FEB-2025,Other,0.56%
GTH Finance BV 7.25% 26-APR-2023,Other,0.56%
AMC Networks Inc. 5.0% 01-APR-2024,Other,0.53%
DISH DBS Corporation 5.875% 15-NOV-2024,Other,0.53%
"Sprint Communications, Inc. 6.0% 15-NOV-2022",Other,0.52%
OCI NV 4.625% 15-OCT-2025,Other,0.52%
Royal Caribbean Group 11.5% 01-JUN-2025,Other,0.51%
Jaguar Land Rover Automotive Plc 5.625% 01-FEB-2023,Other,0.51%
Uniti Group LP 7.875% 15-FEB-2025,Other,0.51%
Tenet Healthcare Corporation 6.75% 15-JUN-2023,Other,0.51%
Ardagh Packaging Finance PLC 6.0% 15-FEB-2025,Other,0.49%
"Level 3 Financing, Inc. 5.375% 15-JAN-2024",Other,0.48%
Teva Pharmaceutical Finance Netherlands III BV 7.125% 31-JAN-2025,Other,0.48%
Teva Pharmaceutical Finance Netherlands III BV 2.8% 21-JUL-2023,Other,0.48%
Bausch Health Companies Inc. 7.0% 15-MAR-2024,Other,0.47%
Intesa Sanpaolo S.p.A. 5.017% 26-JUN-2024,Other,0.46%
Ford Motor Company 9.0% 22-APR-2025,Other,0.46%
"Argos Merger Sub, Inc. 7.125% 15-MAR-2023",Other,0.46%
NCL Corporation Ltd. 12.25% 15-MAY-2024,Other,0.45%
CIT Group Inc. 5.0% 01-AUG-2023,Other,0.44%
Acrisure LLC 8.125% 15-FEB-2024,Other,0.44%
DISH DBS Corporation 5.875% 15-JUL-2022,Other,0.44%
"Aramark Services, Inc. 6.375% 01-MAY-2025",Other,0.43%
Solera LLC 10.5% 01-MAR-2024,Other,0.43%
"HCA, Inc. 5.375% 01-FEB-2025",Other,0.42%
FirstEnergy Transmission LLC 4.35% 15-JAN-2025,Other,0.41%
"Clear Channel Worldwide Holdings, Inc. 9.25% 15-FEB-2024",Other,0.41%
EQM Midstream Partners LP 4.75% 15-JUL-2023,Other,0.4%
Tenet Healthcare Corporation 4.625% 15-JUL-2024,Other,0.4%
Occidental Petroleum Corporation 3.5% 15-JUN-2025,Other,0.39%
