SJNK: SPDR Barclays Capital Short Term High Yield Bond ETF
Inception Date: 2012-03-15
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	3621220
Shares Outstanding: 134800000
Expense Ratio: 0.4%
Tracks This Index: Barclays Capital US High Yield 350mn Cash Pay 0-5 Yr 2% Capped Index
ETFdb.com Category: High Yield Bonds
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SJNK


Holding,Symbol,Weighting
State Street Institutional Liquid Reserves Fund,SSIXX,2.74%
CORPORATE BOND,Other,2.32%
Sprint Corp. 7.875% 15-SEP-2023,Other,0.73%
"Colt Merger Sub, Inc. 6.25% 01-JUL-2025",Other,0.72%
VRX Escrow Corp. 6.125% 15-APR-2025,Other,0.63%
Carnival Corporation 11.5% 01-APR-2023,Other,0.58%
Occidental Petroleum Corporation 2.9% 15-AUG-2024,Other,0.57%
Uniti Group LP 7.875% 15-FEB-2025,Other,0.55%
"HCA, Inc. 5.375% 01-FEB-2025",Other,0.53%
Bausch Health Companies Inc. 7.0% 15-MAR-2024,Other,0.49%
"American Airlines, Inc. 11.75% 15-JUL-2025",Other,0.46%
Royal Caribbean Group 11.5% 01-JUN-2025,Other,0.45%
H. J. Heinz Company 3.95% 15-JUL-2025,Other,0.44%
Solera LLC 10.5% 01-MAR-2024,Other,0.44%
Sprint Corp. 7.125% 15-JUN-2024,Other,0.43%
DISH DBS Corporation 5.875% 15-NOV-2024,Other,0.43%
"BWAY Holding Co., Inc. 5.5% 15-APR-2024",Other,0.43%
"Golden Nugget, Inc. 6.75% 15-OCT-2024",Other,0.42%
"Univision Communications, Inc. 5.125% 15-FEB-2025",Other,0.41%
Magnum Management Corp. 5.5% 01-MAY-2025,Other,0.4%
"Veritas US, Inc. 7.5% 01-SEP-2025",Other,0.4%
Royal Caribbean Group 9.125% 15-JUN-2023,Other,0.4%
Intesa Sanpaolo S.p.A. 5.017% 26-JUN-2024,Other,0.4%
DISH DBS Corporation 6.75% 01-JUN-2021,Other,0.4%
"WESCO Distribution, Inc. 7.125% 15-JUN-2025",Other,0.39%
"XPO Logistics, Inc. 6.75% 15-AUG-2024",Other,0.39%
"Community Health Systems, Inc. 8.125% 30-JUN-2024",Other,0.39%
Ford Motor Company 8.5% 21-APR-2023,Other,0.39%
