SMDV: ProShares Russell 2000 Dividend Growers ETF
Inception Date: 2015-02-05
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	664215
Shares Outstanding: 11740000
Expense Ratio: 0.4%
Tracks This Index: Russell 2000 Dividend Growth Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SMDV


Holding,Symbol,Weighting
"Healthcare Services Group, Inc.",HCSG,1.58%
"PetMed Express, Inc.",PETS,1.5%
Brady Corporation Class A,BRC,1.49%
Balchem Corporation,BCPC,1.46%
"Badger Meter, Inc.",BMI,1.45%
California Water Service Group,CWT,1.44%
Lindsay Corporation,LNN,1.42%
American States Water Company,AWR,1.41%
Avista Corporation,AVA,1.4%
"ALLETE, Inc.",ALE,1.4%
DERIVATIVE SECURITIES (OTHER),Other,1.39%
"United Bankshares, Inc.",UBSI,1.39%
International Bancshares Corporation,IBOC,1.39%
Stepan Company,SCL,1.39%
"Provident Financial Services, Inc.",PFS,1.39%
"Ensign Group, Inc.",ENSG,1.38%
Lancaster Colony Corporation,LANC,1.38%
"Washington Trust Bancorp, Inc.",WASH,1.38%
New Jersey Resources Corporation,NJR,1.36%
Atrion Corporation,ATRI,1.36%
SJW Group,SJW,1.36%
"Columbia Banking System, Inc.",COLB,1.35%
Universal Corp,UVV,1.35%
"Southside Bancshares, Inc.",SBSI,1.35%
"Northwest Bancshares, Inc.",NWBI,1.35%
Chesapeake Utilities Corporation,CPK,1.35%
Horace Mann Educators Corporation,HMN,1.35%
WD-40 Company,WDFC,1.35%
Atlantic Union Bankshares Corporation,AUB,1.35%
Tompkins Financial Corporation,TMP,1.34%
Quaker Chemical Corporation,KWR,1.34%
National HealthCare Corporation,NHC,1.34%
"Andersons, Inc.",ANDE,1.34%
Middlesex Water Company,MSEX,1.34%
BancFirst Corporation,BANF,1.34%
NorthWestern Corporation,NWE,1.33%
"Douglas Dynamics, Inc.",PLOW,1.33%
"National Health Investors, Inc.",NHI,1.33%
EQUITY OTHER,Other,1.32%
McGrath RentCorp,MGRC,1.32%
"Hillenbrand, Inc.",HI,1.32%
Black Hills Corporation,BKH,1.32%
"WesBanco, Inc.",WSBC,1.32%
Portland General Electric Company,POR,1.32%
"Stock Yards Bancorp, Inc.",SYBT,1.32%
"Calavo Growers, Inc.",CVGW,1.32%
Churchill Downs Incorporated,CHDN,1.32%
Matthews International Corporation 5.25% 01-DEC-2025,Other,1.31%
"Applied Industrial Technologies, Inc.",AIT,1.31%
First Financial Corporation,THFF,1.31%
"Tootsie Roll Industries, Inc.",TR,1.31%
York Water Company,YORW,1.31%
H.B. Fuller Company,FUL,1.31%
Sensient Technologies Corporation,SXT,1.3%
Spire Inc.,SR,1.3%
First of Long Island Corporation,FLIC,1.29%
"Franklin Electric Co., Inc.",FELE,1.29%
Artesian Resources Corporation Class A,ARTNA,1.29%
GATX Corporation,GATX,1.29%
Bryn Mawr Bank Corporation,BMTC,1.28%
"Lithia Motors, Inc. Class A",LAD,1.28%
"Community Bank System, Inc.",CBU,1.27%
Universal Health Realty Income Trust,UHT,1.27%
Heritage Financial Corporation,HFWA,1.26%
Northwest Natural Holding Co.,NWN,1.25%
Gorman-Rupp Company,GRC,1.25%
Standex International Corporation,SXI,1.25%
ABM Industries Incorporated,ABM,1.24%
"Bar Harbor Bankshares, Inc.",BHB,1.23%
"South Jersey Industries, Inc.",SJI,1.22%
"PROG Holdings, Inc.",PRG,1.21%
"Southwest Gas Holdings, Inc.",SWX,1.21%
"Insperity, Inc.",NSP,1.19%
"Cass Information Systems, Inc.",CASS,1.18%
HNI Corporation,HNI,1.16%
U.S. Dollar,Other,0.23%
