SOXL: Direxion Daily Semiconductor Bull 3x Shares
Inception Date: 2010-03-11
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	2006200
Shares Outstanding: 4300000
Expense Ratio: 0.99%
Tracks This Index: PHLX Semiconductor Index (300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SOXL


Holding,Symbol,Weighting
Goldman Sachs Trust Financial Square Treasury Instruments Fund Institutional,FTIXX,6.59%
Broadcom Inc.,AVGO,6.27%
Intel Corporation,INTC,6.08%
Goldman Sachs Trust Financial Square Government Fund Institutional,FGTXX,6.01%
Qualcomm Inc,QCOM,5.97%
Texas Instruments Incorporated,TXN,5.95%
U.S. Dollar,Other,5.85%
NVIDIA Corporation,NVDA,5.79%
Dreyfus Cash Management Institutional,DICXX,4.4%
"Micron Technology, Inc.",MU,3.42%
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM,3.41%
"Applied Materials, Inc.",AMAT,3.12%
Lam Research Corporation,LRCX,3.12%
"Analog Devices, Inc.",ADI,3.11%
NXP Semiconductors NV,NXPI,3.03%
KLA Corporation,KLAC,2.99%
"Advanced Micro Devices, Inc.",AMD,2.95%
ASML Holding NV ADR,ASML,2.81%
Microchip Technology Incorporated,MCHP,2.65%
"Xilinx, Inc.",XLNX,2.59%
Marvell Technology Group Ltd.,MRVL,2.31%
"Skyworks Solutions, Inc.",SWKS,1.86%
"Teradyne, Inc.",TER,1.47%
"Qorvo, Inc.",QRVO,1.39%
"Monolithic Power Systems, Inc.",MPWR,1.22%
ON Semiconductor Corporation,ON,1.0%
"Entegris, Inc.",ENTG,0.95%
"Cree, Inc.",CREE,0.88%
"MKS Instruments, Inc.",MKSI,0.62%
Inphi Corporation,IPHI,0.62%
Lattice Semiconductor Corporation,LSCC,0.46%
Silicon Laboratories Inc.,SLAB,0.41%
"Brooks Automation, Inc.",BRKS,0.36%
"CMC Materials, Inc.",CCMP,0.32%
Dreyfus Government Cash Management Funds Institutional,DGCXX,0.01%
MUTUAL FUND (OTHER),Other,0.0%
