SOXX: iShares PHLX Semiconductor ETF
Inception Date: 2001-07-10
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	4967500
Shares Outstanding: 13150000
Expense Ratio: 0.46%
Tracks This Index: PHLX Semiconductor Sector Index
ETFdb.com Category: Technology Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SOXX


Holding,Symbol,Weighting
Broadcom Inc.,AVGO,8.31%
Qualcomm Inc,QCOM,7.89%
Intel Corporation,INTC,7.85%
Texas Instruments Incorporated,TXN,7.76%
NVIDIA Corporation,NVDA,7.42%
"Micron Technology, Inc.",MU,4.47%
"Taiwan Semiconductor Manufacturing Co., Ltd. Sponsored ADR",TSM,4.28%
"Analog Devices, Inc.",ADI,4.05%
"Applied Materials, Inc.",AMAT,3.99%
Lam Research Corporation,LRCX,3.97%
KLA Corporation,KLAC,3.83%
NXP Semiconductors NV,NXPI,3.82%
"Advanced Micro Devices, Inc.",AMD,3.77%
ASML Holding NV ADR,ASML,3.53%
Microchip Technology Incorporated,MCHP,3.44%
"Xilinx, Inc.",XLNX,3.33%
Marvell Technology Group Ltd.,MRVL,3.05%
"Skyworks Solutions, Inc.",SWKS,2.43%
"Teradyne, Inc.",TER,1.9%
"Qorvo, Inc.",QRVO,1.81%
"Monolithic Power Systems, Inc.",MPWR,1.58%
ON Semiconductor Corporation,ON,1.29%
"Entegris, Inc.",ENTG,1.24%
"Cree, Inc.",CREE,1.12%
Inphi Corporation,IPHI,0.8%
"MKS Instruments, Inc.",MKSI,0.79%
Lattice Semiconductor Corporation,LSCC,0.6%
Silicon Laboratories Inc.,SLAB,0.53%
"Brooks Automation, Inc.",BRKS,0.48%
"CMC Materials, Inc.",CCMP,0.42%
MUTUAL FUND (OTHER),Other,0.23%
U.S. Dollar,Other,0.01%
