SPBO: SPDR Portfolio Corporate Bond ETF
Inception Date: 2011-04-06
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	315923
Shares Outstanding: 8750000
Expense Ratio: 0.06%
Tracks This Index: Bloomberg Barclays U.S. Corporate Bond Index
ETFdb.com Category: Corporate Bonds
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SPBO


Holding,Symbol,Weighting
CORPORATE BOND,Other,2.58%
Wells Fargo & Company 4.65% 04-NOV-2044,Other,0.34%
Citigroup Inc. 3.2% 21-OCT-2026,Other,0.32%
Morgan Stanley 6.375% 24-JUL-2042,Other,0.3%
"Amazon.com, Inc. 4.05% 22-AUG-2047",Other,0.3%
Intel Corporation 2.45% 15-NOV-2029,Other,0.27%
Comcast Corporation 4.15% 15-OCT-2028,Other,0.25%
General Electric Capital Corporation 6.875% 10-JAN-2039,Other,0.24%
HSBC Holdings Plc 6.5% 02-MAY-2036,Other,0.24%
"Goldman Sachs Group, Inc. 3.0% 26-APR-2022",Other,0.24%
Barclays Plc 4.61% 15-FEB-2023,Other,0.24%
AT&T Inc. 4.75% 15-MAY-2046,Other,0.24%
Shell International Finance BV 4.0% 10-MAY-2046,Other,0.23%
Apple Inc. 3.75% 13-NOV-2047,Other,0.23%
"Anthem, Inc. 3.3% 15-JAN-2023",Other,0.21%
"Merrill Lynch & Co., Inc. 6.11% 29-JAN-2037",Other,0.21%
NatWest Group Plc 4.519% 25-JUN-2024,Other,0.21%
Boeing Company 5.875% 15-FEB-2040,Other,0.21%
JPMorgan Chase & Co. 3.375% 01-MAY-2023,Other,0.21%
AT&T Inc. 3.65% 15-SEP-2059,Other,0.21%
Verizon Communications Inc. 4.862% 21-AUG-2046,Other,0.2%
Comcast Corporation 4.75% 01-MAR-2044,Other,0.2%
United Technologies Corporation 4.15% 15-MAY-2045,Other,0.2%
"Sumitomo Mitsui Financial Group, Inc. 1.474% 08-JUL-2025",Other,0.2%
JPMorgan Chase & Co. 3.964% 15-NOV-2048,Other,0.2%
AbbVie Inc. 4.4% 06-NOV-2042,Other,0.2%
Bank of America Corporation 3.124% 20-JAN-2023,Other,0.2%
Telefonica Emisiones SA 7.045% 20-JUN-2036,Other,0.19%
AT&T Inc. 3.8% 01-DEC-2057,Other,0.19%
Exelon Corporation 3.497% 01-JUN-2022,Other,0.19%
"Goldman Sachs Group, Inc. 3.625% 22-JAN-2023",Other,0.19%
Walt Disney Company 3.5% 13-MAY-2040,Other,0.19%
Anheuser-Busch Cos. LLC 4.9% 01-FEB-2046,Other,0.19%
"Altria Group, Inc. 4.5% 02-MAY-2043",Other,0.18%
JPMorgan Chase & Co. 4.203% 23-JUL-2029,Other,0.18%
JPMorgan Chase & Co. 3.625% 01-DEC-2027,Other,0.18%
Pfizer Inc. 4.0% 15-MAR-2049,Other,0.18%
HSBC Holdings Plc 2.013% 22-SEP-2028,Other,0.18%
Apple Inc. 3.2% 11-MAY-2027,Other,0.17%
Citigroup Inc. 4.125% 25-JUL-2028,Other,0.17%
Bank of America Corporation 3.5% 19-APR-2026,Other,0.17%
"Mitsubishi UFJ Financial Group, Inc. 1.412% 17-JUL-2025",Other,0.17%
HSBC Holdings Plc 2.099% 04-JUN-2026,Other,0.17%
Charter Communications Operating LLC 5.375% 01-MAY-2047,Other,0.17%
Citigroup Inc. 3.668% 24-JUL-2028,Other,0.17%
Bank of America Corporation 5.0% 21-JAN-2044,Other,0.17%
Oracle Corporation 2.625% 15-FEB-2023,Other,0.17%
Exxon Mobil Corporation 2.726% 01-MAR-2023,Other,0.17%
Apple Inc. 2.45% 04-AUG-2026,Other,0.17%
Morgan Stanley & Co. LLC 3.875% 27-JAN-2026,Other,0.17%
Verizon Communications Inc. 4.125% 16-MAR-2027,Other,0.17%
Visa Inc. 3.15% 14-DEC-2025,Other,0.17%
Wells Fargo & Company 4.478% 04-APR-2031,Other,0.16%
International Business Machines Corporation 3.625% 12-FEB-2024,Other,0.16%
"Consolidated Edison Company of New York, Inc. 5.7% 15-JUN-2040",Other,0.16%
Johnson & Johnson 5.85% 15-JUL-2038,Other,0.16%
Walt Disney Company 2.0% 01-SEP-2029,Other,0.16%
Wyeth Corp. 5.95% 01-APR-2037,Other,0.16%
"Travelers Companies, Inc. 5.35% 01-NOV-2040",Other,0.16%
HSBC Holdings Plc 3.9% 25-MAY-2026,Other,0.16%
Pacific Gas and Electric Company 4.95% 01-JUL-2050,Other,0.16%
CVS Health Corporation 4.78% 25-MAR-2038,Other,0.16%
Diamond 1 Finance Corp. 8.1% 15-JUL-2036,Other,0.16%
"Anheuser-Busch Inbev Worldwide, Inc. 4.6% 15-APR-2048",Other,0.16%
Burlington Northern Santa Fe LLC 4.45% 15-MAR-2043,Other,0.16%
International Business Machines Corporation 3.0% 15-MAY-2024,Other,0.16%
Bank of New York Mellon Corporation 3.442% 07-FEB-2028,Other,0.15%
General Motors Company 4.875% 02-OCT-2023,Other,0.15%
Wells Fargo & Company 3.0% 23-OCT-2026,Other,0.15%
LYB International Finance BV 5.25% 15-JUL-2043,Other,0.15%
Citigroup Inc. 4.5% 14-JAN-2022,Other,0.15%
Barclays Plc 5.2% 12-MAY-2026,Other,0.15%
Archer-Daniels-Midland Company 2.5% 11-AUG-2026,Other,0.15%
"Banco Santander, S.A. 2.746% 28-MAY-2025",Other,0.15%
Teck Resources Limited 6.125% 01-OCT-2035,Other,0.15%
UnitedHealth Group Incorporated 3.85% 15-JUN-2028,Other,0.15%
AbbVie Inc. 4.25% 21-NOV-2049,Other,0.15%
NBCUniversal Media LLC 4.45% 15-JAN-2043,Other,0.15%
CVS Health Corporation 4.3% 25-MAR-2028,Other,0.15%
Wells Fargo & Company 4.15% 24-JAN-2029,Other,0.15%
"Cisco Systems, Inc. 5.9% 15-FEB-2039",Other,0.15%
American Tower Corporation 3.375% 15-MAY-2024,Other,0.14%
Exxon Mobil Corporation 2.992% 19-MAR-2025,Other,0.14%
"Goldman Sachs Group, Inc. 6.75% 01-OCT-2037",Other,0.14%
Lockheed Martin Corporation 3.8% 01-MAR-2045,Other,0.14%
AT&T Inc. 4.35% 01-MAR-2029,Other,0.14%
Microsoft Corporation 2.525% 01-JUN-2050,Other,0.14%
Southern California Edison Company 4.125% 01-MAR-2048,Other,0.14%
Walmart Inc. 3.55% 26-JUN-2025,Other,0.14%
"American International Group, Inc. 6.25% 01-MAY-2036",Other,0.14%
U.S. Bancorp 1.375% 22-JUL-2030,Other,0.14%
Microsoft Corporation 2.4% 08-AUG-2026,Other,0.14%
Apple Inc. 2.7% 13-MAY-2022,Other,0.14%
Morgan Stanley 3.125% 27-JUL-2026,Other,0.14%
Vodafone Group Plc 2.5% 26-SEP-2022,Other,0.14%
"General Motors Financial Co., Inc. 4.0% 15-JAN-2025",Other,0.14%
Microsoft Corporation 3.5% 12-FEB-2035,Other,0.14%
MidAmerican Energy Holdings Company 6.125% 01-APR-2036,Other,0.14%
AT&T Inc. 5.25% 01-MAR-2037,Other,0.14%
CSX Corporation 3.25% 01-JUN-2027,Other,0.14%
Commonwealth Edison Company 3.7% 15-AUG-2028,Other,0.14%
UnitedHealth Group Incorporated 4.25% 15-JUN-2048,Other,0.14%
Rio Tinto Finance (USA) Ltd. 3.75% 15-JUN-2025,Other,0.14%
Comcast Corporation 4.25% 15-JAN-2033,Other,0.14%
Reynolds American Inc. 4.45% 12-JUN-2025,Other,0.13%
Charter Communications Operating Capital Corp. 4.908% 23-JUL-2025,Other,0.13%
Hewlett Packard Enterprise Company 6.2% 15-OCT-2035,Other,0.13%
"Gilead Sciences, Inc. 4.5% 01-FEB-2045",Other,0.13%
Santander UK Group Holdings Plc 3.373% 05-JAN-2024,Other,0.13%
General Electric Capital Corporation 6.15% 07-AUG-2037,Other,0.13%
"Kinder Morgan, Inc. 5.55% 01-JUN-2045",Other,0.13%
Keurig Dr Pepper Inc. 3.8% 01-MAY-2050,Other,0.13%
Banco Bilbao Vizcaya Argentaria Sociedad Anonima 0.875% 18-SEP-2023,Other,0.13%
Broadcom Corporation 3.875% 15-JAN-2027,Other,0.13%
Northrop Grumman Corporation 3.2% 01-FEB-2027,Other,0.13%
Oracle Corporation 3.6% 01-APR-2050,Other,0.13%
"General Mills, Inc. 3.2% 10-FEB-2027",Other,0.13%
"GlaxoSmithKline Capital, Inc. 3.875% 15-MAY-2028",Other,0.13%
JPMorgan Chase & Co. 6.4% 15-MAY-2038,Other,0.13%
"Goldman Sachs Group, Inc. 6.45% 01-MAY-2036",Other,0.13%
McDonald\'s Corporation 4.875% 09-DEC-2045,Other,0.13%
Anheuser-Busch Cos. LLC 3.65% 01-FEB-2026,Other,0.13%
Tencent Music Entertainment Group 1.375% 03-SEP-2025,Other,0.13%
HSBC Holdings Plc 6.8% 01-JUN-2038,Other,0.13%
"Goldman Sachs Group, Inc. 3.5% 16-NOV-2026",Other,0.13%
Toyota Motor Credit Corporation 3.45% 20-SEP-2023,Other,0.13%
Comerica Incorporated 4.0% 01-FEB-2029,Other,0.12%
B.A.T. Capital Corp. 4.7% 02-APR-2027,Other,0.12%
"T-Mobile USA, Inc. 3.875% 15-APR-2030",Other,0.12%
Pacific Gas and Electric Company 1.75% 16-JUN-2022,Other,0.12%
"Goldman Sachs Group, Inc. 4.411% 23-APR-2039",Other,0.12%
Johnson & Johnson 3.7% 01-MAR-2046,Other,0.12%
Marathon Petroleum Corporation 6.5% 01-MAR-2041,Other,0.12%
ING Groep NV 3.95% 29-MAR-2027,Other,0.12%
AbbVie Inc. 4.25% 14-NOV-2028,Other,0.12%
Apple Inc. 4.25% 09-FEB-2047,Other,0.12%
"Baxalta, Inc. 4.0% 23-JUN-2025",Other,0.12%
Charter Communications Operating Capital Corp. 6.834% 23-OCT-2055,Other,0.12%
"Goldman Sachs Group, Inc. 4.223% 01-MAY-2029",Other,0.12%
