SPEU: SPDR Portfolio Europe ETF
Inception Date: 2002-10-15
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	174074
Shares Outstanding: 4550000
Expense Ratio: 0.09%
Tracks This Index: STOXX Europe Total Market
ETFdb.com Category: Europe Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SPEU


Holding,Symbol,Weighting
Nestle S.A.,NESN,2.88%
Roche Holding Ltd,ROG,2.08%
Novartis AG,NOVN,1.97%
ASML Holding NV,ASML,1.79%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.4%
SAP SE,SAP,1.19%
Linde plc,LIN,1.15%
AstraZeneca PLC,AZN,1.11%
Novo Nordisk A/S Class B,NOVO.B,1.02%
Total SE,FP,0.95%
Sanofi,SAN,0.93%
Siemens AG,SIE,0.91%
HSBC Holdings Plc,HSBA,0.9%
Allianz SE,ALV,0.85%
GlaxoSmithKline plc,GSK,0.79%
L\'Oreal SA,OR,0.79%
Diageo plc,DGE,0.79%
British American Tobacco p.l.c.,BATS,0.72%
Iberdrola SA,IBE,0.71%
Unilever PLC,UNA,0.71%
Schneider Electric SE,SU,0.71%
Rio Tinto plc,RIO,0.71%
Enel SpA,ENEL,0.68%
Air Liquide SA,AI,0.67%
Unilever PLC,ULVR,0.64%
Royal Dutch Shell Plc Class A,RDSA,0.62%
BASF SE,BAS,0.62%
BP p.l.c.,BP,0.59%
adidas AG,ADS,0.57%
Reckitt Benckiser Group plc,RB,0.57%
Adyen NV,ADYEN,0.54%
Zurich Insurance Group Ltd,ZURN,0.54%
Airbus SE,AIR,0.54%
Royal Dutch Shell Plc Class B,RDSB,0.53%
Deutsche Telekom AG,DTE,0.51%
BNP Paribas SA Class A,BNP,0.51%
Bayer AG,BAYN,0.5%
Anheuser-Busch InBev SA/NV,ABI,0.5%
Daimler AG,DAI,0.49%
VINCI SA,DG,0.48%
BHP Group Plc,BHP,0.47%
Banco Santander S.A.,SAN,0.46%
Kering SA,KER,0.45%
UBS Group AG,UBSG,0.43%
ABB Ltd.,ABBN,0.43%
Infineon Technologies AG,IFX,0.43%
Koninklijke Philips N.V.,PHIA,0.43%
Safran S.A.,SAF,0.42%
RELX PLC,REL,0.42%
Deutsche Post AG,DPW,0.42%
Lonza Group AG,LONN,0.41%
Prosus N.V. Class N,PRX,0.41%
Vestas Wind Systems A/S,VWS,0.41%
AXA SA,CS,0.41%
Prudential plc,PRU,0.41%
Compagnie Financiere Richemont SA,CFR,0.4%
EssilorLuxottica SA,EL,0.4%
Vodafone Group Plc,VOD,0.38%
Anglo American plc,AAL,0.37%
Intesa Sanpaolo S.p.A.,ISP,0.36%
Danone SA,BN,0.36%
National Grid plc,NG,0.35%
Munich Reinsurance Company,MUV2,0.35%
Orsted,ORSTED,0.34%
London Stock Exchange Group plc,LSE,0.33%
