SPGP: Invesco S&P 500 GARP ETF
Inception Date: 2011-06-16
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	298847
Shares Outstanding: 4210000
Expense Ratio: 0.36%
Tracks This Index: S&P 500 GARP Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SPGP


Holding,Symbol,Weighting
SVB Financial Group,SIVB,2.46%
"Align Technology, Inc.",ALGN,2.22%
Cboe Global Markets Inc,CBOE,2.13%
"Fortinet, Inc.",FTNT,2.12%
"Arista Networks, Inc.",ANET,2.1%
"Facebook, Inc. Class A",FB,2.02%
Cigna Corporation,CI,1.99%
Adobe Inc.,ADBE,1.97%
Progressive Corporation,PGR,1.76%
Mastercard Incorporated Class A,MA,1.67%
"United Rentals, Inc.",URI,1.67%
Booking Holdings Inc.,BKNG,1.58%
Synchrony Financial,SYF,1.57%
"PulteGroup, Inc.",PHM,1.54%
"Cadence Design Systems, Inc.",CDNS,1.54%
PACCAR Inc,PCAR,1.51%
KLA Corporation,KLAC,1.48%
Moody\'s Corporation,MCO,1.43%
"Regeneron Pharmaceuticals, Inc.",REGN,1.41%
Comerica Incorporated,CMA,1.4%
"Copart, Inc.",CPRT,1.36%
ViacomCBS Inc. Class B,VIAC,1.35%
Campbell Soup Company,CPB,1.34%
Microsoft Corporation,MSFT,1.34%
Monster Beverage Corporation,MNST,1.32%
Charles Schwab Corporation,SCHW,1.31%
Humana Inc.,HUM,1.31%
"IDEXX Laboratories, Inc.",IDXX,1.3%
MGM Resorts International,MGM,1.29%
"MetLife, Inc.",MET,1.28%
"D.R. Horton, Inc.",DHI,1.27%
Sherwin-Williams Company,SHW,1.26%
Intuit Inc.,INTU,1.26%
"O\'Reilly Automotive, Inc.",ORLY,1.26%
CDW Corp.,CDW,1.25%
Allstate Corporation,ALL,1.24%
Biogen Inc.,BIIB,1.24%
Apple Inc.,AAPL,1.24%
"Citizens Financial Group, Inc.",CFG,1.23%
Cummins Inc.,CMI,1.22%
Fifth Third Bancorp,FITB,1.22%
"Zions Bancorporation, N.A.",ZION,1.21%
"Discovery, Inc. Class C",DISCK,1.21%
Boston Scientific Corporation,BSX,1.21%
"Hartford Financial Services Group, Inc.",HIG,1.2%
Lennar Corporation Class A,LEN,1.18%
Morgan Stanley,MS,1.17%
"Expeditors International of Washington, Inc.",EXPD,1.16%
Qualcomm Inc,QCOM,1.15%
"Old Dominion Freight Line, Inc.",ODFL,1.15%
"J.B. Hunt Transport Services, Inc.",JBHT,1.14%
eBay Inc.,EBAY,1.14%
DaVita Inc.,DVA,1.13%
"NVR, Inc.",NVR,1.11%
Lam Research Corporation,LRCX,1.11%
"AbbVie, Inc.",ABBV,1.1%
Northrop Grumman Corporation,NOC,1.1%
MarketAxess Holdings Inc.,MKTX,1.1%
Dollar General Corporation,DG,1.09%
Tractor Supply Company,TSCO,1.09%
"Everest Re Group, Ltd.",RE,1.09%
Lincoln National Corporation,LNC,1.09%
"Zoetis, Inc. Class A",ZTS,1.08%
T. Rowe Price Group,TROW,1.08%
M&T Bank Corporation,MTB,1.08%
LyondellBasell Industries NV,LYB,1.07%
UnitedHealth Group Incorporated,UNH,1.05%
"CBRE Group, Inc. Class A",CBRE,1.04%
"Ameriprise Financial, Inc.",AMP,1.04%
"Huntington Ingalls Industries, Inc.",HII,1.03%
Intel Corporation,INTC,1.03%
Fastenal Company,FAST,1.02%
"Applied Materials, Inc.",AMAT,1.02%
"Merck & Co., Inc.",MRK,1.01%
General Dynamics Corporation,GD,0.99%
MUTUAL FUND (OTHER),Other,0.08%
