SPMD: SPDR Portfolio S&P 400 Mid Cap ETF
Inception Date: 2005-11-15
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	3397390
Shares Outstanding: 85450000
Expense Ratio: 0.05%
Tracks This Index: S&P MidCap 400 Index
ETFdb.com Category: Mid Cap Blend Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SPMD


Holding,Symbol,Weighting
"Enphase Energy, Inc.",ENPH,1.07%
Trimble Inc.,TRMB,0.82%
"SolarEdge Technologies, Inc.",SEDG,0.79%
"Monolithic Power Systems, Inc.",MPWR,0.76%
Caesars Entertainment Inc,CZR,0.74%
Fair Isaac Corporation,FICO,0.73%
Generac Holdings Inc.,GNRC,0.7%
Cognex Corporation,CGNX,0.69%
Masimo Corporation,MASI,0.67%
"Ceridian HCM Holding, Inc.",CDAY,0.66%
"Molina Healthcare, Inc.",MOH,0.63%
FactSet Research Systems Inc.,FDS,0.62%
PTC Inc.,PTC,0.61%
"Charles River Laboratories International, Inc.",CRL,0.61%
Bio-Techne Corporation,TECH,0.6%
"Penn National Gaming, Inc.",PENN,0.59%
Graco Inc.,GGG,0.58%
"Cree, Inc.",CREE,0.58%
RPM International Inc.,RPM,0.57%
"Cable One, Inc.",CABO,0.57%
"Medical Properties Trust, Inc.",MPW,0.55%
"Brown & Brown, Inc.",BRO,0.54%
Sunrun Inc.,RUN,0.54%
"XPO Logistics, Inc.",XPO,0.53%
Nordson Corporation,NDSN,0.52%
"Essential Utilities, Inc.",WTRG,0.51%
Toro Company,TTC,0.5%
Universal Display Corporation,OLED,0.48%
Repligen Corporation,RGEN,0.47%
"Trex Company, Inc.",TREX,0.47%
"Amedisys, Inc.",AMED,0.47%
Lennox International Inc.,LII,0.46%
Camden Property Trust,CPT,0.46%
"Five Below, Inc.",FIVE,0.46%
Darling Ingredients Inc.,DAR,0.45%
Jazz Pharmaceuticals Plc,JAZZ,0.44%
"IAA, Inc.",IAA,0.43%
"Aptargroup, Inc.",ATR,0.43%
"Boston Beer Company, Inc. Class A",SAM,0.43%
WEX Inc.,WEX,0.43%
"First Solar, Inc.",FSLR,0.42%
Hubbell Incorporated Class B,HUBB,0.42%
Lear Corporation,LEA,0.42%
Alleghany Corporation,Y,0.42%
"CyrusOne, Inc.",CONE,0.42%
Service Corporation International,SCI,0.41%
RenaissanceRe Holdings Ltd.,RNR,0.41%
Gentex Corporation,GNTX,0.41%
"MKS Instruments, Inc.",MKSI,0.41%
Chemed Corporation,CHE,0.41%
Carlisle Companies Incorporated,CSL,0.41%
Encompass Health Corporation,EHC,0.4%
Scotts Miracle-Gro Company Class A,SMG,0.4%
Owens Corning,OC,0.4%
"Builders FirstSource, Inc.",BLDR,0.4%
"PRA Health Sciences, Inc.",PRAH,0.39%
"Williams-Sonoma, Inc.",WSM,0.39%
II-VI Incorporated,IIVI,0.39%
"Omega Healthcare Investors, Inc.",OHI,0.39%
Ciena Corporation,CIEN,0.39%
Deckers Outdoor Corporation,DECK,0.39%
STORE Capital Corporation,STOR,0.38%
Eaton Vance Corp.,EV,0.38%
Reliance Steel & Aluminum Co.,RS,0.38%
"Arrowhead Pharmaceuticals, Inc.",ARWR,0.38%
Paylocity Holding Corp.,PCTY,0.37%
"Reinsurance Group of America, Incorporated",RGA,0.37%
"Lithia Motors, Inc. Class A",LAD,0.37%
Axon Enterprise Inc,AAXN,0.37%
"Lumentum Holdings, Inc.",LITE,0.36%
Quidel Corporation,QDEL,0.36%
"Royal Gold, Inc.",RGLD,0.36%
"Watsco, Inc.",WSO,0.36%
"Steel Dynamics, Inc.",STLD,0.36%
Jones Lang LaSalle Incorporated,JLL,0.36%
UGI Corporation,UGI,0.36%
Signature Bank,SBNY,0.36%
"Arrow Electronics, Inc.",ARW,0.36%
AECOM,ACM,0.36%
"East West Bancorp, Inc.",EWBC,0.36%
New York Times Company Class A,NYT,0.35%
Middleby Corporation,MIDD,0.35%
"Grubhub, Inc.",GRUB,0.35%
