SPMV: Invesco S&P 500 Minimum Variance ETF
Inception Date: 2017-07-12
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	4348
Shares Outstanding: 130000
Expense Ratio: 0.1%
Tracks This Index: S&P 500 Minimum Volatility Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SPMV


Holding,Symbol,Weighting
Qualcomm Inc,QCOM,2.69%
Accenture Plc Class A,ACN,2.62%
Microsoft Corporation,MSFT,2.55%
"NIKE, Inc. Class B",NKE,2.52%
Berkshire Hathaway Inc. Class B,BRK.B,2.49%
UnitedHealth Group Incorporated,UNH,2.49%
Adobe Inc.,ADBE,2.45%
CVS Health Corporation,CVS,2.44%
"Amazon.com, Inc.",AMZN,2.44%
Progressive Corporation,PGR,2.43%
Verizon Communications Inc.,VZ,2.33%
Chubb Limited,CB,2.3%
Texas Instruments Incorporated,TXN,2.28%
McDonald\'s Corporation,MCD,2.26%
Newmont Corporation,NEM,2.2%
"Merck & Co., Inc.",MRK,2.14%
American Tower Corporation,AMT,2.11%
AT&T Inc.,T,1.96%
TJX Companies Inc,TJX,1.91%
"NextEra Energy, Inc.",NEE,1.89%
"Waste Management, Inc.",WM,1.89%
Apple Inc.,AAPL,1.87%
"Marsh & McLennan Companies, Inc.",MMC,1.87%
Johnson & Johnson,JNJ,1.81%
Medtronic Plc,MDT,1.74%
Colgate-Palmolive Company,CL,1.67%
"General Mills, Inc.",GIS,1.65%
Southern Company,SO,1.64%
Intuit Inc.,INTU,1.63%
Aon Plc Class A,AON,1.58%
Crown Castle International Corp,CCI,1.46%
Intel Corporation,INTC,1.44%
Public Service Enterprise Group Inc,PEG,1.36%
"Home Depot, Inc.",HD,1.36%
Cigna Corporation,CI,1.25%
"Republic Services, Inc.",RSG,1.23%
Cognizant Technology Solutions Corporation Class A,CTSH,1.13%
Global Payments Inc.,GPN,1.06%
Procter & Gamble Company,PG,1.01%
Coca-Cola Company,KO,0.99%
Cerner Corporation,CERN,0.96%
"Conagra Brands, Inc.",CAG,0.94%
"McCormick & Company, Incorporated",MKC,0.93%
J.M. Smucker Company,SJM,0.92%
Visa Inc. Class A,V,0.87%
Hormel Foods Corporation,HRL,0.81%
Exxon Mobil Corporation,XOM,0.79%
Stryker Corporation,SYK,0.79%
Clorox Company,CLX,0.78%
Dominion Energy Inc,D,0.76%
"Digital Realty Trust, Inc.",DLR,0.75%
"Citrix Systems, Inc.",CTXS,0.74%
Laboratory Corporation of America Holdings,LH,0.71%
Starbucks Corporation,SBUX,0.68%
"Automatic Data Processing, Inc.",ADP,0.66%
Bank of America Corp,BAC,0.65%
"Prologis, Inc.",PLD,0.63%
Quest Diagnostics Incorporated,DGX,0.59%
Corteva Inc,CTVA,0.59%
"Rollins, Inc.",ROL,0.54%
"VeriSign, Inc.",VRSN,0.53%
"Tyler Technologies, Inc.",TYL,0.51%
Public Storage,PSA,0.49%
"Cisco Systems, Inc.",CSCO,0.47%
NVIDIA Corporation,NVDA,0.44%
Eversource Energy,ES,0.44%
Xcel Energy Inc.,XEL,0.43%
Kellogg Company,K,0.42%
"Analog Devices, Inc.",ADI,0.39%
Kimberly-Clark Corporation,KMB,0.37%
Oracle Corporation,ORCL,0.32%
"Intuitive Surgical, Inc.",ISRG,0.31%
Duke Energy Corporation,DUK,0.29%
Ameren Corporation,AEE,0.28%
"Travelers Companies, Inc.",TRV,0.27%
Campbell Soup Company,CPB,0.26%
Monster Beverage Corporation,MNST,0.25%
"Advanced Micro Devices, Inc.",AMD,0.24%
Humana Inc.,HUM,0.21%
Hershey Company,HSY,0.2%
"salesforce.com, inc.",CRM,0.19%
"American Electric Power Company, Inc.",AEP,0.17%
Alphabet Inc. Class C,GOOG,0.16%
WEC Energy Group Inc,WEC,0.15%
JPMorgan Chase & Co.,JPM,0.14%
"Becton, Dickinson and Company",BDX,0.14%
"Lumen Technologies, Inc.",LUMN,0.13%
"Applied Materials, Inc.",AMAT,0.13%
Sempra Energy,SRE,0.12%
DTE Energy Company,DTE,0.09%
"Micron Technology, Inc.",MU,0.08%
Bristol-Myers Squibb Company,BMY,0.08%
"Consolidated Edison, Inc.",ED,0.08%
"Gilead Sciences, Inc.",GILD,0.04%
U.S. Dollar,Other,-0.04%
