SPTL: SPDR Portfolio Long Term Treasury ETF
Inception Date: 2007-05-23
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	2944190
Shares Outstanding: 65300000
Expense Ratio: 0.06%
Tracks This Index: Bloomberg Barclays Long U.S. Treasury Index
ETFdb.com Category: Government Bonds
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SPTL


Holding,Symbol,Weighting
United States Treasury Bond 1.375% 15-AUG-2050,Other,3.35%
United States Treasury Bond 3.0% 15-FEB-2049,Other,3.3%
United States Treasury Bond 1.125% 15-AUG-2040,Other,3.3%
United States Treasury Bond 3.375% 15-NOV-2048,Other,3.26%
United States Treasury Bond 2.875% 15-MAY-2049,Other,3.21%
United States Treasury Bond 3.0% 15-AUG-2048,Other,3.15%
TREASURY ISSUES (LONG-TERM),Other,3.05%
United States Treasury Bond 3.125% 15-MAY-2048,Other,2.99%
United States Treasury Bond 2.25% 15-AUG-2049,Other,2.87%
United States Treasury Bond 2.0% 15-FEB-2050,Other,2.83%
United States Treasury Bond 1.25% 15-MAY-2050,Other,2.67%
United States Treasury Bond 3.0% 15-FEB-2048,Other,2.64%
United States Treasury Bond 2.375% 15-NOV-2049,Other,2.54%
United States Treasury Bond 1.125% 15-MAY-2040,Other,2.44%
United States Treasury Bond 3.625% 15-FEB-2044,Other,2.33%
United States Treasury Bond 3.125% 15-AUG-2044,Other,2.33%
United States Treasury Bond 2.75% 15-NOV-2047,Other,2.27%
United States Treasury Bond 2.75% 15-AUG-2047,Other,2.16%
United States Treasury Bond 2.5% 15-FEB-2045,Other,2.16%
United States Treasury Bond 2.5% 15-FEB-2046,Other,2.14%
United States Treasury Bond 3.0% 15-NOV-2044,Other,2.13%
United States Treasury Bond 3.375% 15-MAY-2044,Other,2.1%
United States Treasury Bond 2.5% 15-MAY-2046,Other,2.1%
United States Treasury Bond 3.0% 15-FEB-2047,Other,2.09%
United States Treasury Bond 2.875% 15-NOV-2046,Other,2.06%
United States Treasury Bond 2.875% 15-MAY-2043,Other,2.05%
United States Treasury Bond 3.0% 15-MAY-2045,Other,2.01%
United States Treasury Bond 2.25% 15-AUG-2046,Other,1.98%
United States Treasury Bond 2.875% 15-AUG-2045,Other,1.96%
United States Treasury Bond 3.625% 15-AUG-2043,Other,1.9%
United States Treasury Bond 3.75% 15-NOV-2043,Other,1.88%
United States Treasury Bond 2.75% 15-NOV-2042,Other,1.56%
United States Treasury Bond 3.125% 15-FEB-2043,Other,1.49%
United States Treasury Bond 3.0% 15-MAY-2047,Other,1.38%
United States Treasury Bond 3.0% 15-NOV-2045,Other,1.17%
United States Treasury Bond 4.75% 15-FEB-2041,Other,1.14%
United States Treasury Bond 2.75% 15-AUG-2042,Other,1.13%
United States Treasury Bond 3.125% 15-FEB-2042,Other,1.12%
United States Treasury Bond 4.625% 15-FEB-2040,Other,1.07%
United States Treasury Bond 4.375% 15-NOV-2039,Other,1.03%
United States Treasury Bond 4.375% 15-MAY-2040,Other,1.0%
United States Treasury Bond 4.25% 15-NOV-2040,Other,0.97%
United States Treasury Bond 3.875% 15-AUG-2040,Other,0.96%
United States Treasury Bond 4.375% 15-MAY-2041,Other,0.91%
United States Treasury Bond 3.0% 15-MAY-2042,Other,0.91%
United States Treasury Bond 3.75% 15-AUG-2041,Other,0.87%
United States Treasury Bond 4.5% 15-AUG-2039,Other,0.87%
United States Treasury Bond 3.125% 15-NOV-2041,Other,0.82%
United States Treasury Bond 4.25% 15-MAY-2039,Other,0.74%
United States Treasury Bond 3.5% 15-FEB-2039,Other,0.61%
United States Treasury Bond 4.5% 15-MAY-2038,Other,0.58%
United States Treasury Bond 4.5% 15-FEB-2036,Other,0.57%
United States Treasury Bond 5.0% 15-MAY-2037,Other,0.52%
United States Treasury Bond 4.375% 15-FEB-2038,Other,0.52%
United States Treasury Bond 5.375% 15-FEB-2031,Other,0.43%
United States Treasury Bond 4.75% 15-FEB-2037,Other,0.38%
State Street Institutional Investment Trust US Government Money Market Fund Institutional,GVMXX,0.01%
