SQLV: Legg Mason Small-Cap Quality Value ETF
Inception Date: 2017-07-12
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	13359
Shares Outstanding: 449000
Expense Ratio: 0.62%
Tracks This Index: Royce Small-Cap Quality Value Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: Legg Mason
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SQLV


Holding,Symbol,Weighting
Peabody Energy Corporation,BTU,1.5%
SYNNEX Corporation,SNX,0.9%
World Fuel Services Corporation,INT,0.89%
"Flagstar Bancorp, Inc.",FBC,0.87%
"Helmerich & Payne, Inc.",HP,0.79%
CURO Group Holdings Corp.,CURO,0.77%
"American National Group, Inc.",ANAT,0.73%
Lions Gate Entertainment Corp Class A,LGF.A,0.72%
Dreyfus Treasury Cash Management Funds Institutional,DTRXX,0.71%
American Equity Investment Life Holding Company,AEL,0.68%
Vector Group Ltd.,VGR,0.67%
F.N.B. Corporation,FNB,0.66%
Commercial Metals Company,CMC,0.65%
Associated Banc-Corp,ASB,0.65%
AMC Networks Inc. Class A,AMCX,0.64%
"Camping World Holdings, Inc. Class A",CWH,0.64%
"Healthcare Services Group, Inc.",HCSG,0.64%
"Renewable Energy Group, Inc.",REGI,0.64%
Deluxe Corporation,DLX,0.64%
Evercore Inc Class A,EVR,0.64%
"Insight Enterprises, Inc.",NSIT,0.63%
Boise Cascade Co.,BCC,0.62%
Radian Group Inc.,RDN,0.6%
"Vishay Intertechnology, Inc.",VSH,0.6%
Cathay General Bancorp,CATY,0.6%
"Artisan Partners Asset Management, Inc. Class A",APAM,0.59%
"Virtu Financial, Inc. Class A",VIRT,0.59%
Sanmina Corporation,SANM,0.59%
"Aerojet Rocketdyne Holdings, Inc.",AJRD,0.59%
Falcon Minerals Corp. Class A,FLMN,0.58%
TRI Pointe Group Inc,TPH,0.58%
Steelcase Inc. Class A,SCS,0.58%
"Schweitzer-Mauduit International, Inc.",SWM,0.57%
Simmons First National Corporation Class A,SFNC,0.57%
First Financial Bancorp.,FFBC,0.55%
Korn Ferry,KFY,0.54%
"Mueller Industries, Inc.",MLI,0.54%
"CNO Financial Group, Inc.",CNO,0.54%
"MEDNAX, Inc.",MD,0.54%
"Greenbrier Companies, Inc.",GBX,0.53%
"Ingles Markets, Incorporated Class A",IMKTA,0.53%
Synaptics Incorporated,SYNA,0.53%
Minerals Technologies Inc.,MTX,0.52%
"Federated Hermes, Inc. Class B",FHI,0.52%
FutureFuel Corp.,FF,0.52%
"InterDigital, Inc.",IDCC,0.52%
"TTM Technologies, Inc.",TTMI,0.52%
"NuVasive, Inc.",NUVA,0.52%
Cooper Tire & Rubber Company,CTB,0.52%
LaZBoy Incorporated,LZB,0.52%
Enova International Inc,ENVA,0.52%
Rent-A-Center Inc,RCII,0.52%
"Arcosa, Inc.",ACA,0.51%
"NetScout Systems, Inc.",NTCT,0.51%
"Sportsman\'s Warehouse Holdings, Inc.",SPWH,0.51%
"G-III Apparel Group, Ltd.",GIII,0.51%
Hilltop Holdings Inc.,HTH,0.5%
"Comfort Systems USA, Inc.",FIX,0.5%
"Atlas Air Worldwide Holdings, Inc.",AAWW,0.5%
Primoris Services Corporation,PRIM,0.5%
"Cohen & Steers, Inc.",CNS,0.5%
ACCO Brands Corporation,ACCO,0.5%
"Dycom Industries, Inc.",DY,0.5%
"Kelly Services, Inc. Class A",KELYA,0.49%
HNI Corporation,HNI,0.49%
ArcBest Corporation,ARCB,0.49%
Plexus Corp.,PLXS,0.49%
"Hub Group, Inc. Class A",HUBG,0.49%
"Innoviva, Inc.",INVA,0.49%
"Apogee Enterprises, Inc.",APOG,0.48%
"PC Connection, Inc.",CNXN,0.48%
"Herman Miller, Inc.",MLHR,0.48%
Ethan Allen Interiors Inc.,ETH,0.48%
"Supernus Pharmaceuticals, Inc.",SUPN,0.47%
"HBT Financial, Inc.",HBT,0.47%
"Sangamo Therapeutics, Inc.",SGMO,0.47%
National HealthCare Corporation,NHC,0.47%
ProPetro Holding Corp.,PUMP,0.47%
"National Western Life Group, Inc. Class A",NWLI,0.47%
"ScanSource, Inc.",SCSC,0.46%
"Shutterstock, Inc.",SSTK,0.46%
Stewart Information Services Corporation,STC,0.46%
"Elevate Credit, Inc.",ELVT,0.46%
"CSG Systems International, Inc.",CSGS,0.46%
Big 5 Sporting Goods Corporation,BGFV,0.46%
Progress Software Corporation,PRGS,0.46%
"Cannae Holdings, Inc.",CNNE,0.45%
"MarineMax, Inc.",HZO,0.45%
"Cactus, Inc. Class A",WHD,0.45%
Prestige Consumer Healthcare Inc,PBH,0.45%
"Myriad Genetics, Inc.",MYGN,0.45%
"Smith & Wesson Brands, Inc.",SWBI,0.44%
Berry Corporation,BRY,0.44%
MSG Networks Inc. Class A,MSGN,0.44%
"Axos Financial, Inc.",AX,0.43%
"Ennis, Inc.",EBF,0.43%
"Century Communities, Inc.",CCS,0.43%
NIC Inc.,EGOV,0.43%
Cantel Medical Corp.,CMD,0.43%
"NETGEAR, Inc.",NTGR,0.43%
