STLG: iShares Factors US Growth Style ETF
Inception Date: 2020-01-14
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	4691
Shares Outstanding: 150000
Expense Ratio: 0.25%
Tracks This Index: Russell US Large Cap Factors Growth Style Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/STLG


Holding,Symbol,Weighting
Apple Inc.,AAPL,12.18%
Microsoft Corporation,MSFT,10.94%
"Amazon.com, Inc.",AMZN,7.34%
"Merck & Co., Inc.",MRK,2.12%
Booz Allen Hamilton Holding Corporation Class A,BAH,2.0%
MSCI Inc. Class A,MSCI,1.94%
"AbbVie, Inc.",ABBV,1.93%
"CrowdStrike Holdings, Inc. Class A",CRWD,1.85%
Mastercard Incorporated Class A,MA,1.79%
Tesla Inc,TSLA,1.73%
"Cadence Design Systems, Inc.",CDNS,1.73%
Eli Lilly and Company,LLY,1.72%
"Albertsons Companies, Inc. Class A",ACI,1.61%
"Fortinet, Inc.",FTNT,1.53%
"Citrix Systems, Inc.",CTXS,1.44%
"VeriSign, Inc.",VRSN,1.39%
Royalty Pharma Plc Class A,RPRX,1.38%
"Trex Company, Inc.",TREX,1.34%
Amgen Inc.,AMGN,1.31%
"Facebook, Inc. Class A",FB,1.3%
Dun & Bradstreet Holdings Inc,DNB,1.26%
eBay Inc.,EBAY,1.26%
"Aspen Technology, Inc.",AZPN,1.25%
Qualcomm Inc,QCOM,1.2%
Scotts Miracle-Gro Company Class A,SMG,1.18%
Intuit Inc.,INTU,1.18%
NVIDIA Corporation,NVDA,1.16%
"Home Depot, Inc.",HD,1.1%
Atlassian Corp. Plc Class A,TEAM,1.06%
"Domino\'s Pizza, Inc.",DPZ,1.05%
"Teradyne, Inc.",TER,1.05%
Adobe Inc.,ADBE,0.94%
"Best Buy Co., Inc.",BBY,0.93%
"S&P Global, Inc.",SPGI,0.86%
"Sprouts Farmers Markets, Inc.",SFM,0.83%
Chemed Corporation,CHE,0.8%
"Manhattan Associates, Inc.",MANH,0.79%
Fair Isaac Corporation,FICO,0.76%
"HubSpot, Inc.",HUBS,0.75%
Herbalife Nutrition Ltd.,HLF,0.7%
"Williams-Sonoma, Inc.",WSM,0.69%
Acceleron Pharma Inc,XLRN,0.69%
Procter & Gamble Company,PG,0.67%
GoHealth Inc Class A,GOCO,0.65%
HCA Healthcare Inc,HCA,0.65%
Pool Corporation,POOL,0.64%
"Motorola Solutions, Inc.",MSI,0.59%
"Allison Transmission Holdings, Inc.",ALSN,0.58%
"Wayfair, Inc. Class A",W,0.58%
PayPal Holdings Inc,PYPL,0.57%
Veeva Systems Inc Class A,VEEV,0.57%
"Yum! Brands, Inc.",YUM,0.57%
Carrier Global Corp.,CARR,0.54%
Texas Instruments Incorporated,TXN,0.53%
"Match Group, Inc.",MTCH,0.53%
"Take-Two Interactive Software, Inc.",TTWO,0.53%
Lam Research Corporation,LRCX,0.53%
Zebra Technologies Corporation Class A,ZBRA,0.52%
Vertex Pharmaceuticals Incorporated,VRTX,0.52%
Grocery Outlet Holding Corp.,GO,0.5%
"IDEXX Laboratories, Inc.",IDXX,0.49%
Ubiquiti Inc.,UI,0.46%
"Lowe\'s Companies, Inc.",LOW,0.45%
Lululemon Athletica Inc,LULU,0.44%
Costco Wholesale Corporation,COST,0.43%
"Zscaler, Inc.",ZS,0.42%
Amcor PLC,AMCR,0.41%
StoneCo Ltd. Class A,STNE,0.4%
Estee Lauder Companies Inc. Class A,EL,0.39%
"Expeditors International of Washington, Inc.",EXPD,0.37%
"Molina Healthcare, Inc.",MOH,0.36%
Rocket Companies Inc Class A,RKT,0.35%
"Activision Blizzard, Inc.",ATVI,0.34%
"United Parcel Service, Inc. Class B",UPS,0.34%
"Primerica, Inc.",PRI,0.33%
Bristol-Myers Squibb Company,BMY,0.32%
KLA Corporation,KLAC,0.31%
Electronic Arts Inc.,EA,0.31%
DaVita Inc.,DVA,0.27%
"Applied Materials, Inc.",AMAT,0.26%
Dollar General Corporation,DG,0.25%
Lockheed Martin Corporation,LMT,0.25%
"Akamai Technologies, Inc.",AKAM,0.24%
Brookfield Property REIT Inc Class A,BPYU,0.22%
Mettler-Toledo International Inc.,MTD,0.2%
"GoDaddy, Inc. Class A",GDDY,0.2%
"Moderna, Inc.",MRNA,0.2%
"Lumentum Holdings, Inc.",LITE,0.19%
"Zoom Video Communications, Inc. Class A",ZM,0.17%
"Slack Technologies, Inc. Class A",WORK,0.15%
LPL Financial Holdings Inc.,LPLA,0.14%
NortonLifeLock Inc.,NLOK,0.14%
"RingCentral, Inc. Class A",RNG,0.14%
Northrop Grumman Corporation,NOC,0.13%
Western Union Company,WU,0.12%
"Advanced Micro Devices, Inc.",AMD,0.12%
"Enphase Energy, Inc.",ENPH,0.12%
"O\'Reilly Automotive, Inc.",ORLY,0.11%
"Amedisys, Inc.",AMED,0.11%
"Dynatrace, Inc.",DT,0.11%
Biogen Inc.,BIIB,0.1%
"ServiceNow, Inc.",NOW,0.1%
"Synopsys, Inc.",SNPS,0.08%
Inphi Corporation,IPHI,0.08%
Starbucks Corporation,SBUX,0.08%
"Yum China Holdings, Inc.",YUMC,0.07%
CACI International Inc Class A,CACI,0.06%
"Dropbox, Inc. Class A",DBX,0.06%
"AutoZone, Inc.",AZO,0.05%
"Okta, Inc. Class A",OKTA,0.03%
Quidel Corporation,QDEL,0.0%
U.S. Dollar,Other,-1.78%
