STLV: iShares Factors US Value Style ETF
Inception Date: 2020-01-14
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	6073
Shares Outstanding: 250000
Expense Ratio: 0.25%
Tracks This Index: Russell US Large Cap Factors Value Style Index
ETFdb.com Category: All Cap Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/STLV


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,2.95%
"Merck & Co., Inc.",MRK,2.11%
Verizon Communications Inc.,VZ,2.06%
Evercore Inc Class A,EVR,2.05%
Walmart Inc.,WMT,1.99%
Vontier Corp,VNT,1.96%
Equity Commonwealth,EQC,1.77%
"Albertsons Companies, Inc. Class A",ACI,1.41%
Kimberly-Clark Corporation,KMB,1.38%
Ally Financial Inc,ALLY,1.34%
"AbbVie, Inc.",ABBV,1.32%
Philip Morris International Inc.,PM,1.32%
Jefferies Financial Group Inc.,JEF,1.26%
Allstate Corporation,ALL,1.22%
Lazard Ltd Class A,LAZ,1.21%
Otis Worldwide Corporation,OTIS,1.16%
Bristol-Myers Squibb Company,BMY,1.15%
Ralph Lauren Corporation Class A,RL,1.15%
"Citrix Systems, Inc.",CTXS,1.11%
"Home Depot, Inc.",HD,1.11%
"Yum! Brands, Inc.",YUM,1.08%
Concentrix Corporation,CNXC,1.04%
Target Corporation,TGT,1.04%
"CrowdStrike Holdings, Inc. Class A",CRWD,1.01%
"Motorola Solutions, Inc.",MSI,1.0%
"VeriSign, Inc.",VRSN,0.96%
Vistra Corp.,VST,0.95%
"Popular, Inc.",BPOP,0.95%
Pfizer Inc.,PFE,0.95%
Hewlett Packard Enterprise Co.,HPE,0.93%
Intel Corporation,INTC,0.93%
Lennox International Inc.,LII,0.9%
"FTI Consulting, Inc.",FCN,0.9%
White Mountains Insurance Group Ltd,WTM,0.9%
GrafTech International Ltd.,EAF,0.88%
Dun & Bradstreet Holdings Inc,DNB,0.87%
"Expeditors International of Washington, Inc.",EXPD,0.81%
Brookfield Property REIT Inc Class A,BPYU,0.81%
"Aspen Technology, Inc.",AZPN,0.79%
"Cisco Systems, Inc.",CSCO,0.79%
Amcor PLC,AMCR,0.79%
Morgan Stanley,MS,0.75%
American Express Company,AXP,0.75%
"Ameriprise Financial, Inc.",AMP,0.75%
Scotts Miracle-Gro Company Class A,SMG,0.74%
"Allison Transmission Holdings, Inc.",ALSN,0.73%
Xerox Holdings Corporation,XRX,0.72%
Kroger Co.,KR,0.72%
Ubiquiti Inc.,UI,0.7%
"Sprouts Farmers Markets, Inc.",SFM,0.69%
Mercury General Corporation,MCY,0.69%
Columbia Sportswear Company,COLM,0.69%
HCA Healthcare Inc,HCA,0.68%
"Brighthouse Financial, Inc.",BHF,0.68%
ConocoPhillips,COP,0.68%
Ameren Corporation,AEE,0.67%
Entergy Corporation,ETR,0.67%
EQUITY OTHER,Other,0.65%
Devon Energy Corporation,DVN,0.65%
"American Financial Group, Inc.",AFG,0.65%
Comcast Corporation Class A,CMCSA,0.62%
"Best Buy Co., Inc.",BBY,0.62%
"Paramount Group, Inc.",PGRE,0.6%
Northrop Grumman Corporation,NOC,0.59%
Acceleron Pharma Inc,XLRN,0.59%
McDonald\'s Corporation,MCD,0.59%
CVS Health Corporation,CVS,0.58%
Unum Group,UNM,0.57%
"United Parcel Service, Inc. Class B",UPS,0.56%
"Manhattan Associates, Inc.",MANH,0.56%
Aflac Incorporated,AFL,0.56%
nVent Electric plc,NVT,0.54%
"NRG Energy, Inc.",NRG,0.54%
"Hawaiian Electric Industries, Inc.",HE,0.53%
"Principal Financial Group, Inc.",PFG,0.52%
Capital One Financial Corporation,COF,0.52%
Western Union Company,WU,0.51%
"OneMain Holdings, Inc.",OMF,0.51%
"MetLife, Inc.",MET,0.5%
"VEREIT, Inc.",VER,0.5%
Synchrony Financial,SYF,0.5%
"Voya Financial, Inc.",VOYA,0.5%
State Street Corporation,STT,0.49%
AT&T Inc.,T,0.49%
"Equitable Holdings, Inc.",EQH,0.48%
"Williams-Sonoma, Inc.",WSM,0.47%
"Flowers Foods, Inc.",FLO,0.46%
"Wayfair, Inc. Class A",W,0.44%
Reliance Steel & Aluminum Co.,RS,0.43%
"Hartford Financial Services Group, Inc.",HIG,0.42%
"Goldman Sachs Group, Inc.",GS,0.41%
Brandywine Realty Trust,BDN,0.41%
"Primerica, Inc.",PRI,0.41%
Chevron Corporation,CVX,0.41%
Herbalife Nutrition Ltd.,HLF,0.4%
"Telephone and Data Systems, Inc.",TDS,0.4%
"Hanover Insurance Group, Inc.",THG,0.4%
Procter & Gamble Company,PG,0.39%
HP Inc.,HPQ,0.38%
Masco Corporation,MAS,0.37%
Loews Corporation,L,0.37%
Hershey Company,HSY,0.34%
Sealed Air Corporation,SEE,0.34%
Colgate-Palmolive Company,CL,0.33%
"Assurant, Inc.",AIZ,0.33%
Ciena Corporation,CIEN,0.33%
Biogen Inc.,BIIB,0.32%
"Lumen Technologies, Inc.",LUMN,0.31%
Tempur Sealy International Inc,TPX,0.31%
Altria Group Inc,MO,0.31%
Cabot Oil & Gas Corporation,COG,0.31%
FirstEnergy Corp.,FE,0.3%
eBay Inc.,EBAY,0.3%
"Brixmor Property Group, Inc.",BRX,0.29%
"W.W. Grainger, Inc.",GWW,0.29%
Campbell Soup Company,CPB,0.29%
"H&R Block, Inc.",HRB,0.29%
Rocket Companies Inc Class A,RKT,0.29%
"American National Group, Inc.",ANAT,0.28%
"Take-Two Interactive Software, Inc.",TTWO,0.28%
"Cirrus Logic, Inc.",CRUS,0.28%
Electronic Arts Inc.,EA,0.28%
Teradata Corporation,TDC,0.27%
DaVita Inc.,DVA,0.27%
