SYG: SPDR MFS Systematic Growth Equity ETF
Inception Date: 2014-01-08
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	24009
Shares Outstanding: 210000
Expense Ratio: 0.6%
Tracks This Index: n/a
ETFdb.com Category: Large Cap Growth Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SYG


Holding,Symbol,Weighting
Apple Inc.,AAPL,9.84%
Microsoft Corporation,MSFT,7.82%
"Amazon.com, Inc.",AMZN,6.83%
Alphabet Inc. Class C,GOOG,4.75%
"Facebook, Inc. Class A",FB,4.37%
PayPal Holdings Inc,PYPL,4.23%
NVIDIA Corporation,NVDA,3.77%
Oracle Corporation,ORCL,2.94%
Johnson & Johnson,JNJ,2.79%
"ServiceNow, Inc.",NOW,2.79%
Eli Lilly and Company,LLY,2.57%
"Domino\'s Pizza, Inc.",DPZ,2.2%
Intel Corporation,INTC,2.19%
Altria Group Inc,MO,2.09%
Adobe Inc.,ADBE,2.0%
"CrowdStrike Holdings, Inc. Class A",CRWD,2.0%
"VeriSign, Inc.",VRSN,1.71%
SBA Communications Corp. Class A,SBAC,1.69%
"Lowe\'s Companies, Inc.",LOW,1.61%
"EPAM Systems, Inc.",EPAM,1.54%
"Quanta Services, Inc.",PWR,1.48%
Vertex Pharmaceuticals Incorporated,VRTX,1.44%
"Activision Blizzard, Inc.",ATVI,1.33%
"Netflix, Inc.",NFLX,1.28%
"Zoom Video Communications, Inc. Class A",ZM,1.28%
"Universal Health Services, Inc. Class B",UHS,1.27%
"QTS Realty Trust, Inc. Class A",QTS,1.24%
AGCO Corporation,AGCO,1.24%
"Charter Communications, Inc. Class A",CHTR,1.22%
Costco Wholesale Corporation,COST,1.15%
Incyte Corporation,INCY,1.14%
MUTUAL FUND (OTHER),Other,1.13%
Target Corporation,TGT,1.09%
Broadcom Inc.,AVGO,1.06%
"Peloton Interactive, Inc. Class A",PTON,1.06%
Tesla Inc,TSLA,1.05%
"DocuSign, Inc.",DOCU,1.03%
"Home Depot, Inc.",HD,0.95%
Qualcomm Inc,QCOM,0.94%
"Best Buy Co., Inc.",BBY,0.86%
CVS Health Corporation,CVS,0.81%
"Regeneron Pharmaceuticals, Inc.",REGN,0.8%
HCA Healthcare Inc,HCA,0.75%
Cummins Inc.,CMI,0.66%
"Okta, Inc. Class A",OKTA,0.66%
Biogen Inc.,BIIB,0.61%
"MetLife, Inc.",MET,0.6%
"Zscaler, Inc.",ZS,0.59%
CSX Corporation,CSX,0.56%
Polaris Inc.,PII,0.51%
Humana Inc.,HUM,0.48%
