SYLD: Cambria Shareholder Yield ETF
Inception Date: 2013-05-14
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	81159
Shares Outstanding: 1850000
Expense Ratio: 0.59%
Tracks This Index: n/a
ETFdb.com Category: All Cap Equities
Issuer: Cambria
Structure: ETF
ETF Home Page: https://etfdb.com/etf/SYLD


Holding,Symbol,Weighting
GameStop Corp. Class A,GME,2.57%
Halliburton Company,HAL,2.11%
Apple Inc.,AAPL,1.92%
Rent-A-Center Inc,RCII,1.75%
"Nu Skin Enterprises, Inc. Class A",NUS,1.67%
Marriott Vacations Worldwide Corporation,VAC,1.66%
Trinseo SA,TSE,1.62%
"Toll Brothers, Inc.",TOL,1.6%
Fiat Chrysler Automobiles N.V.,FCA,1.59%
AerCap Holdings NV,AER,1.44%
Whirlpool Corporation,WHR,1.4%
"DuPont de Nemours, Inc.",DD,1.37%
Murphy Oil Corporation,MUR,1.37%
"Qurate Retail, Inc. Class A",QRTEA,1.35%
General Motors Company,GM,1.29%
Element Solutions Inc,ESI,1.26%
Howmet Aerospace Inc.,HWM,1.2%
Louisiana-Pacific Corporation,LPX,1.2%
"Copa Holdings, S.A. Class A",CPA,1.19%
"Buckle, Inc.",BKE,1.19%
"Waddell & Reed Financial, Inc. Class A",WDR,1.16%
Eaton Corp. Plc,ETN,1.16%
Cummins Inc.,CMI,1.1%
ViacomCBS Inc. Class B,VIAC,1.1%
Huntsman Corporation,HUN,1.1%
"Vishay Intertechnology, Inc.",VSH,1.08%
"Worthington Industries, Inc.",WOR,1.08%
Olin Corporation,OLN,1.07%
News Corporation Class A,NWSA,1.07%
Regal Beloit Corp,RBC,1.06%
HP Inc.,HPQ,1.05%
"Discovery, Inc. Class A",DISCA,1.04%
McKesson Corporation,MCK,1.04%
"Steel Dynamics, Inc.",STLD,1.03%
Brunswick Corporation,BC,1.03%
"Ameriprise Financial, Inc.",AMP,1.01%
"Arrow Electronics, Inc.",ARW,1.01%
AMC Networks Inc. Class A,AMCX,1.0%
"MSC Industrial Direct Co., Inc. Class A",MSM,1.0%
"Discovery, Inc. Class C",DISCK,0.98%
Baker Hughes Company Class A,BKR,0.97%
International Paper Company,IP,0.95%
"Helmerich & Payne, Inc.",HP,0.94%
Schlumberger NV,SLB,0.93%
nVent Electric plc,NVT,0.93%
"Guess?, Inc.",GES,0.93%
"United Airlines Holdings, Inc.",UAL,0.92%
"Acuity Brands, Inc.",AYI,0.91%
Concho Resources Inc.,CXO,0.9%
Ally Financial Inc,ALLY,0.9%
"Universal Health Services, Inc. Class B",UHS,0.9%
ManpowerGroup Inc.,MAN,0.89%
Domtar Corporation,UFS,0.89%
Sanmina Corporation,SANM,0.89%
Discover Financial Services,DFS,0.89%
Reliance Steel & Aluminum Co.,RS,0.89%
Cabot Corporation,CBT,0.89%
Ralph Lauren Corporation Class A,RL,0.88%
"Schweitzer-Mauduit International, Inc.",SWM,0.87%
Nucor Corporation,NUE,0.87%
SLM Corp,SLM,0.87%
Boise Cascade Co.,BCC,0.86%
Snap-on Incorporated,SNA,0.85%
"Federated Hermes, Inc. Class B",FHI,0.85%
JPMorgan Chase & Co.,JPM,0.85%
World Fuel Services Corporation,INT,0.84%
"PNC Financial Services Group, Inc.",PNC,0.84%
TRI Pointe Group Inc,TPH,0.84%
"Voya Financial, Inc.",VOYA,0.84%
LyondellBasell Industries NV,LYB,0.83%
Synchrony Financial,SYF,0.83%
Meredith Corporation,MDP,0.82%
"Citizens Financial Group, Inc.",CFG,0.82%
"Wyndham Destinations, Inc.",WYND,0.8%
"Juniper Networks, Inc.",JNPR,0.8%
Allstate Corporation,ALL,0.79%
Intel Corporation,INTC,0.79%
"MetLife, Inc.",MET,0.79%
DISH Network Corporation Class A,DISH,0.79%
Western Union Company,WU,0.77%
U.S. Dollar,Other,0.76%
"Foot Locker, Inc.",FL,0.76%
Biogen Inc.,BIIB,0.75%
Fox Corporation Class B,FOX,0.74%
"Dillard\'s, Inc. Class A",DDS,0.73%
"Tyson Foods, Inc. Class A",TSN,0.72%
HollyFrontier Corporation,HFC,0.72%
U.S. Bancorp,USB,0.67%
Aflac Incorporated,AFL,0.67%
M&T Bank Corporation,MTB,0.65%
Lincoln National Corporation,LNC,0.64%
Hewlett Packard Enterprise Co.,HPE,0.63%
Walgreens Boots Alliance Inc,WBA,0.61%
Xerox Holdings Corporation,XRX,0.6%
Unum Group,UNM,0.6%
ConocoPhillips,COP,0.58%
Assured Guaranty Ltd.,AGO,0.56%
Chevron Corporation,CVX,0.56%
Valero Energy Corporation,VLO,0.54%
"CVR Energy, Inc.",CVI,0.5%
Wells Fargo & Company,WFC,0.48%
