TAWK: Direxion Daily Communication Services Index Bull 3X Shares
Inception Date: 2019-01-14
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	7917
Shares Outstanding: 200000
Expense Ratio: 1.1%
Tracks This Index: S&P Communication Services Select Sector Index (+300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TAWK


Holding,Symbol,Weighting
Facebook Inc,FB,22.6548%
Alphabet Inc,GOOGL,11.2573%
Alphabet Inc,GOOG,11.06%
Charter Communications Inc,CHTR,4.7158%
Activision Blizzard Inc,ATVI,4.6767%
Comcast Corp,CMCSA,4.6679%
Netflix Inc,NFLX,4.612%
T-Mobile US Inc,TMUS,4.5936%
Verizon Communications Inc,VZ,4.4711%
AT&T Inc,T,4.4048%
Walt Disney Co,DIS,4.2951%
Electronic Arts Inc,EA,3.8162%
Twitter Inc,TWTR,3.596%
Take-Two Interactive Software Inc,TTWO,1.9095%
ViacomCBS Inc,VIAC,1.6591%
Omnicom Group Inc,OMC,1.0661%
Centurylink Inc,LUMN,1.0259%
Fox Corp,FOXA,0.9708%
Live Nation Entertainment Inc,LYV,0.7699%
DISH Network Corp,DISH,0.7429%
Interpublic Group of Companies Inc,IPG,0.6591%
Discovery Inc,DISCK,0.6128%
News Corp,NWSA,0.5494%
Fox Corp,FOX,0.4427%
Discovery Inc,DISCA,0.3538%
Cash Component,CASH,0.2462%
News Corp,NWS,0.1704%
