TDSA: Cabana Target Drawdown 5
Inception Date: 2020-09-16
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	19239
Shares Outstanding: 800000
Expense Ratio: 0.93%
Tracks This Index: n/a
ETFdb.com Category: Diversified Portfolio
Issuer: Cabana Asset Management
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TDSA


Holding,Symbol,Weighting
Health Care Select Sector SPDR Fund,XLV,15.21%
Consumer Discretionary Select Sector SPDR Fund,XLY,15.15%
iShares Preferred & Income Securities ETF,PFF,14.95%
Invesco DB US Dollar Index Bullish Fund,UUP,14.78%
iShares 7-10 Year Treasury Bond ETF,IEF,9.93%
iShares 20+ Year Treasury Bond ETF,TLT,9.89%
iShares Russell 1000 Value ETF,IWD,5.02%
iShares iBoxx $ High Yield Corporate Bond ETF,HYG,5.01%
iShares Core High Dividend ETF,HDV,5.0%
Communication Services Select Sector SPDR Fund,XLC,4.99%
MUTUAL FUND (OTHER),Other,0.07%
