TDVG: T. Rowe Price Dividend Growth ETF
Inception Date: 2020-08-04
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	36432
Shares Outstanding: 1310000
Expense Ratio: 0.5%
Tracks This Index: n/a
ETFdb.com Category: Large Cap Growth Equities
"Issuer: T. Rowe Price Group, Inc"
Structure: 
ETF Home Page: https://etfdb.com/etf/TDVG


Holding,Symbol,Weighting
Microsoft Corporation,MSFT,5.21%
Apple Inc.,AAPL,4.67%
State Street Institutional Investment Trust US Government Money Market Fund Institutional,GVMXX,3.3%
Visa Inc. Class A,V,2.99%
JPMorgan Chase & Co.,JPM,2.65%
Danaher Corporation,DHR,2.43%
UnitedHealth Group Incorporated,UNH,2.09%
Thermo Fisher Scientific Inc.,TMO,1.95%
Accenture Plc Class A,ACN,1.81%
"Mondelez International, Inc. Class A",MDLZ,1.56%
"Roper Technologies, Inc.",ROP,1.51%
Texas Instruments Incorporated,TXN,1.51%
Comcast Corporation Class A,CMCSA,1.46%
"PepsiCo, Inc.",PEP,1.46%
Dollar General Corporation,DG,1.45%
Morgan Stanley,MS,1.43%
Honeywell International Inc.,HON,1.43%
Chubb Limited,CB,1.42%
"Marsh & McLennan Companies, Inc.",MMC,1.41%
"AbbVie, Inc.",ABBV,1.39%
Walt Disney Company,DIS,1.36%
"NextEra Energy, Inc.",NEE,1.33%
"Ross Stores, Inc.",ROST,1.3%
Ball Corporation,BLL,1.3%
Stryker Corporation,SYK,1.25%
Union Pacific Corporation,UNP,1.17%
"Fidelity National Information Services, Inc.",FIS,1.17%
"Home Depot, Inc.",HD,1.13%
General Electric Company,GE,1.11%
Coca-Cola Company,KO,1.11%
"Agilent Technologies, Inc.",A,1.11%
"Zoetis, Inc. Class A",ZTS,1.11%
"Becton, Dickinson and Company",BDX,1.11%
American Tower Corporation,AMT,1.1%
Johnson & Johnson,JNJ,1.1%
"Air Products and Chemicals, Inc.",APD,0.99%
McDonald\'s Corporation,MCD,0.98%
"United Parcel Service, Inc. Class B",UPS,0.97%
Charles Schwab Corporation,SCHW,0.96%
"Applied Materials, Inc.",AMAT,0.95%
"Waste Connections, Inc.",WCN,0.94%
Medtronic Plc,MDT,0.9%
Aon Plc Class A,AON,0.88%
Sempra Energy,SRE,0.82%
Linde plc,LIN,0.81%
Wells Fargo & Company,WFC,0.81%
Crown Castle International Corp,CCI,0.78%
TE Connectivity Ltd.,TEL,0.78%
Avery Dennison Corporation,AVY,0.77%
Hilton Worldwide Holdings Inc,HLT,0.75%
Equifax Inc.,EFX,0.74%
Philip Morris International Inc.,PM,0.72%
"Broadridge Financial Solutions, Inc.",BR,0.71%
"S&P Global, Inc.",SPGI,0.69%
Microchip Technology Incorporated,MCHP,0.68%
"McCormick & Company, Incorporated",MKC,0.66%
Pfizer Inc.,PFE,0.65%
Cigna Corporation,CI,0.64%
"EOG Resources, Inc.",EOG,0.64%
Amphenol Corporation Class A,APH,0.64%
Atmos Energy Corporation,ATO,0.63%
Northrop Grumman Corporation,NOC,0.63%
Costco Wholesale Corporation,COST,0.6%
Illinois Tool Works Inc.,ITW,0.6%
Total SE Sponsored ADR Class B,TOT,0.59%
Eli Lilly and Company,LLY,0.59%
"Yum! Brands, Inc.",YUM,0.59%
"J.B. Hunt Transport Services, Inc.",JBHT,0.58%
CME Group Inc. Class A,CME,0.58%
Willis Towers Watson Public Limited Company,WLTW,0.57%
Equity Residential,EQR,0.57%
"NIKE, Inc. Class B",NKE,0.57%
"American Electric Power Company, Inc.",AEP,0.56%
"Marriott International, Inc. Class A",MAR,0.56%
"PNC Financial Services Group, Inc.",PNC,0.56%
"Automatic Data Processing, Inc.",ADP,0.56%
Sherwin-Williams Company,SHW,0.54%
RPM International Inc.,RPM,0.54%
Sealed Air Corporation,SEE,0.53%
Colgate-Palmolive Company,CL,0.5%
Fortive Corp.,FTV,0.5%
Qualcomm Inc,QCOM,0.49%
AT&T Inc.,T,0.49%
Progressive Corporation,PGR,0.47%
"American Water Works Company, Inc.",AWK,0.46%
Deere & Company,DE,0.41%
PACCAR Inc,PCAR,0.4%
Tractor Supply Company,TSCO,0.39%
Las Vegas Sands Corp.,LVS,0.39%
Cummins Inc.,CMI,0.37%
American Express Company,AXP,0.35%
"Merck & Co., Inc.",MRK,0.34%
Eversource Energy,ES,0.34%
Diageo plc Sponsored ADR,DEO,0.32%
Cintas Corporation,CTAS,0.32%
"PPG Industries, Inc.",PPG,0.29%
"Rockwell Automation, Inc.",ROK,0.26%
Ameren Corporation,AEE,0.25%
Kimberly-Clark Corporation,KMB,0.23%
TC Energy Corporation,TRP,0.22%
Ecolab Inc.,ECL,0.14%
U.S. Dollar,Other,0.12%
CVS Health Corporation,CVS,0.1%
Howmet Aerospace Inc.,HWM,0.06%
Fox Corporation Class A,FOXA,0.03%
Vontier Corp,VNT,0.03%
"Viatris, Inc.",VTRS,0.01%
