TLTD: FlexShares Morningstar Developed Markets ex-US Market Factor Tilt Index ETF
Inception Date: 2012-09-25
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	585603
Shares Outstanding: 8800000
Expense Ratio: 0.39%
Tracks This Index: Morningstar Developed Markets ex-US Factor Tilt Index
ETFdb.com Category: Global Equities
Issuer: FlexShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TLTD


Holding,Symbol,Weighting
Nestle S.A.,NESN,0.99%
Toyota Motor Corp.,7203,0.78%
Roche Holding Ltd,ROG,0.72%
Novartis AG,NOVN,0.68%
ASML Holding NV,ASML,0.62%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.49%
Royal Bank of Canada,RY,0.48%
AIA Group Limited,1299,0.45%
Total SE,FP,0.44%
HSBC Holdings Plc,HSBA,0.43%
Toronto-Dominion Bank,TD,0.42%
SAP SE,SAP,0.41%
AstraZeneca PLC,AZN,0.4%
Allianz SE,ALV,0.39%
SoftBank Group Corp.,9984,0.38%
GlaxoSmithKline plc,GSK,0.38%
Sony Corporation,6758,0.37%
"Shopify, Inc. Class A",SHOP,0.37%
British American Tobacco p.l.c.,BATS,0.35%
Novo Nordisk A/S Class B,NOVO.B,0.35%
Rio Tinto plc,RIO,0.34%
Enel SpA,ENEL,0.33%
Siemens AG,SIE,0.33%
Sanofi,SAN,0.33%
Commonwealth Bank of Australia,CBA,0.33%
Royal Dutch Shell Plc Class A,RDSA,0.32%
Keyence Corporation,6861,0.31%
CSL Limited,CSL,0.31%
BHP Group Ltd,BHP,0.29%
BP p.l.c.,BP,0.29%
BASF SE,BAS,0.28%
Diageo plc,DGE,0.28%
Royal Dutch Shell Plc Class B,RDSB,0.26%
Deutsche Telekom AG,DTE,0.25%
Unilever PLC,UNA,0.25%
National Australia Bank Limited,NAB,0.25%
L\'Oreal SA,OR,0.25%
Bank of Nova Scotia,BNS,0.25%
Iberdrola SA,IBE,0.24%
Bayer AG,BAYN,0.24%
BNP Paribas SA Class A,BNP,0.24%
BHP Group Plc,BHP,0.24%
Zurich Insurance Group Ltd,ZURN,0.24%
"Nintendo Co., Ltd.",7974,0.24%
UBS Group AG,UBSG,0.23%
Schneider Electric SE,SU,0.23%
Unilever PLC,ULVR,0.22%
Daimler AG,DAI,0.22%
Takeda Pharmaceutical Co. Ltd.,4502,0.22%
Canadian National Railway Company,CNR,0.22%
Adyen NV,ADYEN,0.21%
Westpac Banking Corporation,WBC,0.21%
Air Liquide SA,AI,0.21%
Anglo American plc,AAL,0.21%
John Wood Group PLC,WG,0.21%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.21%
Nidec Corporation,6594,0.2%
Enbridge Inc.,ENB,0.2%
Banco Santander S.A.,SAN,0.2%
Airbus SE,AIR,0.2%
"Recruit Holdings Co., Ltd.",6098,0.2%
Bank of Montreal,BMO,0.2%
Australia and New Zealand Banking Group Limited,ANZ,0.2%
Deutsche Post AG,DPW,0.2%
Shin-Etsu Chemical Co Ltd,4063,0.2%
Methanex Corporation,MX,0.19%
KDDI Corporation,9433,0.19%
"Honda Motor Co., Ltd.",7267,0.19%
adidas AG,ADS,0.19%
Vistry Group PLC,VTY,0.19%
Prudential plc,PRU,0.19%
AXA SA,CS,0.18%
Vodafone Group Plc,VOD,0.18%
Hong Kong Exchanges & Clearing Ltd.,388,0.18%
"Daiichi Sankyo Company, Limited",4568,0.18%
Samsonite International S.A.,1910,0.18%
Reckitt Benckiser Group plc,RB,0.18%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.17%
"Murata Manufacturing Co., Ltd.",6981,0.17%
Jet2 PLC,JET2,0.17%
Anheuser-Busch InBev SA/NV,ABI,0.17%
SSP Group Plc,SSPG,0.17%
"DAIKIN INDUSTRIES, LTD.",6367,0.17%
"FAST RETAILING CO., LTD.",9983,0.17%
HOYA CORPORATION,7741,0.17%
Tokyo Electron Ltd.,8035,0.16%
Linamar Corporation,LNR,0.16%
Canadian Imperial Bank of Commerce,CM,0.16%
ABB Ltd.,ABBN,0.16%
ADLER Group SA,ADJ,0.16%
Itochu Corporation,8001,0.16%
Vestas Wind Systems A/S,VWS,0.16%
Banco de Sabadell SA,SAB,0.16%
Munich Reinsurance Company,MUV2,0.16%
Brookfield Asset Management Inc. Class A,BAM.A,0.16%
DBS Group Holdings Ltd,D05,0.15%
Wesfarmers Limited,WES,0.15%
Prosus N.V. Class N,PRX,0.15%
Rio Tinto Limited,RIO,0.15%
Glencore plc,GLEN,0.15%
"Tokio Marine Holdings, Inc.",8766,0.15%
Canadian Pacific Railway Limited,CP,0.15%
OSB Group PLC,OSB,0.15%
Jupiter Fund Management plc,JUP,0.15%
Intesa Sanpaolo S.p.A.,ISP,0.15%
Kering SA,KER,0.15%
Aggreko plc,AGK,0.15%
Infineon Technologies AG,IFX,0.15%
Nexity SA Class A,NXI,0.15%
"Hitachi,Ltd.",6501,0.15%
Virgin Money UK Plc,VMUK,0.15%
Drax Group plc,DRX,0.15%
Lonza Group AG,LONN,0.14%
Canadian Western Bank,CWB,0.14%
"Daiwabo Holdings Co., Ltd.",3107,0.14%
Nippon Telegraph and Telephone Corporation,9432,0.14%
IAMGOLD Corporation,IMG,0.14%
Compagnie Financiere Richemont SA,CFR,0.14%
Burford Capital Limited,BUR,0.14%
ING Groep NV,INGA,0.14%
Parex Resources Inc.,PXT,0.14%
Micro Focus International plc,MCRO,0.14%
Acerinox SA,ACX,0.14%
Volvo AB Class B,VOLV.B,0.14%
RELX PLC,REL,0.14%
VINCI SA,DG,0.14%
Jyske Bank A/S,JYSK,0.14%
Fortescue Metals Group Ltd,FMG,0.14%
Koninklijke Philips N.V.,PHIA,0.14%
Volkswagen AG Pref,VOW3,0.13%
Aperam SA,APAM,0.13%
Sika AG,SIKA,0.13%
Redrow plc,RDW,0.13%
Playtech plc,PTEC,0.13%
Nexans SA,NEX,0.13%
BPER Banca S.p.A.,BPE,0.13%
ARC Resources Ltd.,ARX,0.13%
Safran S.A.,SAF,0.13%
Fanuc Corporation,6954,0.13%
Investec plc,INVP,0.13%
