TMDV: ProShares Russell U.S. Dividend Growers ETF
Inception Date: 2019-11-05
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	22837
Shares Outstanding: 550000
Expense Ratio: 0.35%
Tracks This Index: Russell 3000 Dividend Elite Index
ETFdb.com Category: All Cap Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TMDV


Holding,Symbol,Weighting
Brady Corporation Class A,BRC,1.66%
California Water Service Group,CWT,1.57%
"Lowe\'s Companies, Inc.",LOW,1.55%
"United Bankshares, Inc.",UBSI,1.54%
American States Water Company,AWR,1.53%
Johnson & Johnson,JNJ,1.52%
"Commerce Bancshares, Inc.",CBSH,1.52%
Universal Corp,UVV,1.51%
Eaton Vance Corp.,EV,1.51%
Exxon Mobil Corporation,XOM,1.51%
Stepan Company,SCL,1.5%
Lancaster Colony Corporation,LANC,1.5%
"Becton, Dickinson and Company",BDX,1.5%
"Air Products and Chemicals, Inc.",APD,1.49%
Medtronic Plc,MDT,1.49%
Target Corporation,TGT,1.49%
SJW Group,SJW,1.49%
RLI Corp.,RLI,1.48%
"Franklin Resources, Inc.",BEN,1.48%
RPM International Inc.,RPM,1.48%
Abbott Laboratories,ABT,1.48%
Sherwin-Williams Company 5.5% 15-OCT-2027,Other,1.47%
National Fuel Gas Company,NFG,1.46%
"Tootsie Roll Industries, Inc.",TR,1.46%
Tennant Company,TNC,1.46%
Cincinnati Financial Corporation,CINF,1.46%
Middlesex Water Company,MSEX,1.46%
Procter & Gamble Company,PG,1.46%
Genuine Parts Company,GPC,1.46%
Carlisle Companies Incorporated,CSL,1.46%
H.B. Fuller Company,FUL,1.46%
Archer-Daniels-Midland Company,ADM,1.45%
Dover Corporation,DOV,1.45%
McDonald\'s Corporation,MCD,1.45%
Clorox Company,CLX,1.44%
3M Company,MMM,1.44%
Colgate-Palmolive Company,CL,1.44%
Nordson Corporation,NDSN,1.44%
"PepsiCo, Inc.",PEP,1.44%
Illinois Tool Works Inc.,ITW,1.44%
Emerson Electric Co.,EMR,1.43%
Black Hills Corporation,BKH,1.43%
"Telephone and Data Systems, Inc.",TDS,1.43%
AT&T Inc.,T,1.43%
Walmart Inc.,WMT,1.42%
Sonoco Products Company,SON,1.42%
"PPG Industries, Inc.",PPG,1.42%
Kimberly-Clark Corporation,KMB,1.41%
"W.W. Grainger, Inc.",GWW,1.41%
Brown-Forman Corporation Class B,BF.B,1.41%
Coca-Cola Company,KO,1.4%
Hormel Foods Corporation,HRL,1.4%
"S&P Global, Inc.",SPGI,1.4%
Old Republic International Corporation,ORI,1.4%
"MSA Safety, Inc.",MSA,1.4%
Cintas Corporation,CTAS,1.39%
Nucor Corporation,NUE,1.39%
ABM Industries Incorporated,ABM,1.39%
"Leggett & Platt, Incorporated",LEG,1.39%
"Automatic Data Processing, Inc.",ADP,1.39%
"MGE Energy, Inc.",MGEE,1.38%
Gorman-Rupp Company,GRC,1.38%
Walgreens Boots Alliance Inc,WBA,1.37%
"Stanley Black & Decker, Inc.",SWK,1.36%
Sysco Corporation,SYY,1.35%
Aflac Incorporated,AFL,1.35%
"Consolidated Edison, Inc.",ED,1.34%
Northwest Natural Holding Co.,NWN,1.31%
Federal Realty Investment Trust,FRT,1.28%
U.S. Dollar,Other,0.32%
