TPAY: Ecofin Digital Payments Infrastructure Fund
Inception Date: 2019-01-31
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	8850
Shares Outstanding: 200000
Expense Ratio: 0.4%
Tracks This Index: Ecofin Global Digital Payments Infrastructure Index
ETFdb.com Category: Technology Equities
Issuer: Tortoise Capital
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TPAY


Holding,Symbol,Weighting
Afterpay Limited,APT,5.3%
Worldline SA,WLN,4.76%
PayPal Holdings Inc,PYPL,4.71%
Adyen NV,ADYEN,4.63%
Discover Financial Services,DFS,4.61%
"Square, Inc. Class A",SQ,4.57%
Global Payments Inc.,GPN,4.53%
StoneCo Ltd. Class A,STNE,4.5%
Mastercard Incorporated Class A,MA,4.46%
Visa Inc. Class A,V,4.44%
"DocuSign, Inc.",DOCU,4.3%
"FLEETCOR Technologies, Inc.",FLT,4.26%
"Fiserv, Inc.",FISV,4.18%
American Express Company,AXP,4.15%
"Fidelity National Information Services, Inc.",FIS,4.05%
"Jack Henry & Associates, Inc.",JKHY,3.47%
Nexi S.p.A.,NEXI,2.92%
PagSeguro Digital Ltd. Class A,PAGS,2.86%
Western Union Company,WU,2.54%
WEX Inc.,WEX,2.51%
"Euronet Worldwide, Inc.",EEFT,2.03%
"Q2 Holdings, Inc.",QTWO,1.78%
"GMO Payment Gateway, Inc.",3769,1.72%
China Youzan Limited,8083,1.38%
NCR Corporation,NCR,1.32%
"ACI Worldwide, Inc.",ACIW,1.24%
"EVERTEC, Inc.",EVTC,0.78%
Green Dot Corporation Class A,GDOT,0.76%
Nuvei Corporation,NVEI,0.73%
"Bottomline Technologies (de), Inc.",EPAY,0.66%
Network International Holdings Plc,NETW,0.56%
"Credit Saison Co., Ltd.",8253,0.47%
"CSG Systems International, Inc.",CSGS,0.41%
"Zuora, Inc. Class A",ZUO,0.4%
IRESS Limited,IRE,0.38%
"AEON Financial Service Co., Ltd.",8570,0.35%
"EVO Payments, Inc. Class A",EVOP,0.32%
Provident Financial PLC,PFG,0.3%
Pushpay Holdings Ltd,PPH,0.29%
Sezzle Inc Shs Chess Depository Interests Repr 1 Sh,SZL,0.27%
BigCommerce Holdings Inc,BIGC,0.25%
LendingClub Corp,LC,0.25%
OneSpan Inc.,OSPN,0.21%
"Mitek Systems, Inc.",MITK,0.2%
PAX Global Technology Limited,327,0.18%
Orient Corporation,8585,0.18%
Qiwi Plc Sponsored ADR Class B,QIWI,0.16%
First American Funds Inc X Government Obligations Fund,FGXXX,0.16%
"USA Technologies, Inc.",USAT,0.16%
"Cass Information Systems, Inc.",CASS,0.15%
Yiren Digital Ltd. Sponsored ADR,YRD,0.09%
"GreenSky, Inc. Class A",GSKY,0.09%
Huifu Payment Limited,1806,0.07%
Splitit Payments Ltd.,SPT,0.06%
U.S. Dollar,Other,-0.13%
