TPIF: Timothy Plan International ETF
Inception Date: 2019-12-02
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	72186
Shares Outstanding: 2650000
Expense Ratio: 0.62%
Tracks This Index: Victory U.S. Large Cap Volatility Weighted BRI Index
ETFdb.com Category: Foreign Large Cap Equities
"Issuer: Timothy Partners, Ltd"
Structure: ETF
ETF Home Page: https://etfdb.com/etf/TPIF


Holding,Symbol,Weighting
Nippon Telegraph and Telephone Corporation,9432,0.67%
"Murata Manufacturing Co., Ltd.",6981,0.48%
SoftBank Corp.,9434,0.45%
Barry Callebaut AG,BARN,0.45%
CLP Holdings Limited,2,0.44%
MTR Corporation Limited,66,0.43%
Itochu Corporation,8001,0.4%
"DAIKIN INDUSTRIES, LTD.",6367,0.4%
Henderson Land Development Co. Ltd.,12,0.39%
"Hang Seng Bank, Limited",11,0.39%
Oversea-Chinese Banking Corporation Limited,O39,0.39%
Hong Kong & China Gas Co. Ltd.,3,0.39%
Power Assets Holdings Limited,6,0.38%
Orsted,ORSTED,0.38%
Keyence Corporation,6861,0.38%
Mitsubishi Corporation,8058,0.38%
EQUITY OTHER,Other,0.37%
Chocoladefabriken Lindt & Spruengli AG Partizipsch.,LISP,0.37%
Schindler Holding AG Pref,SCHP,0.37%
DBS Group Holdings Ltd,D05,0.37%
United Overseas Bank Ltd. (Singapore),U11,0.37%
Banque Cantonale Vaudoise,BCVN,0.37%
SGS SA,SGSN,0.37%
"Secom Co., Ltd.",9735,0.37%
Mitsubishi Electric Corp.,6503,0.36%
Singapore Telecommunications Limited,Z74,0.36%
KDDI Corporation,9433,0.36%
Kao Corp.,4452,0.36%
Sysmex Corporation,6869,0.36%
EMS-CHEMIE HOLDING AG,EMSN,0.36%
"FAST RETAILING CO., LTD.",9983,0.36%
Kuehne & Nagel International AG,KNIN,0.35%
Kubota Corporation,6326,0.35%
Swisscom AG,SCMN,0.35%
Toyota Industries Corp.,6201,0.35%
"JAPAN POST HOLDINGS Co., Ltd.",6178,0.34%
Bridgestone Corporation,5108,0.34%
Croda International Plc,CRDA,0.34%
Hermes International SCA,RMS,0.34%
"M3, Inc.",2413,0.34%
Kyocera Corporation,6971,0.34%
"Samsung Electronics Co., Ltd.",005930,0.34%
AIA Group Limited,1299,0.34%
Beiersdorf AG,BEI,0.34%
CK Hutchison Holdings Ltd,1,0.34%
SMC Corporation,6273,0.34%
Logitech International S.A.,LOGN,0.34%
Givaudan SA,GIVN,0.34%
U.S. Dollar,Other,0.33%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.33%
Admiral Group plc,ADM,0.33%
Rio Tinto Limited,RIO,0.33%
Unicharm Corporation,8113,0.33%
"Chugai Pharmaceutical Co., Ltd.",4519,0.33%
Kerry Group Plc Class A,KRZ,0.33%
Symrise AG,SY1,0.33%
"Tokio Marine Holdings, Inc.",8766,0.33%
CK Infrastructure Holdings Limited,1038,0.33%
"Japan Post Bank Co., Ltd.",7182,0.33%
SK hynix Inc,000660,0.33%
HOYA CORPORATION,7741,0.33%
Panasonic Corporation,6752,0.33%
Shimano Inc.,7309,0.32%
Coloplast A/S Class B,COLO.B,0.32%
"ONO Pharmaceutical Co., Ltd.",4528,0.32%
Fresenius Medical Care AG & Co. KGaA,FME,0.32%
Nidec Corporation,6594,0.32%
"Nitori Holdings Co., Ltd.",9843,0.32%
LG Electronics Inc.,066570,0.32%
Astellas Pharma Inc.,4503,0.32%
Compagnie Financiere Richemont SA,CFR,0.32%
Deutsche Wohnen SE,DWNI,0.32%
Woolworths Group Ltd,WOW,0.32%
Geberit AG,GEBN,0.32%
Koninklijke DSM N.V.,DSM,0.32%
UPM-Kymmene Oyj,UPM,0.32%
Kone Oyj Class B,KNEBV,0.32%
CapitaLand Limited,C31,0.32%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.32%
Shin-Etsu Chemical Co Ltd,4063,0.32%
Metro Inc.,MRU,0.31%
Tokyo Electron Ltd.,8035,0.31%
Red Electrica Corp. SA,REE,0.31%
"OBIC Co., Ltd.",4684,0.31%
Telstra Corporation Limited,TLS,0.31%
"Mizuho Financial Group, Inc.",8411,0.31%
"SK Telecom Co., Ltd.",017670,0.31%
Coles Group Ltd.,COL,0.31%
Wolters Kluwer NV,WKL,0.31%
Vonovia SE,VNA,0.31%
Iberdrola SA,IBE,0.3%
Sofina SA,SOF,0.3%
Vestas Wind Systems A/S,VWS,0.3%
Air Liquide SA,AI,0.3%
Canon Inc.,7751,0.3%
FUJIFILM Holdings Corp,4901,0.3%
"Oriental Land Co., Ltd.",4661,0.3%
"Daiichi Sankyo Company, Limited",4568,0.3%
Constellation Software Inc.,CSU,0.3%
Komatsu Ltd.,6301,0.3%
"Nomura Research Institute,Ltd.",4307,0.3%
EDP-Energias de Portugal SA,EDP,0.3%
CGI Inc. Class A,GIB.A,0.3%
Sino Land Co. Ltd.,83,0.3%
"Jeronimo Martins, SGPS S.A.",JMT,0.3%
Assicurazioni Generali S.p.A.,G,0.3%
POSCO,005490,0.3%
Essity AB Class B,ESSITY.B,0.29%
Terumo Corporation,4543,0.29%
Partners Group Holding AG,PGHN,0.29%
Tryg A/S,TRYG,0.29%
"Otsuka Holdings Co., Ltd.",4578,0.29%
Chr. Hansen Holding A/S,CHR,0.29%
Uniper SE,UN01,0.28%
Antofagasta plc,ANTO,0.28%
Svenska Cellulosa Aktiebolaget Class B,SCA.B,0.28%
Sika AG,SIKA,0.28%
LEG Immobilien AG,LEG,0.28%
E.ON SE,EOAN,0.28%
Dollarama Inc.,DOL,0.28%
ASML Holding NV,ASML,0.28%
Bureau Veritas SA,BVI,0.28%
"Celltrion Healthcare Co., Ltd.",091990,0.28%
New World Development Co. Ltd.,17,0.28%
