UFO: Procure Space ETF
Inception Date: 2019-04-11
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	42550
Shares Outstanding: 1700000
Expense Ratio: 0.75%
Tracks This Index: S-Network Space Index
ETFdb.com Category: Global Equities
"Issuer: ProcureAM, LLC"
Structure: ETF
ETF Home Page: https://etfdb.com/etf/UFO


Holding,Symbol,Weighting
Iridium Communications Inc.,IRDM,5.51%
ORBCOMM Inc.,ORBC,5.28%
Trimble Inc.,TRMB,5.16%
"Maxar Technologies, Inc.",MAXR,5.09%
Eutelsat Communications SA,ETL,4.97%
SES SA FDR (Class A),SESG,4.87%
Garmin Ltd.,GRMN,4.87%
SKY Perfect JSAT Holdings Inc.,9412,4.82%
Weathernews Inc.,4825,4.73%
"Sirius XM Holdings, Inc.",SIRI,4.69%
Avio SpA,AVIO,4.63%
EchoStar Corporation Class A,SATS,4.62%
Loral Space & Communications Inc.,LORL,4.57%
"ViaSat, Inc.",VSAT,4.51%
DISH Network Corporation Class A,DISH,4.23%
Gilat Satellite Networks Ltd.,GILT,4.05%
Virgin Galactic Holdings Inc,SPCE,3.51%
Comcast Corporation Class A,CMCSA,2.43%
Lockheed Martin Corporation,LMT,2.36%
AT&T Inc.,T,2.33%
Raytheon Technologies Corporation,RTX,2.28%
Boeing Company,BA,2.1%
L3Harris Technologies Inc,LHX,1.91%
Northrop Grumman Corporation,NOC,1.91%
Honeywell International Inc.,HON,1.59%
Airbus SE,AIR,1.35%
Ball Corporation,BLL,0.74%
U.S. Dollar,Other,0.32%
"Aerojet Rocketdyne Holdings, Inc.",AJRD,0.24%
Thales SA,HO,0.14%
First American Funds Inc X Government Obligations Fund,FGXXX,0.11%
Leonardo SpA,LDO,0.04%
IHI Corporation,7013,0.01%
SpeedCast International Ltd,SDA,0.0%
