ULVM: VictoryShares USAA MSCI USA Value Momentum ETF
Inception Date: 2017-10-24
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	507844
Shares Outstanding: 9250000
Expense Ratio: 0.2%
Tracks This Index: MSCI USA Select Value Momentum Blend Index
ETFdb.com Category: Large Cap Blend Equities
Issuer: Victory Capital
Structure: ETF
ETF Home Page: https://etfdb.com/etf/ULVM


Holding,Symbol,Weighting
Danaher Corporation,DHR,0.96%
Thermo Fisher Scientific Inc.,TMO,0.95%
Clorox Company,CLX,0.93%
"Peloton Interactive, Inc. Class A",PTON,0.9%
Dollar General Corporation,DG,0.87%
J.M. Smucker Company,SJM,0.87%
"Zscaler, Inc.",ZS,0.86%
"Moderna, Inc.",MRNA,0.86%
Bristol-Myers Squibb Company,BMY,0.8%
"Alexion Pharmaceuticals, Inc.",ALXN,0.79%
Apple Inc.,AAPL,0.78%
"Arrow Electronics, Inc.",ARW,0.78%
Kansas City Southern,KSU,0.77%
"West Pharmaceutical Services, Inc.",WST,0.77%
Morgan Stanley,MS,0.76%
"Bio-Rad Laboratories, Inc. Class A",BIO,0.76%
Eaton Corp. Plc,ETN,0.75%
"Amazon.com, Inc.",AMZN,0.74%
Trane Technologies plc,TT,0.73%
Molson Coors Beverage Company Class B,TAP,0.73%
Target Corporation,TGT,0.72%
Corteva Inc,CTVA,0.72%
"Discovery, Inc. Class A",DISCA,0.71%
Hewlett Packard Enterprise Co.,HPE,0.71%
PACCAR Inc,PCAR,0.71%
CVS Health Corporation,CVS,0.71%
HP Inc.,HPQ,0.71%
"Equinix, Inc.",EQIX,0.71%
Cummins Inc.,CMI,0.7%
Seagate Technology PLC,STX,0.7%
"Digital Realty Trust, Inc.",DLR,0.7%
DaVita Inc.,DVA,0.69%
Intel Corporation,INTC,0.69%
"NRG Energy, Inc.",NRG,0.69%
"Micron Technology, Inc.",MU,0.68%
IAC/InteractiveCorp.,IAC,0.68%
"Iron Mountain, Inc.",IRM,0.68%
Eastman Chemical Company,EMN,0.67%
McKesson Corporation,MCK,0.67%
AmerisourceBergen Corporation,ABC,0.66%
"Host Hotels & Resorts, Inc.",HST,0.66%
"United Parcel Service, Inc. Class B",UPS,0.66%
Vistra Corp.,VST,0.66%
"Qorvo, Inc.",QRVO,0.66%
