USDY: Pacific Global US Equity Income ETF
Inception Date: 2019-02-12
Fund Holdings as of: 2020-09-29
Total Assets Under Management (in thousands):	30092
Shares Outstanding: 1200000
Expense Ratio: 0.29%
Tracks This Index: n/a
ETFdb.com Category: Large Cap Blend Equities
Issuer: Horizons ETFs
Structure: ETF
ETF Home Page: https://etfdb.com/etf/USDY


Holding,Symbol,Weighting
Cash Component,CASH,1.76%
United Parcel Service Inc,UPS,1.7352%
Qualcomm Inc,QCOM,1.6903%
Procter & Gamble Co,PG,1.5169%
Broadcom Inc,AVGO,1.4943%
Amgen Inc,AMGN,1.4344%
Mcdonald's Corp,MCD,1.428%
Union Pacific Corp,UNP,1.4201%
Comcast Corp,CMCSA,1.4156%
Texas Instruments Inc,TXN,1.3979%
Home Depot Inc,HD,1.3897%
PepsiCo Inc,PEP,1.3665%
Bunge Ltd,BG,1.3617%
Verizon Communications Inc,VZ,1.3441%
Starbucks Corp,SBUX,1.3347%
Medtronic PLC,MDT,1.3326%
Honeywell International Inc,HON,1.3222%
Johnson & Johnson,JNJ,1.3174%
Pfizer Inc,PFE,1.3051%
Merck & Co Inc,MRK,1.3028%
Coca-Cola Co,KO,1.2942%
Eli Lilly and Co,LLY,1.2857%
Bristol-Myers Squibb Co,BMY,1.2838%
Philip Morris International Inc,PM,1.2634%
3M Co,MMM,1.2443%
Abbvie Inc,ABBV,1.2076%
Altria Group Inc,MO,1.1818%
International Business Machines Corp,IBM,1.1745%
Lockheed Martin Corp,LMT,1.1716%
AT&T Inc,T,1.1254%
JPMorgan Chase & Co,JPM,1.1096%
Bank of America Corp,BAC,1.1005%
Mondelez International Inc,MDLZ,1.097%
Caterpillar Inc,CAT,1.086%
Cisco Systems Inc,CSCO,1.0693%
Target Corp,TGT,1.0643%
Intel Corp,INTC,1.0586%
CVS Health Corp,CVS,0.9635%
Gilead Sciences Inc,GILD,0.9358%
Chevron Corp,CVX,0.915%
Illinois Tool Works Inc,ITW,0.9071%
Citigroup Inc,C,0.8879%
Air Products and Chemicals Inc,APD,0.8857%
Colgate-Palmolive Co,CL,0.8678%
Automatic Data Processing Inc,ADP,0.8521%
Wells Fargo & Co,WFC,0.8276%
Exxon Mobil Corp,XOM,0.8265%
BlackRock Inc,BLK,0.7896%
Nextera Energy Inc,NEE,0.7585%
Norfolk Southern Corp,NSC,0.7408%
Kimberly-Clark Corp,KMB,0.7228%
Goldman Sachs Group Inc,GS,0.659%
Eaton Corporation PLC,ETN,0.593%
Raytheon Technologies Corp,RTX,0.5883%
HP Inc,HPQ,0.5623%
Morgan Stanley,MS,0.5537%
Waste Management Inc,WM,0.5507%
Marathon Petroleum Corp,MPC,0.5223%
Walgreens Boots Alliance Inc,WBA,0.5213%
Emerson Electric Co,EMR,0.5182%
U.S. Bancorp,USB,0.5113%
Phillips 66,PSX,0.5112%
Truist Financial Corp,TFC,0.502%
Chubb Ltd,CB,0.4978%
General Mills Inc,GIS,0.4911%
Cummins Inc,CMI,0.4813%
Analog Devices Inc,ADI,0.4785%
General Dynamics Corp,GD,0.4756%
ConocoPhillips,COP,0.4756%
PNC Financial Services Group Inc,PNC,0.4745%
Dominion Energy Inc,D,0.4564%
Johnson Controls International PLC,JCI,0.4286%
Dupont De Nemours Inc,DD,0.4251%
Dow Inc,DOW,0.425%
Aflac Inc,AFL,0.4222%
Duke Energy Corp,DUK,0.414%
Trane Technologies PLC,TT,0.3958%
Kroger Co,KR,0.3845%
Southern Co,SO,0.3821%
Kellogg Co,K,0.3665%
Fastenal Co,FAST,0.3605%
Sysco Corp,SYY,0.3585%
Archer-Daniels-Midland Co,ADM,0.3542%
Yum! Brands Inc,YUM,0.3493%
Valero Energy Corp,VLO,0.3453%
Best Buy Co Inc,BBY,0.3318%
Corning Inc,GLW,0.3292%
Allstate Corp,ALL,0.3207%
Clorox Co,CLX,0.3171%
Kinder Morgan Inc,KMI,0.3169%
Williams Companies Inc,WMB,0.3155%
Crown Castle International Corp,CCI,0.3024%
Paychex Inc,PAYX,0.2983%
Capital One Financial Corp,COF,0.2949%
Bank of New York Mellon Corp,BK,0.2892%
T. Rowe Price Group Inc,TROW,0.2882%
Travelers Companies Inc,TRV,0.2878%
Hershey Co,HSY,0.2837%
Prologis Inc,PLD,0.2835%
VF Corp,VFC,0.2683%
J M Smucker Co,SJM,0.2649%
LyondellBasell Industries NV,LYB,0.2648%
MetLife Inc,MET,0.2647%
EOG Resources Inc,EOG,0.2606%
Schlumberger NV,SLB,0.2547%
Prudential Financial Inc,PRU,0.2535%
American Electric Power Company Inc,AEP,0.2508%
Tyson Foods Inc,TSN,0.2468%
ONEOK Inc,OKE,0.2456%
Maxim Integrated Products Inc,MXIM,0.2442%
International Paper Co,IP,0.2327%
State Street Corp,STT,0.2256%
Kraft Heinz Co,KHC,0.2254%
Sempra Energy,SRE,0.2237%
Conagra Brands Inc,CAG,0.2139%
Exelon Corp,EXC,0.207%
Nucor Corp,NUE,0.206%
American International Group Inc,AIG,0.2033%
Ameriprise Financial Inc,AMP,0.2014%
Xcel Energy Inc,XEL,0.2011%
Genuine Parts Co,GPC,0.1983%
Celanese Corp,CE,0.1969%
Omnicom Group Inc,OMC,0.1963%
CH Robinson Worldwide Inc,CHRW,0.191%
Pioneer Natural Resources Co,PXD,0.1881%
Consolidated Edison Inc,ED,0.1869%
Centurylink Inc,LUMN,0.1865%
WEC Energy Group Inc,WEC,0.1861%
Cardinal Health Inc,CAH,0.1845%
M&T Bank Corp,MTB,0.1831%
Discover Financial Services,DFS,0.1817%
Hewlett Packard Enterprise Co,HPE,0.179%
International Flavors & Fragrances Inc,IFF,0.1729%
Public Service Enterprise Group Inc,PEG,0.1698%
NortonLifeLock Inc,NLOK,0.1642%
Invesco Ltd,IVZ,0.1627%
Digital Realty Trust Inc,DLR,0.1606%
Eversource Energy,ES,0.1598%
Synchrony Financial,SYF,0.1583%
Northern Trust Corp,NTRS,0.1556%
Public Storage,PSA,0.148%
NetApp Inc,NTAP,0.1473%
Fifth Third Bancorp,FITB,0.1459%
Eastman Chemical Co,EMN,0.1421%
PPL Corp,PPL,0.1395%
Whirlpool Corp,WHR,0.1362%
Baker Hughes Co,BKR,0.1352%
DTE Energy Co,DTE,0.1341%
Western Union Co,WU,0.1295%
Hasbro Inc,HAS,0.1292%
Garmin Ltd,GRMN,0.1273%
Edison International,EIX,0.1239%
Hartford Financial Services Group Inc,HIG,0.1193%
ViacomCBS Inc,VIAC,0.1188%
Packaging Corp of America,PKG,0.1184%
KeyCorp,KEY,0.1179%
Regions Financial Corp,RF,0.1123%
Cincinnati Financial Corp,CINF,0.1109%
Principal Financial Group Inc,PFG,0.1107%
Citizens Financial Group Inc,CFG,0.11%
Snap-On Inc,SNA,0.1096%
