USMV: iShares Edge MSCI Min Vol USA ETF
Inception Date: 2011-10-18
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	32868100
Shares Outstanding: 491100000
Expense Ratio: 0.15%
Tracks This Index: MSCI USA Minimum Volatility Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/USMV


Holding,Symbol,Weighting
Vertex Pharmaceuticals Incorporated,VRTX,1.59%
Johnson & Johnson,JNJ,1.55%
"T-Mobile US, Inc.",TMUS,1.53%
Microsoft Corporation,MSFT,1.51%
Visa Inc. Class A,V,1.5%
Accenture Plc Class A,ACN,1.48%
"NextEra Energy, Inc.",NEE,1.48%
"Merck & Co., Inc.",MRK,1.48%
"PepsiCo, Inc.",PEP,1.46%
McDonald\'s Corporation,MCD,1.45%
Verizon Communications Inc.,VZ,1.42%
"Waste Management, Inc.",WM,1.42%
Newmont Corporation,NEM,1.41%
Adobe Inc.,ADBE,1.34%
Eli Lilly and Company,LLY,1.3%
"Gilead Sciences, Inc.",GILD,1.3%
"Republic Services, Inc.",RSG,1.3%
Procter & Gamble Company,PG,1.27%
"Regeneron Pharmaceuticals, Inc.",REGN,1.25%
Medtronic Plc,MDT,1.18%
Hershey Company,HSY,1.18%
"Waste Connections, Inc.",WCN,1.16%
"Paychex, Inc.",PAYX,1.15%
Walmart Inc.,WMT,1.05%
"Tyler Technologies, Inc.",TYL,1.05%
Danaher Corporation,DHR,1.03%
"Fidelity National Information Services, Inc.",FIS,1.02%
Southern Company,SO,1.02%
Kroger Co.,KR,1.01%
Oracle Corporation,ORCL,1.0%
Xcel Energy Inc.,XEL,1.0%
Mastercard Incorporated Class A,MA,0.98%
Duke Energy Corporation,DUK,0.97%
Electronic Arts Inc.,EA,0.97%
Walt Disney Company,DIS,0.92%
"Citrix Systems, Inc.",CTXS,0.92%
Public Storage,PSA,0.91%
"Take-Two Interactive Software, Inc.",TTWO,0.9%
Tiffany & Co.,TIF,0.87%
"Motorola Solutions, Inc.",MSI,0.87%
"Consolidated Edison, Inc.",ED,0.87%
"Activision Blizzard, Inc.",ATVI,0.86%
"Black Knight, Inc.",BKI,0.84%
Pfizer Inc.,PFE,0.84%
Hormel Foods Corporation,HRL,0.83%
Keysight Technologies Inc,KEYS,0.83%
"Fiserv, Inc.",FISV,0.82%
"Home Depot, Inc.",HD,0.8%
AT&T Inc.,T,0.79%
"C.H. Robinson Worldwide, Inc.",CHRW,0.77%
Aon Plc Class A,AON,0.77%
Starbucks Corporation,SBUX,0.76%
"Jack Henry & Associates, Inc.",JKHY,0.75%
"Marsh & McLennan Companies, Inc.",MMC,0.74%
American Tower Corporation,AMT,0.72%
UnitedHealth Group Incorporated,UNH,0.72%
Arthur J. Gallagher & Co.,AJG,0.7%
Amphenol Corporation Class A,APH,0.7%
Dollar General Corporation,DG,0.69%
Ecolab Inc.,ECL,0.69%
"Cisco Systems, Inc.",CSCO,0.69%
Allstate Corporation,ALL,0.67%
"Intercontinental Exchange, Inc.",ICE,0.67%
Stryker Corporation,SYK,0.66%
WEC Energy Group Inc,WEC,0.65%
Lockheed Martin Corporation,LMT,0.63%
CME Group Inc. Class A,CME,0.62%
Berkshire Hathaway Inc. Class B,BRK.B,0.61%
Comcast Corporation Class A,CMCSA,0.61%
Crown Castle International Corp,CCI,0.59%
"Akamai Technologies, Inc.",AKAM,0.59%
"Automatic Data Processing, Inc.",ADP,0.59%
Baxter International Inc.,BAX,0.57%
Western Union Company,WU,0.55%
"Travelers Companies, Inc.",TRV,0.54%
Clorox Company,CLX,0.52%
"Mondelez International, Inc. Class A",MDLZ,0.51%
Cognizant Technology Solutions Corporation Class A,CTSH,0.51%
"McCormick & Company, Incorporated",MKC,0.51%
Liberty Broadband Corp. Class C,LBRDK,0.51%
Progressive Corporation,PGR,0.5%
L3Harris Technologies Inc,LHX,0.49%
RenaissanceRe Holdings Ltd.,RNR,0.48%
"Everest Re Group, Ltd.",RE,0.48%
"Brown & Brown, Inc.",BRO,0.47%
"AutoZone, Inc.",AZO,0.47%
"Anthem, Inc.",ANTM,0.47%
"NIKE, Inc. Class B",NKE,0.45%
Kellogg Company,K,0.44%
"American Electric Power Company, Inc.",AEP,0.43%
Incyte Corporation,INCY,0.43%
Equity Residential,EQR,0.42%
"Zoetis, Inc. Class A",ZTS,0.41%
"Charter Communications, Inc. Class A",CHTR,0.4%
Verisk Analytics Inc,VRSK,0.4%
Honeywell International Inc.,HON,0.4%
Colgate-Palmolive Company,CL,0.39%
"Broadridge Financial Solutions, Inc.",BR,0.39%
Markel Corporation,MKL,0.39%
"Church & Dwight Co., Inc.",CHD,0.39%
Dominion Energy Inc,D,0.38%
Humana Inc.,HUM,0.38%
"VeriSign, Inc.",VRSN,0.37%
Amgen Inc.,AMGN,0.36%
"Bio-Rad Laboratories, Inc. Class A",BIO,0.34%
Bristol-Myers Squibb Company,BMY,0.33%
Extra Space Storage Inc.,EXR,0.33%
"Air Products and Chemicals, Inc.",APD,0.32%
Chubb Limited,CB,0.32%
"O\'Reilly Automotive, Inc.",ORLY,0.32%
Masimo Corporation,MASI,0.32%
International Business Machines Corporation,IBM,0.32%
Kimberly-Clark Corporation,KMB,0.31%
"Dollar Tree, Inc.",DLTR,0.31%
Booz Allen Hamilton Holding Corporation Class A,BAH,0.31%
Abbott Laboratories,ABT,0.31%
"Cooper Companies, Inc.",COO,0.31%
Garmin Ltd.,GRMN,0.3%
Texas Instruments Incorporated,TXN,0.3%
"Becton, Dickinson and Company",BDX,0.3%
Broadcom Inc.,AVGO,0.29%
Target Corporation,TGT,0.28%
Cboe Global Markets Inc,CBOE,0.27%
Apple Inc.,AAPL,0.26%
Eversource Energy,ES,0.26%
BioMarin Pharmaceutical Inc.,BMRN,0.26%
J.M. Smucker Company,SJM,0.25%
Willis Towers Watson Public Limited Company,WLTW,0.25%
"Zoom Video Communications, Inc. Class A",ZM,0.24%
Intuit Inc.,INTU,0.24%
Coca-Cola Company,KO,0.23%
"FLEETCOR Technologies, Inc.",FLT,0.23%
"Palo Alto Networks, Inc.",PANW,0.23%
BlackRock Cash Funds Treasury SL Agency Shares,Other,0.22%
CMS Energy Corporation,CMS,0.22%
"Domino\'s Pizza, Inc.",DPZ,0.21%
Amcor PLC,AMCR,0.21%
"Seagen, Inc.",SGEN,0.2%
Campbell Soup Company,CPB,0.19%
AMERCO,UHAL,0.19%
"General Mills, Inc.",GIS,0.19%
Omnicom Group Inc,OMC,0.16%
