USRT: iShares Core U.S. REIT ETF
Inception Date: 2007-05-04
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	1552110
Shares Outstanding: 33250000
Expense Ratio: 0.08%
Tracks This Index: FTSE NAREIT Equity REITs Index
ETFdb.com Category: Real Estate
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/USRT


Holding,Symbol,Weighting
"Prologis, Inc.",PLD,8.0%
"Equinix, Inc.",EQIX,6.96%
"Digital Realty Trust, Inc.",DLR,4.27%
Public Storage,PSA,3.75%
"Simon Property Group, Inc.",SPG,3.03%
"Welltower, Inc.",WELL,2.91%
"Alexandria Real Estate Equities, Inc.",ARE,2.58%
"AvalonBay Communities, Inc.",AVB,2.47%
Equity Residential,EQR,2.39%
Realty Income Corporation,O,2.38%
"Ventas, Inc.",VTR,1.98%
"Invitation Homes, Inc.",INVH,1.81%
"Healthpeak Properties, Inc.",PEAK,1.76%
"Sun Communities, Inc.",SUI,1.75%
"Essex Property Trust, Inc.",ESS,1.68%
Duke Realty Corporation,DRE,1.6%
"Boston Properties, Inc.",BXP,1.6%
"Mid-America Apartment Communities, Inc.",MAA,1.58%
Extra Space Storage Inc.,EXR,1.57%
VICI Properties Inc,VICI,1.49%
W. P. Carey Inc.,WPC,1.34%
"Medical Properties Trust, Inc.",MPW,1.25%
"UDR, Inc.",UDR,1.22%
"Equity LifeStyle Properties, Inc.",ELS,1.19%
"Host Hotels & Resorts, Inc.",HST,1.12%
Camden Property Trust,CPT,1.03%
"Gaming and Leisure Properties, Inc.",GLPI,1.0%
"CyrusOne, Inc.",CONE,0.95%
"Iron Mountain, Inc.",IRM,0.93%
American Homes 4 Rent Class A,AMH,0.9%
"Omega Healthcare Investors, Inc.",OHI,0.89%
"VEREIT, Inc.",VER,0.88%
STORE Capital Corporation,STOR,0.87%
Regency Centers Corporation,REG,0.84%
Americold Realty Trust,COLD,0.82%
Lamar Advertising Company Class A,LAMR,0.78%
"National Retail Properties, Inc.",NNN,0.77%
Vornado Realty Trust,VNO,0.73%
Kilroy Realty Corporation,KRC,0.72%
CubeSmart,CUBE,0.71%
Federal Realty Investment Trust,FRT,0.7%
Kimco Realty Corporation,KIM,0.67%
"Rexford Industrial Realty, Inc.",REXR,0.66%
"Healthcare Trust of America, Inc. Class A",HTA,0.64%
Apartment Income REIT Corp,AIRC,0.64%
"Life Storage, Inc.",LSI,0.63%
"American Campus Communities, Inc.",ACC,0.63%
"First Industrial Realty Trust, Inc.",FR,0.59%
"EastGroup Properties, Inc.",EGP,0.58%
CoreSite Realty Corporation,COR,0.55%
Cousins Properties Incorporated,CUZ,0.55%
"Brixmor Property Group, Inc.",BRX,0.53%
"Douglas Emmett, Inc",DEI,0.53%
"STAG Industrial, Inc.",STAG,0.51%
SL Green Realty Corp.,SLG,0.47%
"Spirit Realty Capital, Inc.",SRC,0.47%
Healthcare Realty Trust Incorporated,HR,0.44%
"Highwoods Properties, Inc.",HIW,0.44%
"QTS Realty Trust, Inc. Class A",QTS,0.44%
"Park Hotels & Resorts, Inc.",PK,0.44%
Terreno Realty Corporation,TRNO,0.42%
JBG SMITH Properties,JBGS,0.41%
Agree Realty Corporation,ADC,0.4%
"Sabra Health Care REIT, Inc.",SBRA,0.39%
Physicians Realty Trust,DOC,0.39%
"Hudson Pacific Properties, Inc.",HPP,0.39%
"Ryman Hospitality Properties, Inc.",RHP,0.36%
Corporate Office Properties Trust,OFC,0.32%
"National Health Investors, Inc.",NHI,0.32%
Lexington Realty Trust,LXP,0.31%
OUTFRONT Media Inc.,OUT,0.3%
Apple Hospitality REIT Inc,APLE,0.3%
"PS Business Parks, Inc.",PSB,0.29%
Weingarten Realty Investors,WRI,0.28%
Pebblebrook Hotel Trust,PEB,0.27%
EPR Properties,EPR,0.26%
"Sunstone Hotel Investors, Inc.",SHO,0.26%
RLJ Lodging Trust,RLJ,0.25%
"Colony Capital, Inc. Class A",CLNY,0.25%
National Storage Affiliates Trust,NSA,0.24%
"Essential Properties Realty Trust, Inc.",EPRT,0.24%
"Four Corners Property Trust, Inc.",FCPT,0.23%
CareTrust REIT Inc,CTRE,0.23%
"Piedmont Office Realty Trust, Inc. Class A",PDM,0.22%
Brandywine Realty Trust,BDN,0.22%
MUTUAL FUND (OTHER),Other,0.21%
"Easterly Government Properties, Inc.",DEA,0.21%
"Retail Properties of America, Inc. Class A",RPAI,0.2%
Service Properties Trust,SVC,0.2%
Washington Real Estate Investment Trust,WRE,0.2%
"Paramount Group, Inc.",PGRE,0.19%
"Xenia Hotels & Resorts, Inc.",XHR,0.19%
DiamondRock Hospitality Company,DRH,0.18%
Monmouth Real Estate Investment Corporation Class A,MNR,0.18%
Macerich Company,MAC,0.18%
"Columbia Property Trust, Inc.",CXP,0.18%
SITE Centers Corp.,SITC,0.17%
Retail Opportunity Investments Corp.,ROIC,0.17%
Industrial Logistics Properties Trust,ILPT,0.17%
Global Net Lease Inc,GNL,0.17%
Urban Edge Properties,UE,0.16%
"American Assets Trust, Inc.",AAT,0.16%
"LTC Properties, Inc.",LTC,0.16%
"Empire State Realty Trust, Inc. Class A",ESRT,0.15%
"Independence Realty Trust, Inc.",IRT,0.14%
Safehold Inc.,SAFE,0.14%
"Alexander & Baldwin, Inc.",ALEX,0.14%
Kite Realty Group Trust,KRG,0.13%
Acadia Realty Trust,AKR,0.13%
Office Properties Income Trust,OPI,0.12%
Mack-Cali Realty Corporation,CLI,0.12%
GEO Group Inc,GEO,0.11%
Community Healthcare Trust Incorporated,CHCT,0.11%
Diversified Healthcare Trust,DHC,0.11%
Getty Realty Corp.,GTY,0.1%
NexPoint Residential Trust Inc,NXRT,0.1%
"Tanger Factory Outlet Centers, Inc.",SKT,0.1%
"Summit Hotel Properties, Inc.",INN,0.1%
Centerspace,CSR,0.1%
"CoreCivic, Inc.",CXW,0.09%
Apartment Investment & Management Co Class A,AIV,0.09%
"American Finance Trust, Inc.",AFIN,0.09%
Universal Health Realty Income Trust,UHT,0.09%
Front Yard Residential Corp. Class B,RESI,0.09%
Brookfield Property REIT Inc Class A,BPYU,0.08%
RPT Realty,RPT,0.08%
"Armada Hoffler Properties, Inc.",AHH,0.07%
"Alexander\'s, Inc.",ALX,0.07%
Gladstone Commercial Corporation,GOOD,0.07%
"UMH Properties, Inc.",UMH,0.06%
Chatham Lodging Trust,CLDT,0.06%
Global Medical REIT Inc,GMRE,0.06%
Seritage Growth Properties Class A,SRG,0.05%
Franklin Street Properties Corp.,FSP,0.05%
Urstadt Biddle Properties Inc. Class A,UBA,0.05%
New Senior Investment Group Inc,SNR,0.05%
"City Office REIT, Inc.",CIO,0.05%
U.S. Dollar,Other,0.04%
"Plymouth Industrial REIT, Inc.",PLYM,0.04%
"One Liberty Properties, Inc.",OLP,0.04%
"Saul Centers, Inc.",BFS,0.04%
"Preferred Apartment Communities, Inc.",APTS,0.04%
Bluerock Residential Growth REIT Inc Class A,BRG,0.03%
Whitestone REIT,WSR,0.03%
Hersha Hospitality Trust Class A,HT,0.03%
"Retail Value, Inc.",RVI,0.03%
"CorePoint Lodging, Inc.",CPLG,0.03%
Farmland Partners Inc,FPI,0.03%
NETSTREIT Corp.,NTST,0.03%
