UTSL: Direxion Daily Utilities Bull 3X Shares
Inception Date: 2017-05-03
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	19085
Shares Outstanding: 700000
Expense Ratio: 1.07%
Tracks This Index: Industrial Select Sector Index (300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/UTSL


Holding,Symbol,Weighting
DERIVATIVE SECURITIES (OTHER),Other,36.19%
U.S. Dollar,Other,8.14%
"NextEra Energy, Inc.",NEE,7.95%
Goldman Sachs Trust Financial Square Treasury Instruments Fund Institutional,FTIXX,6.64%
Duke Energy Corporation,DUK,3.58%
EQUITY OTHER,Other,3.42%
Dominion Energy Inc,D,3.23%
"American Electric Power Company, Inc.",AEP,2.19%
Exelon Corporation,EXC,2.18%
Dreyfus Government Cash Management Funds Institutional,DGCXX,1.93%
Sempra Energy,SRE,1.93%
Xcel Energy Inc.,XEL,1.85%
Eversource Energy,ES,1.58%
WEC Energy Group Inc,WEC,1.54%
Public Service Enterprise Group Inc,PEG,1.53%
"American Water Works Company, Inc.",AWK,1.49%
"Consolidated Edison, Inc.",ED,1.3%
DTE Energy Company,DTE,1.26%
Edison International,EIX,1.25%
PPL Corporation,PPL,1.15%
Entergy Corporation,ETR,1.05%
Ameren Corporation,AEE,1.02%
MUTUAL FUND (OTHER),Other,0.91%
CMS Energy Corporation,CMS,0.91%
FirstEnergy Corp.,FE,0.88%
AES Corporation,AES,0.87%
Alliant Energy Corp,LNT,0.68%
"Evergy, Inc.",EVRG,0.66%
"CenterPoint Energy, Inc.",CNP,0.64%
Atmos Energy Corporation,ATO,0.63%
"NRG Energy, Inc.",NRG,0.49%
Pinnacle West Capital Corporation,PNW,0.47%
NiSource Inc,NI,0.47%
