UYG: ProShares Ultra Financials
Inception Date: 2007-01-30
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	591783
Shares Outstanding: 14457000
Expense Ratio: 0.95%
Tracks This Index: Dow Jones U.S. Financials Index (200%)
ETFdb.com Category: Leveraged Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/UYG


Holding,Symbol,Weighting
U.S. Dollar,Other,37.23%
Berkshire Hathaway Inc. Class B,BRK.B,5.03%
JPMorgan Chase & Co.,JPM,4.35%
Visa Inc. Class A,V,4.13%
Mastercard Incorporated Class A,MA,3.47%
Bank of America Corp,BAC,2.62%
Citigroup Inc.,C,1.46%
Wells Fargo & Company,WFC,1.43%
"BlackRock, Inc.",BLK,1.15%
Morgan Stanley,MS,1.13%
American Tower Corporation,AMT,1.11%
"Goldman Sachs Group, Inc.",GS,1.06%
"S&P Global, Inc.",SPGI,0.9%
Charles Schwab Corporation,SCHW,0.89%
American Express Company,AXP,0.88%
"Prologis, Inc.",PLD,0.81%
Chubb Limited,CB,0.77%
Crown Castle International Corp,CCI,0.76%
CME Group Inc. Class A,CME,0.73%
Truist Financial Corporation,TFC,0.73%
"Intercontinental Exchange, Inc.",ICE,0.72%
U.S. Bancorp,USB,0.72%
"PNC Financial Services Group, Inc.",PNC,0.71%
"Equinix, Inc.",EQIX,0.7%
"Marsh & McLennan Companies, Inc.",MMC,0.65%
Progressive Corporation,PGR,0.64%
Aon Plc Class A,AON,0.53%
Capital One Financial Corporation,COF,0.52%
Moody\'s Corporation,MCO,0.52%
Blackstone Group Inc. Class A,BX,0.48%
"Digital Realty Trust, Inc.",DLR,0.42%
MSCI Inc. Class A,MSCI,0.41%
"MetLife, Inc.",MET,0.41%
"CoStar Group, Inc.",CSGP,0.4%
Bank of New York Mellon Corporation,BK,0.39%
"Travelers Companies, Inc.",TRV,0.39%
Public Storage,PSA,0.38%
T. Rowe Price Group,TROW,0.38%
Allstate Corporation,ALL,0.37%
"American International Group, Inc.",AIG,0.37%
"Prudential Financial, Inc.",PRU,0.35%
SBA Communications Corp. Class A,SBAC,0.34%
Discover Financial Services,DFS,0.32%
Aflac Incorporated,AFL,0.32%
"Simon Property Group, Inc.",SPG,0.31%
Willis Towers Watson Public Limited Company,WLTW,0.3%
"Welltower, Inc.",WELL,0.29%
First Republic Bank,FRC,0.29%
State Street Corporation,STT,0.29%
Weyerhaeuser Company,WY,0.28%
Arthur J. Gallagher & Co.,AJG,0.26%
"AvalonBay Communities, Inc.",AVB,0.25%
"Ameriprise Financial, Inc.",AMP,0.25%
KKR & Co. Inc.,KKR,0.25%
Realty Income Corporation,O,0.24%
"Alexandria Real Estate Equities, Inc.",ARE,0.24%
MarketAxess Holdings Inc.,MKTX,0.24%
SVB Financial Group,SIVB,0.23%
"CBRE Group, Inc. Class A",CBRE,0.23%
Fifth Third Bancorp,FITB,0.22%
Equity Residential,EQR,0.22%
Northern Trust Corporation,NTRS,0.22%
Synchrony Financial,SYF,0.21%
"Hartford Financial Services Group, Inc.",HIG,0.2%
"Ventas, Inc.",VTR,0.2%
M&T Bank Corporation FRN 26-JUL-2023,Other,0.19%
"Sun Communities, Inc.",SUI,0.18%
Regions Financial Corporation,RF,0.18%
KeyCorp,KEY,0.18%
"Healthpeak Properties, Inc.",PEAK,0.18%
"Invitation Homes, Inc.",INVH,0.18%
"Citizens Financial Group, Inc.",CFG,0.18%
"Nasdaq, Inc.",NDAQ,0.17%
"Essex Property Trust, Inc.",ESS,0.17%
Duke Realty Corporation,DRE,0.16%
"Mid-America Apartment Communities, Inc.",MAA,0.16%
Arch Capital Group Ltd.,ACGL,0.16%
Markel Corporation,MKL,0.16%
Extra Space Storage Inc.,EXR,0.16%
Huntington Bancshares Incorporated,HBAN,0.15%
Ally Financial Inc,ALLY,0.15%
VICI Properties Inc,VICI,0.15%
W. P. Carey Inc. 4.6% 01-APR-2024,Other,0.14%
"Principal Financial Group, Inc.",PFG,0.14%
"Boston Properties, Inc.",BXP,0.14%
Cincinnati Financial Corporation,CINF,0.14%
FactSet Research Systems Inc.,FDS,0.14%
"Medical Properties Trust, Inc.",MPW,0.13%
"Raymond James Financial, Inc.",RJF,0.13%
"Fidelity National Financial, Inc. - FNF Group",FNF,0.13%
"Annaly Capital Management, Inc.",NLY,0.13%
"Brown & Brown, Inc.",BRO,0.12%
"UDR, Inc.",UDR,0.12%
"Equity LifeStyle Properties, Inc.",ELS,0.12%
Loews Corporation,L,0.12%
Cboe Global Markets Inc,CBOE,0.11%
"Host Hotels & Resorts, Inc.",HST,0.11%
Camden Property Trust,CPT,0.11%
"Equitable Holdings, Inc.",EQH,0.11%
Apollo Global Management Inc. Class A,APO,0.11%
"Everest Re Group, Ltd.",RE,0.1%
Lincoln National Corporation,LNC,0.1%
"Gaming and Leisure Properties, Inc.",GLPI,0.1%
Globe Life Inc.,GL,0.1%
W. R. Berkley Corporation,WRB,0.1%
Alleghany Corporation,Y,0.1%
"CyrusOne, Inc.",CONE,0.1%
LPL Financial Holdings Inc.,LPLA,0.09%
STORE Capital Corporation,STOR,0.09%
"Omega Healthcare Investors, Inc.",OHI,0.09%
American Homes 4 Rent Class A,AMH,0.09%
RenaissanceRe Holdings Ltd.,RNR,0.09%
"Iron Mountain, Inc.",IRM,0.09%
"Reinsurance Group of America, Incorporated",RGA,0.09%
Eaton Vance Corp.,EV,0.09%
"VEREIT, Inc.",VER,0.09%
"Assurant, Inc.",AIZ,0.09%
Comerica Incorporated,CMA,0.09%
AGNC Investment Corp.,AGNC,0.09%
Zions Bancorporation NA Non Cum Perp Pfd Registered Shs Series I,ZION4135553,0.08%
Regency Centers Corporation,REG,0.08%
"Franklin Resources, Inc.",BEN,0.08%
Lamar Advertising Company Class A,LAMR,0.08%
Americold Realty Trust,COLD,0.08%
SEI Investments Company,SEIC,0.08%
Jones Lang LaSalle Incorporated,JLL,0.08%
First Horizon Corporation,FHN,0.08%
Signature Bank,SBNY,0.08%
"National Retail Properties, Inc.",NNN,0.08%
"Voya Financial, Inc.",VOYA,0.08%
"Commerce Bancshares, Inc.",CBSH,0.08%
"East West Bancorp, Inc.",EWBC,0.08%
Kilroy Realty Corporation,KRC,0.07%
CubeSmart,CUBE,0.07%
Invesco Ltd.,IVZ,0.07%
TCF Financial Corporation,TCF,0.07%
"Rexford Industrial Realty, Inc.",REXR,0.07%
First American Financial Corporation,FAF,0.07%
"Healthcare Trust of America, Inc. Class A",HTA,0.07%
Western Alliance Bancorp,WAL,0.07%
"American Financial Group, Inc.",AFG,0.07%
Erie Indemnity Company Class A,ERIE,0.07%
Kimco Realty Corporation,KIM,0.07%
"Prosperity Bancshares, Inc.(R)",PB,0.07%
First Financial Bancorp 5.125% 25-AUG-2025,Other,0.06%
"People\'s United Financial, Inc.",PBCT,0.06%
CoreSite Realty Corporation,COR,0.06%
Athene Holding Ltd. Class A,ATH,0.06%
"Life Storage, Inc.",LSI,0.06%
Federal Realty Investment Trust,FRT,0.06%
"Morningstar, Inc.",MORN,0.06%
"First Industrial Realty Trust, Inc.",FR,0.06%
"EastGroup Properties, Inc.",EGP,0.06%
"Interactive Brokers Group, Inc. Class A",IBKR,0.06%
"Starwood Property Trust, Inc.",STWD,0.06%
Old Republic International Corporation,ORI,0.06%
Vornado Realty Trust,VNO,0.06%
"Tradeweb Markets, Inc. Class A",TW,0.06%
"American Campus Communities, Inc.",ACC,0.06%
"New York Community Bancorp, Inc.",NYCB,0.06%
Apartment Income REIT Corp,AIRC,0.06%
Stifel Financial Corp.,SF,0.06%
"Primerica, Inc.",PRI,0.06%
"Cullen/Frost Bankers, Inc.",CFR,0.06%
Cousins Properties Incorporated,CUZ,0.06%
Lazard Ltd Class A,LAZ,0.05%
"Brixmor Property Group, Inc.",BRX,0.05%
Ares Management Corporation,ARES,0.05%
Essent Group Ltd.,ESNT,0.05%
MGIC Investment Corporation,MTG,0.05%
SL Green Realty Corp.,SLG,0.05%
Credit Acceptance Corporation,CACC,0.05%
Janus Henderson Group PLC,JHG,0.05%
"Highwoods Properties, Inc.",HIW,0.05%
RLI Corp.,RLI,0.05%
"United Bankshares, Inc.",UBSI,0.05%
Synovus Financial Corp.,SNV,0.05%
"Affiliated Managers Group, Inc.",AMG,0.05%
"Popular, Inc.",BPOP,0.05%
Kemper Corporation,KMPR,0.05%
"First Citizens BancShares, Inc. Class A",FCNCA,0.05%
"Spirit Realty Capital, Inc.",SRC,0.05%
Unum Group,UNM,0.05%
"Hanover Insurance Group, Inc.",THG,0.05%
"Douglas Emmett, Inc",DEI,0.05%
"Glacier Bancorp, Inc.",GBCI,0.05%
Valley National Bancorp,VLY,0.05%
SLM Corp,SLM,0.05%
"Pinnacle Financial Partners, Inc.",PNFP,0.05%
Rayonier Inc.,RYN,0.05%
Axis Capital Holdings Limited,AXS,0.04%
Healthcare Realty Trust Incorporated,HR,0.04%
Radian Group Inc.,RDN,0.04%
"Blackstone Mortgage Trust, Inc. Class A",BXMT,0.04%
Webster Financial Corporation,WBS,0.04%
"Sabra Health Care REIT, Inc.",SBRA,0.04%
"Selective Insurance Group, Inc.",SIGI,0.04%
F.N.B. Corporation,FNB,0.04%
Carlyle Group Inc,CG,0.04%
Equity Commonwealth,EQC,0.04%
