UYM: ProShares Ultra Basic Materials
Inception Date: 2007-01-30
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	43051
Shares Outstanding: 600000
Expense Ratio: 0.95%
Tracks This Index: Dow Jones U.S. Basic Materials Index (200%)
ETFdb.com Category: Leveraged Equities
Issuer: ProShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/UYM


Holding,Symbol,Weighting
U.S. Dollar,Other,26.15%
Linde plc,LIN,14.05%
"Air Products and Chemicals, Inc.",APD,6.36%
"DuPont de Nemours, Inc.",DD,5.51%
Ecolab Inc.,ECL,5.48%
Newmont Corporation,NEM,5.19%
"Dow, Inc.",DOW,4.21%
"Freeport-McMoRan, Inc.",FCX,4.2%
"PPG Industries, Inc.",PPG,3.47%
Corteva Inc,CTVA,2.94%
LyondellBasell Industries NV,LYB,2.42%
Albemarle Corporation,ALB,1.77%
Nucor Corporation,NUE,1.66%
Celanese Corporation,CE,1.57%
FMC Corporation,FMC,1.53%
Eastman Chemical Company,EMN,1.4%
International Flavors & Fragrances Inc.,Other,1.18%
RPM International Inc.,RPM,1.18%
"CF Industries Holdings, Inc.",CF,0.87%
Mosaic Company,MOS,0.86%
Scotts Miracle-Gro Company Class A,SMG,0.84%
Reliance Steel & Aluminum Co.,RS,0.8%
"Steel Dynamics, Inc.",STLD,0.77%
"Royal Gold, Inc.",RGLD,0.74%
Axalta Coating Systems Ltd.,AXTA,0.62%
Huntsman Corporation,HUN,0.53%
"Ashland Global Holdings, Inc.",ASH,0.46%
Alcoa Corporation,AA,0.45%
Chemours Co.,CC,0.44%
"Valvoline, Inc.",VVV,0.44%
Element Solutions Inc,ESI,0.39%
W R Grace & Co,GRA,0.35%
Ingevity Corporation,NGVT,0.32%
NewMarket Corporation,NEU,0.31%
Westlake Chemical Corporation,WLK,0.3%
Commercial Metals Company,CMC,0.26%
