VALT: ETFMG SIT Ultra Short ETF
Inception Date: 2019-10-08
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	105745
Shares Outstanding: 2125000
Expense Ratio: 0.3%
Tracks This Index: n/a
ETFdb.com Category: Corporate Bonds
Issuer: ETF Managers Group
Structure: 
ETF Home Page: https://etfdb.com/etf/VALT


Holding,Symbol,Weighting
CORPORATE BOND,Other,5.59%
"Goldman Sachs Group, Inc. FRN 31-OCT-2022",Other,3.04%
Caterpillar Financial Services Corporation FRN 15-MAR-2021,Other,2.46%
Commonwealth Bank of Australia FRN 18-SEP-2022,Other,2.43%
Daimler Finance North America LLC FRN 22-FEB-2022,Other,2.31%
Equifax Inc. FRN 15-AUG-2021,Other,2.29%
Honeywell International Inc. FRN 19-AUG-2022,Other,2.15%
AstraZeneca PLC FRN 17-AUG-2023,Other,2.09%
Otis Worldwide Corp. FRN 05-APR-2023,Other,1.99%
"Hyundai Capital America, Inc. 2.85% 01-NOV-2022",Other,1.97%
Jackson National Life Global Funding FRN 06-JAN-2023,Other,1.9%
AbbVie Inc. FRN 21-NOV-2022,Other,1.9%
"Fifth Third Bank, National Association FRN 01-FEB-2022",Other,1.9%
Metropolitan Life Global Funding I FRN 13-JAN-2023,Other,1.9%
Cigna Corporation FRN 17-SEP-2021,Other,1.89%
LYB International Finance III LLC FRN 01-OCT-2023,Other,1.89%
Florida Power & Light Company FRN 28-JUL-2023,Other,1.81%
"Citibank, National Association FRN 20-MAY-2022",Other,1.73%
Huntington National Bank FRN 05-FEB-2021,Other,1.66%
Capital One Financial Corporation FRN 30-JAN-2023,Other,1.65%
Carvana Auto Receivables Trust 2019-2  A3 2.58% 15-MAR-2023,Other,1.63%
Apple Inc. FRN 11-MAY-2022,Other,1.57%
Charles Schwab Corporation FRN 21-MAY-2021,Other,1.56%
Manufacturers and Traders Trust Company 0.86538% 01-DEC-2021,Other,1.47%
"PNC Bank, National Association FRN 27-JUL-2022",Other,1.46%
"General Motors Financial Co., Inc. 3.15% 30-JUN-2022",Other,1.46%
Westpac Banking Corporation FRN 11-JAN-2023,Other,1.43%
Credit Suisse AG (New York Branch) FRN 04-FEB-2022,Other,1.41%
Allstate Corporation FRN 29-MAR-2023,Other,1.4%
Barclays Plc FRN 10-JAN-2023,Other,1.24%
BMW US Capital LLC FRN 06-APR-2022,Other,1.23%
Glencore Finance (Canada) ltd. 4.95% 15-NOV-2021,Other,1.18%
Manufacturers and Traders Trust Company FRN 25-JAN-2021,Other,1.14%
Westlake Chemical Corporation 3.6% 15-JUL-2022,Other,1.13%
JPMorgan Chase & Co. FRN 25-APR-2023,Other,1.1%
Valero Energy Corporation FRN 15-SEP-2023,Other,1.1%
Morgan Stanley FRN 20-JAN-2023,Other,1.08%
"First Niagara Financial Group, Inc. 7.25% 15-DEC-2021",Other,1.06%
"Xilinx, Inc. 3.0% 15-MAR-2021",Other,1.02%
Glencore Finance (Canada) ltd. 4.25% 25-OCT-2022,Other,1.01%
Hewlett Packard Enterprise Company FRN 05-OCT-2021,Other,1.0%
Progressive Corporation 3.75% 23-AUG-2021,Other,0.97%
Bank of America Corporation FRN 24-APR-2023,Other,0.96%
