VAW: Vanguard Materials ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-11-30
Total Assets Under Management (in thousands):	2241000
Shares Outstanding: 14401000
Expense Ratio: 0.1%
Tracks This Index: MSCI US Investable Market Materials 25/50 Index
ETFdb.com Category: Materials
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VAW


Holding,Symbol,Weighting
Linde plc,LIN,13.1%
"Air Products and Chemicals, Inc.",APD,6.02%
Sherwin-Williams Company,SHW,5.96%
Ecolab Inc.,ECL,5.55%
Newmont Corporation,NEM,4.59%
"DuPont de Nemours, Inc.",DD,4.53%
"Dow, Inc.",DOW,3.82%
"PPG Industries, Inc.",PPG,3.37%
"Freeport-McMoRan, Inc.",FCX,3.3%
Ball Corporation,BLL,3.05%
Corteva Inc,CTVA,2.79%
LyondellBasell Industries NV,LYB,2.21%
International Paper Company,IP,1.8%
Vulcan Materials Company,VMC,1.8%
"Martin Marietta Materials, Inc.",MLM,1.61%
Nucor Corporation,NUE,1.58%
Amcor PLC,AMCR,1.54%
Celanese Corporation,CE,1.49%
FMC Corporation,FMC,1.46%
Albemarle Corporation,ALB,1.41%
Eastman Chemical Company,EMN,1.28%
"Crown Holdings, Inc.",CCK,1.23%
Avery Dennison Corporation,AVY,1.21%
Packaging Corporation of America,PKG,1.2%
RPM International Inc.,RPM,1.11%
WestRock Company,WRK,1.07%
International Flavors & Fragrances Inc.,IFF,0.83%
"Aptargroup, Inc.",ATR,0.79%
"CF Industries Holdings, Inc.",CF,0.78%
Mosaic Company,MOS,0.77%
"Steel Dynamics, Inc.",STLD,0.74%
Reliance Steel & Aluminum Co.,RS,0.73%
Scotts Miracle-Gro Company Class A,SMG,0.71%
"Royal Gold, Inc.",RGLD,0.7%
Berry Global Group Inc,BERY,0.68%
Sealed Air Corporation,SEE,0.68%
Axalta Coating Systems Ltd.,AXTA,0.59%
Sonoco Products Company,SON,0.57%
Huntsman Corporation,HUN,0.48%
Cleveland-Cliffs Inc,CLF,0.43%
Graphic Packaging Holding Company,GPK,0.41%
"Valvoline, Inc.",VVV,0.41%
"Ashland Global Holdings, Inc.",ASH,0.4%
Chemours Co.,CC,0.39%
Louisiana-Pacific Corporation,LPX,0.37%
Alcoa Corporation,AA,0.36%
Eagle Materials Inc.,EXP,0.35%
Olin Corporation,OLN,0.34%
Balchem Corporation,BCPC,0.33%
Avient Corporation,AVNT,0.33%
Quaker Chemical Corporation,KWR,0.32%
NewMarket Corporation,NEU,0.31%
W R Grace & Co,GRA,0.3%
United States Steel Corporation,X,0.3%
Sensient Technologies Corporation,SXT,0.3%
Element Solutions Inc,ESI,0.3%
Westlake Chemical Corporation,WLK,0.28%
Ingevity Corporation,NGVT,0.27%
H.B. Fuller Company,FUL,0.26%
Arconic Corp.,ARNC,0.26%
Hecla Mining Company,HL,0.25%
Silgan Holdings Inc.,SLGN,0.25%
U.S. Dollar,Other,0.24%
Stepan Company,SCL,0.23%
Commercial Metals Company,CMC,0.23%
Cabot Corporation,CBT,0.23%
Livent Corporation,LTHM,0.22%
"Compass Minerals International, Inc.",CMP,0.21%
"Summit Materials, Inc. Class A",SUM,0.21%
Minerals Technologies Inc.,MTX,0.2%
Innospec Inc.,IOSP,0.2%
"Worthington Industries, Inc.",WOR,0.19%
Boise Cascade Co.,BCC,0.17%
"Coeur Mining, Inc.",CDE,0.17%
Allegheny Technologies Incorporated,ATI,0.17%
Domtar Corporation,UFS,0.16%
O-I Glass Inc,OI,0.16%
Materion Corporation,MTRN,0.12%
Greif Class A,GEF,0.12%
Tronox Holdings Plc,TROX,0.12%
Kaiser Aluminum Corporation,KALU,0.12%
"Schweitzer-Mauduit International, Inc.",SWM,0.11%
"GCP Applied Technologies, Inc.",GCP,0.11%
Trinseo SA,TSE,0.11%
Carpenter Technology Corporation,CRS,0.11%
Ferro Corporation,FOE,0.1%
Orion Engineered Carbons SA,OEC,0.09%
"Warrior Met Coal, Inc.",HCC,0.09%
Neenah Inc,NP,0.08%
Kraton Corporation,KRA,0.08%
Chase Corporation,CCF,0.08%
Glatfelter Corporation,GLT,0.07%
"Schnitzer Steel Industries, Inc. Class A",SCHN,0.07%
Koppers Holdings Inc.,KOP,0.06%
Clearwater Paper Corporation,CLW,0.06%
"Forterra, Inc.",FRTA,0.05%
"Myers Industries, Inc.",MYE,0.05%
"Hawkins, Inc.",HWKN,0.05%
"Advansix, Inc.",ASIX,0.05%
"U.S. Concrete, Inc.",USCR,0.05%
Century Aluminum Company,CENX,0.05%
Rayonier Advanced Materials Inc,RYAM,0.04%
American Vanguard Corporation,AVD,0.04%
Tredegar Corporation,TG,0.04%
"SunCoke Energy, Inc.",SXC,0.04%
"Haynes International, Inc.",HAYN,0.03%
McEwen Mining Inc.,MUX,0.03%
FutureFuel Corp.,FF,0.03%
Verso Corp Class A,VRS,0.03%
Mercer International Inc.,MERC,0.03%
"UFP Technologies, Inc.",UFPT,0.03%
"Kronos Worldwide, Inc.",KRO,0.03%
Ryerson Holding Corporation,RYI,0.02%
TimkenSteel Corp,TMST,0.02%
"Intrepid Potash, Inc.",IPI,0.01%
Venator Materials PLC,VNTR,0.01%
"Contura Energy, Inc.",CTRA,0.01%
