VB: Vanguard Small Cap ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-11-30
Total Assets Under Management (in thousands):	36908300
Shares Outstanding: 192924000
Expense Ratio: 0.05%
Tracks This Index: CRSP US Small Cap Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VB


Holding,Symbol,Weighting
U.S. Dollar,Other,2.09%
Zebra Technologies Corporation Class A,ZBRA,0.44%
"Etsy, Inc.",ETSY,0.42%
"Teradyne, Inc.",TER,0.4%
"HubSpot, Inc.",HUBS,0.37%
Insulet Corporation,PODD,0.37%
STERIS Plc,STE,0.36%
Catalent Inc,CTLT,0.34%
Horizon Therapeutics Public Limited Company,HZNP,0.34%
"Enphase Energy, Inc.",ENPH,0.34%
IDEX Corporation,IEX,0.32%
"PerkinElmer, Inc.",PKI,0.32%
"Avantor, Inc.",AVTR,0.31%
Teledyne Technologies Incorporated,TDY,0.3%
"Monolithic Power Systems, Inc.",MPWR,0.3%
Generac Holdings Inc.,GNRC,0.3%
Pool Corporation,POOL,0.29%
"MongoDB, Inc. Class A",MDB,0.29%
VICI Properties Inc,VICI,0.29%
Caesars Entertainment Inc,CZR,0.28%
Fair Isaac Corporation,FICO,0.28%
"Ceridian HCM Holding, Inc.",CDAY,0.28%
Avalara Inc,AVLR,0.28%
"Entegris, Inc.",ENTG,0.27%
"Zendesk, Inc.",ZEN,0.27%
"Nuance Communications, Inc.",NUAN,0.27%
Masimo Corporation,MASI,0.27%
ON Semiconductor Corporation,ON,0.26%
Atmos Energy Corporation,ATO,0.26%
Booz Allen Hamilton Holding Corporation Class A,BAH,0.26%
Bio-Techne Corporation,TECH,0.26%
"Molina Healthcare, Inc.",MOH,0.26%
PTC Inc.,PTC,0.25%
Cloudflare Inc Class A,NET,0.25%
Graco Inc.,GGG,0.25%
RPM International Inc.,RPM,0.25%
"Peloton Interactive, Inc. Class A",PTON,0.25%
"Charles River Laboratories International, Inc.",CRL,0.25%
"Bio-Rad Laboratories, Inc. Class A",BIO,0.25%
NovoCure Ltd.,NVCR,0.24%
10x Genomics Inc Class A,TXG,0.24%
"Brown & Brown, Inc.",BRO,0.24%
"Coupa Software, Inc.",COUP,0.24%
"Essential Utilities, Inc.",WTRG,0.24%
"Sarepta Therapeutics, Inc.",SRPT,0.23%
Nordson Corporation,NDSN,0.23%
"Cable One, Inc.",CABO,0.23%
Allegion PLC,ALLE,0.23%
Mirati Therapeutics Inc.,MRTX,0.23%
"Medical Properties Trust, Inc.",MPW,0.22%
Lennox International Inc.,LII,0.22%
"Bright Horizons Family Solutions, Inc.",BFAM,0.22%
"Guardant Health, Inc.",GH,0.22%
"Five9, Inc.",FIVN,0.22%
"Penn National Gaming, Inc.",PENN,0.22%
"Cree, Inc.",CREE,0.22%
"Zillow Group, Inc. Class C",Z,0.22%
"Guidewire Software, Inc.",GWRE,0.22%
"Equity LifeStyle Properties, Inc.",ELS,0.21%
"Quanta Services, Inc.",PWR,0.21%
Universal Display Corporation,OLED,0.21%
Toro Company,TTC,0.21%
PG&E Corporation,PCG,0.2%
"Aspen Technology, Inc.",AZPN,0.2%
Repligen Corporation,RGEN,0.2%
Howmet Aerospace Inc.,HWM,0.2%
"HD Supply Holdings, Inc.",HDS,0.2%
"Chegg, Inc.",CHGG,0.2%
Apollo Global Management Inc. Class A,APO,0.2%
"Williams-Sonoma, Inc.",WSM,0.19%
Pentair plc,PNR,0.19%
"L Brands, Inc.",LB,0.19%
"Novavax, Inc.",NVAX,0.19%
"GCI Liberty, Inc. Class A",GLIBA,0.19%
"Neurocrine Biosciences, Inc.",NBIX,0.19%
"Dunkin\' Brands Group, Inc.",DNKN,0.19%
"Trex Company, Inc.",TREX,0.19%
"Anaplan, Inc.",PLAN,0.19%
"EPAM Systems, Inc.",EPAM,0.19%
"Gaming and Leisure Properties, Inc.",GLPI,0.19%
"Tyler Technologies, Inc.",TYL,0.19%
"Five Below, Inc.",FIVE,0.19%
Athene Holding Ltd. Class A,ATH,0.18%
Liberty Media Corporation Series C Liberty Formula One,FWONK,0.18%
"IAA, Inc.",IAA,0.18%
Service Corporation International,SCI,0.18%
Newell Brands Inc,NWL,0.18%
RenaissanceRe Holdings Ltd.,RNR,0.18%
"Aptargroup, Inc.",ATR,0.18%
Zynga Inc. Class A,ZNGA,0.18%
"Boston Beer Company, Inc. Class A",SAM,0.18%
Inphi Corporation,IPHI,0.18%
Sunrun Inc.,RUN,0.18%
"CyrusOne, Inc.",CONE,0.18%
AECOM,ACM,0.18%
"Omega Healthcare Investors, Inc.",OHI,0.17%
"First Solar, Inc.",FSLR,0.17%
American Homes 4 Rent Class A,AMH,0.17%
Encompass Health Corporation,EHC,0.17%
Bunge Limited,BG,0.17%
Middleby Corporation,MIDD,0.17%
"Floor & Decor Holdings, Inc. Class A",FND,0.17%
Gentex Corporation,GNTX,0.17%
Owens Corning,OC,0.17%
"Tapestry, Inc.",TPR,0.17%
"Reinsurance Group of America, Incorporated",RGA,0.17%
"Amedisys, Inc.",AMED,0.17%
"Assurant, Inc.",AIZ,0.17%
Sensata Technologies Holding PLC,ST,0.17%
"MKS Instruments, Inc.",MKSI,0.17%
Axon Enterprise Inc,AAXN,0.17%
Darling Ingredients Inc.,DAR,0.17%
Chemed Corporation,CHE,0.17%
Genpact Limited,G,0.17%
Carlisle Companies Incorporated,CSL,0.17%
A. O. Smith Corporation,AOS,0.17%
"Penumbra, Inc.",PEN,0.17%
WEX Inc.,WEX,0.17%
