VBR: Vanguard Small Cap Value ETF
Inception Date: 2004-01-30
Fund Holdings as of: 2020-11-30
Total Assets Under Management (in thousands):	17592200
Shares Outstanding: 125749000
Expense Ratio: 0.07%
Tracks This Index: MSCI US Small Cap Value Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VBR


Holding,Symbol,Weighting
U.S. Dollar,Other,1.31%
"PerkinElmer, Inc.",PKI,0.6%
IDEX Corporation,IEX,0.59%
Generac Holdings Inc.,GNRC,0.55%
VICI Properties Inc,VICI,0.55%
"Nuance Communications, Inc.",NUAN,0.49%
"Molina Healthcare, Inc.",MOH,0.49%
ON Semiconductor Corporation,ON,0.48%
Atmos Energy Corporation,ATO,0.48%
Booz Allen Hamilton Holding Corporation Class A,BAH,0.48%
RPM International Inc.,RPM,0.46%
"Peloton Interactive, Inc. Class A",PTON,0.46%
10x Genomics Inc Class A,TXG,0.45%
"Essential Utilities, Inc.",WTRG,0.45%
"Brown & Brown, Inc.",BRO,0.44%
Allegion PLC,ALLE,0.43%
"Medical Properties Trust, Inc.",MPW,0.42%
Mirati Therapeutics Inc.,MRTX,0.42%
"Quanta Services, Inc.",PWR,0.38%
PG&E Corporation,PCG,0.37%
Howmet Aerospace Inc.,HWM,0.37%
"HD Supply Holdings, Inc.",HDS,0.37%
Apollo Global Management Inc. Class A,APO,0.36%
"Williams-Sonoma, Inc.",WSM,0.35%
Pentair plc,PNR,0.35%
"L Brands, Inc.",LB,0.35%
"Gaming and Leisure Properties, Inc.",GLPI,0.35%
RenaissanceRe Holdings Ltd.,RNR,0.34%
AECOM,ACM,0.34%
Athene Holding Ltd. Class A,ATH,0.33%
Service Corporation International,SCI,0.33%
Newell Brands Inc,NWL,0.33%
"Aptargroup, Inc.",ATR,0.33%
STERIS Plc,STE,0.33%
"Omega Healthcare Investors, Inc.",OHI,0.32%
Encompass Health Corporation,EHC,0.32%
Bunge Limited,BG,0.32%
Owens Corning,OC,0.32%
"Tapestry, Inc.",TPR,0.32%
"Reinsurance Group of America, Incorporated",RGA,0.32%
Darling Ingredients Inc.,DAR,0.32%
Carlisle Companies Incorporated,CSL,0.32%
"Assurant, Inc.",AIZ,0.31%
Sensata Technologies Holding PLC,ST,0.31%
Jazz Pharmaceuticals Plc,JAZZ,0.3%
Invesco Ltd.,IVZ,0.3%
UGI Corporation,UGI,0.3%
Reliance Steel & Aluminum Co.,RS,0.3%
Mosaic Company,MOS,0.3%
LPL Financial Holdings Inc.,LPLA,0.29%
"Novavax, Inc.",NVAX,0.29%
"Leidos Holdings, Inc.",LDOS,0.29%
"Steel Dynamics, Inc.",STLD,0.29%
Eaton Vance Corp.,EV,0.29%
"Lithia Motors, Inc. Class A",LAD,0.29%
"Arrow Electronics, Inc.",ARW,0.29%
Norwegian Cruise Line Holdings Ltd.,NCLH,0.29%
"Voya Financial, Inc.",VOYA,0.29%
EQUITY OTHER,Other,0.28%
"Bill.com Holdings, Inc.",BILL,0.28%
"Lincoln Electric Holdings, Inc.",LECO,0.28%
Scotts Miracle-Gro Company Class A,SMG,0.28%
Jones Lang LaSalle Incorporated,JLL,0.28%
Comerica Incorporated,CMA,0.28%
Sealed Air Corporation,SEE,0.28%
Avalara Inc,AVLR,0.28%
SYNNEX Corporation,SNX,0.27%
"Donaldson Company, Inc.",DCI,0.27%
"American Financial Group, Inc.",AFG,0.27%
First Horizon Corporation,FHN,0.27%
"National Retail Properties, Inc.",NNN,0.27%
"Commerce Bancshares, Inc.",CBSH,0.27%
Terminix Global Holdings Inc,TMX,0.26%
New York Times Company Class A,NYT,0.26%
"Zions Bancorporation, N.A.",ZION,0.26%
OGE Energy Corp.,OGE,0.26%
"Stericycle, Inc.",SRCL,0.26%
"Alaska Air Group, Inc.",ALK,0.26%
"Tetra Tech, Inc.",TTEK,0.26%
US Foods Holding Corp.,USFD,0.25%
"ITT, Inc.",ITT,0.25%
"Harley-Davidson, Inc.",HOG,0.25%
Axalta Coating Systems Ltd.,AXTA,0.25%
Sonoco Products Company,SON,0.24%
"CoreLogic, Inc.",CLGX,0.24%
United Therapeutics Corporation,UTHR,0.24%
"Gap, Inc.",GPS,0.24%
Brunswick Corporation,BC,0.24%
Kimco Realty Corporation,KIM,0.24%
"Charles River Laboratories International, Inc.",CRL,0.24%
CACI International Inc Class A,CACI,0.24%
"East West Bancorp, Inc.",EWBC,0.24%
DXC Technology Co.,DXC,0.23%
Nielsen Holdings Plc,NLSN,0.23%
"BJ\'s Wholesale Club Holdings, Inc.",BJ,0.23%
Polaris Inc.,PII,0.23%
"Leggett & Platt, Incorporated",LEG,0.23%
Signature Bank,SBNY,0.23%
Performance Food Group Company,PFGC,0.23%
PVH Corp.,PVH,0.23%
Apartment Investment & Management Co Class A,AIV,0.22%
"Toll Brothers, Inc.",TOL,0.22%
Devon Energy Corporation,DVN,0.22%
Oshkosh Corp,OSK,0.22%
"First Industrial Realty Trust, Inc.",FR,0.22%
"Wyndham Hotels & Resorts, Inc.",WH,0.22%
"Mattel, Inc.",MAT,0.22%
"EastGroup Properties, Inc.",EGP,0.22%
AGCO Corporation,AGCO,0.22%
"MSA Safety, Inc.",MSA,0.22%
Science Applications International Corp.,SAIC,0.22%
"Prosperity Bancshares, Inc.(R)",PB,0.22%
Capri Holdings Limited,CPRI,0.22%
Marriott Vacations Worldwide Corporation,VAC,0.21%
"People\'s United Financial, Inc.",PBCT,0.21%
"Life Storage, Inc.",LSI,0.21%
Herbalife Nutrition Ltd.,HLF,0.21%
Helen of Troy Limited,HELE,0.21%
Targa Resources Corp.,TRGP,0.21%
Kohl\'s Corporation,KSS,0.21%
TCF Financial Corporation,TCF,0.21%
Jabil Inc.,JBL,0.21%
First American Financial Corporation,FAF,0.21%
Old Republic International Corporation,ORI,0.21%
Knight-Swift Transportation Holdings Inc. Class A,KNX,0.21%
"Primerica, Inc.",PRI,0.21%
Iovance Biotherapeutics Inc,IOVA,0.21%
ManpowerGroup Inc.,MAN,0.2%
Ingredion Incorporated,INGR,0.2%
Apache Corporation,APA,0.2%
Timken Company,TKR,0.2%
Ares Management Corporation,ARES,0.2%
Hanesbrands Inc.,HBI,0.2%
Regal Beloit Corp,RBC,0.2%
"F5 Networks, Inc.",FFIV,0.2%
Carlyle Group Inc,CG,0.2%
"Starwood Property Trust, Inc.",STWD,0.2%
Huntsman Corporation,HUN,0.2%
"Thor Industries, Inc.",THO,0.2%
"XPO Logistics, Inc.",XPO,0.2%
MDU Resources Group Inc,MDU,0.2%
Cousins Properties Incorporated,CUZ,0.2%
"IDACORP, Inc.",IDA,0.19%
Pinnacle West Capital Corporation,PNW,0.19%
South State Corporation,SSB,0.19%
"Acuity Brands, Inc.",AYI,0.19%
Denali Therapeutics Inc.,DNLI,0.19%
Kemper Corporation,KMPR,0.19%
"EMCOR Group, Inc.",EME,0.19%
"Cirrus Logic, Inc.",CRUS,0.19%
"AutoNation, Inc.",AN,0.19%
Marathon Oil Corporation,MRO,0.19%
Curtiss-Wright Corporation,CW,0.19%
Envista Holdings Corp.,NVST,0.19%
"National Oilwell Varco, Inc.",NOV,0.19%
"Cullen/Frost Bankers, Inc.",CFR,0.19%
"Ashland Global Holdings, Inc.",ASH,0.18%
"Brixmor Property Group, Inc.",BRX,0.18%
"Allison Transmission Holdings, Inc.",ALSN,0.18%
Synovus Financial Corp.,SNV,0.18%
Hubbell Incorporated Class B,HUBB,0.18%
Lincoln National Corporation,LNC,0.18%
Jefferies Financial Group Inc.,JEF,0.18%
"Interpublic Group of Companies, Inc.",IPG,0.18%
Flowserve Corporation,FLS,0.18%
Stifel Financial Corp.,SF,0.18%
Cleveland-Cliffs Inc,CLF,0.18%
First Financial Bankshares Inc,FFIN,0.18%
"Builders FirstSource, Inc.",BLDR,0.18%
"ONE Gas, Inc.",OGS,0.17%
Premier Inc. Class A,PINC,0.17%
SL Green Realty Corp.,SLG,0.17%
Hexcel Corporation,HXL,0.17%
Janus Henderson Group PLC,JHG,0.17%
RLI Corp.,RLI,0.17%
EQT Corporation,EQT,0.17%
"Popular, Inc.",BPOP,0.17%
JetBlue Airways Corporation,JBLU,0.17%
"Kodiak Sciences, Inc.",KOD,0.17%
Vontier Corp,VNT,0.17%
Graphic Packaging Holding Company,GPK,0.17%
Lear Corporation,LEA,0.17%
Rexnord Corporation,RXN,0.17%
"Valvoline, Inc.",VVV,0.17%
"PROG Holdings, Inc.",PRG,0.17%
"New York Community Bancorp, Inc.",NYCB,0.17%
AGNC Investment Corp.,AGNC,0.17%
"SAGE Therapeutics, Inc.",SAGE,0.16%
Chemours Co.,CC,0.16%
"American Airlines Group, Inc.",AAL,0.16%
"First Solar, Inc.",FSLR,0.16%
"CF Industries Holdings, Inc.",CF,0.16%
"Carter\'s, Inc.",CRI,0.16%
"PNM Resources, Inc.",PNM,0.16%
MGIC Investment Corporation,MTG,0.16%
nVent Electric plc,NVT,0.16%
"Highwoods Properties, Inc.",HIW,0.16%
"Qurate Retail, Inc. Class A",QRTEA,0.16%
"Affiliated Managers Group, Inc.",AMG,0.16%
"Flowers Foods, Inc.",FLO,0.16%
"FTI Consulting, Inc.",FCN,0.16%
"Foot Locker, Inc.",FL,0.16%
Molson Coors Beverage Company Class B,TAP,0.16%
Unum Group,UNM,0.16%
"Park Hotels & Resorts, Inc.",PK,0.16%
Aramark,ARMK,0.16%
"Glacier Bancorp, Inc.",GBCI,0.16%
SLM Corp,SLM,0.16%
"Change Healthcare, Inc.",CHNG,0.16%
New Residential Investment Corp.,NRZ,0.16%
Wendy\'s Company,WEN,0.16%
Louisiana-Pacific Corporation,LPX,0.16%
"KBR, Inc.",KBR,0.16%
Rayonier Inc.,RYN,0.16%
"Turning Point Therapeutics, Inc.",TPTX,0.16%
Alcoa Corporation,AA,0.15%
Lazard Ltd Class A,LAZ,0.15%
Black Hills Corporation,BKH,0.15%
Axis Capital Holdings Limited,AXS,0.15%
W R Grace & Co,GRA,0.15%
"Hawaiian Electric Industries, Inc.",HE,0.15%
Radian Group Inc.,RDN,0.15%
Iridium Communications Inc.,IRDM,0.15%
"Blackstone Mortgage Trust, Inc. Class A",BXMT,0.15%
"Reata Pharmaceuticals, Inc. Class A",RETA,0.15%
"LiveRamp Holdings, Inc.",RAMP,0.15%
Xerox Holdings Corporation,XRX,0.15%
Middleby Corporation,MIDD,0.15%
"United Bankshares, Inc.",UBSI,0.15%
"Selective Insurance Group, Inc.",SIGI,0.15%
Altra Industrial Motion Corp.,AIMC,0.15%
"H&R Block, Inc.",HRB,0.15%
Portland General Electric Company,POR,0.15%
Colfax Corporation,CFX,0.15%
AMERCO,UHAL,0.15%
"VEREIT, Inc.",VER,0.15%
"Hanover Insurance Group, Inc.",THG,0.15%
"BridgeBio Pharma, Inc.",BBIO,0.15%
"Wyndham Destinations, Inc.",WYND,0.15%
"Mohawk Industries, Inc.",MHK,0.15%
Ralph Lauren Corporation Class A,RL,0.15%
"NRG Energy, Inc.",NRG,0.15%
"Spirit AeroSystems Holdings, Inc. Class A",SPR,0.15%
Cimarex Energy Co.,XEC,0.15%
"Acadia Healthcare Company, Inc.",ACHC,0.15%
"Cannae Holdings, Inc.",CNNE,0.14%
Sabre Corp.,SABR,0.14%
Visteon Corporation,VC,0.14%
Crane Co.,CR,0.14%
National Fuel Gas Company,NFG,0.14%
NCR Corporation,NCR,0.14%
"Community Bank System, Inc.",CBU,0.14%
Webster Financial Corporation,WBS,0.14%
"Dick\'s Sporting Goods, Inc.",DKS,0.14%
Agree Realty Corporation,ADC,0.14%
Lamar Advertising Company Class A,LAMR,0.14%
HollyFrontier Corporation,HFC,0.14%
Meritage Homes Corporation,MTH,0.14%
Brink\'s Company,BCO,0.14%
Dun & Bradstreet Holdings Inc,DNB,0.14%
SEI Investments Company,SEIC,0.14%
EnerSys,ENS,0.14%
"Murphy USA, Inc.",MUSA,0.14%
Equitrans Midstream Corp.,ETRN,0.14%
Vornado Realty Trust,VNO,0.14%
Valley National Bancorp,VLY,0.14%
Avient Corporation,AVNT,0.14%
"Southwest Gas Holdings, Inc.",SWX,0.14%
Bank OZK,OZK,0.14%
Deckers Outdoor Corporation,DECK,0.14%
Olin Corporation,OLN,0.13%
Macy\'s Inc,M,0.13%
"WESCO International, Inc.",WCC,0.13%
"Woodward, Inc.",WWD,0.13%
Federal Realty Investment Trust,FRT,0.13%
Taylor Morrison Home Corporation,TMHC,0.13%
Perrigo Co. Plc,PRGO,0.13%
"Diamondback Energy, Inc.",FANG,0.13%
"Watts Water Technologies, Inc. Class A",WTS,0.13%
"MSC Industrial Direct Co., Inc. Class A",MSM,0.13%
"Huntington Ingalls Industries, Inc.",HII,0.13%
"MasTec, Inc.",MTZ,0.13%
"Ryder System, Inc.",R,0.13%
UMB Financial Corporation,UMBF,0.13%
Verint Systems Inc.,VRNT,0.13%
