VCSH: Vanguard Short-Term Corporate Bond ETF
Inception Date: 2009-11-23
Fund Holdings as of: 2020-11-30
Total Assets Under Management (in thousands):	36266200
Shares Outstanding: 436417000
Expense Ratio: 0.05%
Tracks This Index: Barclays Capital U.S. 1-5 Year Corporate Index
ETFdb.com Category: Corporate Bonds
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VCSH


Holding,Symbol,Weighting
CORPORATE BOND,Other,0.44%
Bank of America Corporation 3.004% 20-DEC-2023,Other,0.31%
"Goldman Sachs Group, Inc. 5.75% 24-JAN-2022",Other,0.26%
Apple Inc. 2.4% 03-MAY-2023,Other,0.25%
Charter Communications Operating Capital Corp. 4.908% 23-JUL-2025,Other,0.24%
U.S. Dollar,Other,0.23%
"Goldman Sachs Group, Inc. 3.5% 01-APR-2025",Other,0.23%
Bristol-Myers Squibb Company 3.25% 20-FEB-2023,Other,0.23%
Verizon Communications Inc. 5.15% 15-SEP-2023,Other,0.21%
JPMorgan Chase & Co. 2.083% 22-APR-2026,Other,0.21%
CVS Health Corporation 3.7% 09-MAR-2023,Other,0.21%
Wells Fargo & Company 3.069% 24-JAN-2023,Other,0.2%
Diamond 1 Finance Corp. 5.45% 15-JUN-2023,Other,0.2%
Exxon Mobil Corporation 2.992% 19-MAR-2025,Other,0.19%
AbbVie Inc. 3.6% 14-MAY-2025,Other,0.19%
Wells Fargo & Company 2.188% 30-APR-2026,Other,0.19%
Wells Fargo & Company 2.625% 22-JUL-2022,Other,0.19%
Bank of America Corporation 3.55% 05-MAR-2024,Other,0.19%
"T-Mobile USA, Inc. 3.5% 15-APR-2025",Other,0.19%
AbbVie Inc. 3.8% 15-MAR-2025,Other,0.18%
AbbVie Inc. 2.6% 21-NOV-2024,Other,0.18%
Bank of America Corporation 3.864% 23-JUL-2024,Other,0.18%
Oracle Corporation 1.9% 15-SEP-2021,Other,0.17%
HSBC Holdings Plc 4.292% 12-SEP-2026,Other,0.17%
Comcast Corporation 3.95% 15-OCT-2025,Other,0.17%
Bank of America Corporation 3.95% 21-APR-2025,Other,0.17%
"Goldman Sachs Group, Inc. 3.5% 23-JAN-2025",Other,0.17%
AbbVie Inc. 2.9% 06-NOV-2022,Other,0.17%
HSBC Holdings Plc 3.262% 13-MAR-2023,Other,0.17%
International Business Machines Corporation 2.85% 13-MAY-2022,Other,0.17%
Boeing Company 4.875% 01-MAY-2025,Other,0.17%
Oracle Corporation 2.8% 01-APR-2027,Other,0.17%
Cooperatieve Rabobank UA 3.875% 08-FEB-2022,Other,0.17%
"Sumitomo Mitsui Financial Group, Inc. 2.846% 11-JAN-2022",Other,0.17%
Bank of America Corporation 4.0% 22-JAN-2025,Other,0.17%
Morgan Stanley 3.75% 25-FEB-2023,Other,0.17%
Citigroup Inc. 3.352% 24-APR-2025,Other,0.16%
Citigroup Inc. 3.106% 08-APR-2026,Other,0.16%
Bristol-Myers Squibb Company 3.45% 15-NOV-2027,Other,0.16%
Morgan Stanley 3.737% 24-APR-2024,Other,0.16%
Wells Fargo & Company 3.0% 19-FEB-2025,Other,0.16%
JPMorgan Chase & Co. 2.005% 13-MAR-2026,Other,0.16%
Morgan Stanley 4.0% 23-JUL-2025,Other,0.16%
Credit Suisse (New York Securities Branch) 3.625% 09-SEP-2024,Other,0.16%
Bank of America Corporation 3.458% 15-MAR-2025,Other,0.16%
Morgan Stanley 3.875% 29-APR-2024,Other,0.16%
Reynolds American Inc. 4.45% 12-JUN-2025,Other,0.15%
"NextEra Energy Capital Holdings, Inc. 2.9% 01-APR-2022",Other,0.15%
NatWest Group Plc 3.875% 12-SEP-2023,Other,0.15%
HSBC Holdings Plc 2.099% 04-JUN-2026,Other,0.15%
Morgan Stanley 3.7% 23-OCT-2024,Other,0.15%
Wells Fargo & Company 2.406% 30-OCT-2025,Other,0.15%
JPMorgan Chase & Co. 4.023% 05-DEC-2024,Other,0.15%
HSBC Holdings Plc 3.803% 11-MAR-2025,Other,0.15%
CVS Health Corporation 4.1% 25-MAR-2025,Other,0.15%
"Goldman Sachs Group, Inc. 3.85% 08-JUL-2024",Other,0.14%
Microsoft Corporation 2.875% 06-FEB-2024,Other,0.14%
Bank of America Corporation 4.125% 22-JAN-2024,Other,0.14%
Bank of America Corporation 1.197% 24-OCT-2026,Other,0.14%
JPMorgan Chase & Co. 3.22% 01-MAR-2025,Other,0.14%
Citigroup Inc. 2.876% 24-JUL-2023,Other,0.14%
Santander UK Plc 2.125% 03-NOV-2020,Other,0.14%
Citigroup Inc. 2.9% 08-DEC-2021,Other,0.14%
Morgan Stanley 2.188% 28-APR-2026,Other,0.14%
JPMorgan Chase & Co. 3.559% 23-APR-2024,Other,0.14%
Shell International Finance BV 3.25% 11-MAY-2025,Other,0.14%
JPMorgan Chase & Co. 0.5% 04-DEC-2023,Other,0.14%
International Business Machines Corporation 3.0% 15-MAY-2024,Other,0.14%
"Sumitomo Mitsui Financial Group, Inc. 1.474% 08-JUL-2025",Other,0.14%
Microsoft Corporation 3.125% 03-NOV-2025,Other,0.14%
"Anheuser-Busch Inbev Worldwide, Inc. 4.15% 23-JAN-2025",Other,0.14%
Apple Inc. 2.85% 11-MAY-2024,Other,0.13%
"Mitsubishi UFJ Financial Group, Inc. 3.761% 26-JUL-2023",Other,0.13%
AbbVie Inc. 2.3% 21-NOV-2022,Other,0.13%
Morgan Stanley 4.1% 22-MAY-2023,Other,0.13%
