VEA: Vanguard FTSE Developed Markets ETF
Inception Date: 2007-07-26
Fund Holdings as of: 2020-11-30
Total Assets Under Management (in thousands):	87776400
Shares Outstanding: 1849090000
Expense Ratio: 0.05%
Tracks This Index: MSCI EAFE Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VEA


Holding,Symbol,Weighting
Nestle SA,NESN,1.7647%
Roche Holding AG,ROG,1.3509%
Samsung Electronics Co Ltd,005930,1.2604%
Novartis AG,NOVN,1.0006%
SAP SE,SAP,0.9473%
Toyota Motor Corp,7203,0.8857%
ASML Holding NV,ASML,0.7993%
AstraZeneca PLC,AZN,0.786%
AIA Group Ltd,1299,0.6415%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.6285%
Novo Nordisk A/S,NOVO.B,0.6057%
Shopify Inc,SHOP,0.5974%
Sanofi SA,SAN,0.5897%
Sony Corp,6758,0.5295%
Royal Bank of Canada,RY,0.5246%
CSL Ltd,CSL,0.5172%
Siemens AG,SIE,0.5139%
SoftBank Group Corp,9984,0.5047%
GlaxoSmithKline PLC,GSK,0.5031%
Unilever NV,UNA,0.4673%
Keyence Corp,6861,0.4595%
British American Tobacco PLC,BATS,0.4452%
Toronto-Dominion Bank,TD,0.4385%
Commonwealth Bank of Australia,CBA,0.4369%
Total SE,FP,0.4272%
HSBC Holdings PLC,HSBA,0.4264%
Diageo PLC,DGE,0.4254%
Allianz SE,ALV,0.4205%
L'Oreal SA,OR,0.4171%
BHP Group Ltd,BHP,0.4114%
L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes George,AI,0.3957%
Canadian National Railway Co,CNR,0.3882%
Iberdrola SA,IBE,0.3859%
Unilever PLC,ULVR,0.3673%
Enel SpA,ENEL,0.3663%
Schneider Electric SE,SU,0.3607%
Rio Tinto PLC,RIO,0.3587%
Adidas AG,ADS,0.3427%
Reckitt Benckiser Group PLC,RB.,0.337%
Bayer AG,BAYN,0.3334%
BP PLC,BP.,0.3188%
Enbridge Inc,ENB,0.3161%
Hong Kong Exchanges and Clearing Ltd,388,0.316%
Takeda Pharmaceutical Co Ltd,4502,0.3044%
BASF SE,BAS,0.2963%
Deutsche Telekom AG,DTE,0.2848%
Royal Dutch Shell PLC,RDSA,0.283%
Zurich Insurance Group AG,ZURN,0.2811%
Nintendo Co Ltd,7974,0.281%
Daikin Industries Ltd,6367,0.2773%
Adyen NV,ADYEN,0.275%
SMC Corp,6273,0.2749%
Recruit Holdings Co Ltd,6098,0.2744%
Mitsubishi UFJ Financial Group Inc,8306,0.2695%
Barrick Gold Corp,ABX,0.2692%
Kering SA,KER,0.2672%
Bank of Nova Scotia,BNS,0.2605%
Lonza Group AG,LONN,0.257%
Shin-Etsu Chemical Co Ltd,4063,0.257%
Tokyo Electron Ltd,8035,0.2564%
Royal Dutch Shell PLC,RDSB,0.2487%
Brookfield Asset Management Inc,BAM.A,0.2459%
Abb Ltd,ABBN,0.2438%
Deutsche Post AG,DPW,0.2433%
Atlas Copco AB,ATCO.B,0.2428%
Anheuser Busch Inbev NV,ABI,0.241%
Westpac Banking Corp,WBC,0.2373%
Daimler AG,DAI,0.2338%
KDDI Corp,9433,0.2335%
Nidec Corp,6594,0.2318%
National Australia Bank Ltd,NAB,0.2269%
Koninklijke Philips NV,PHIA,0.2257%
Relx PLC,REL,0.2245%
Murata Manufacturing Co Ltd,6981,0.223%
Airbus SE,AIR,0.2209%
Hoya Corp,7741,0.2205%
National Grid PLC,NG.,0.2175%
Honda Motor Co Ltd,7267,0.2167%
Canadian Pacific Railway Ltd,CP,0.2164%
Prosus NV,PRX,0.2153%
TC Energy Corp,TRP,0.2149%
Daiichi Sankyo Co Ltd,4568,0.2113%
BNP Paribas SA,BNP,0.2103%
Givaudan SA,GIVN,0.2099%
EssilorLuxottica SA,EL,0.2093%
Danone SA,BN,0.2083%
Prudential PLC,PRU,0.2076%
Vinci SA,DG,0.2072%
SK Hynix Inc,000660,0.2038%
Vonovia SE,VNA,0.2032%
Samsung Electronics Co Ltd,005935,0.2%
Infineon Technologies AG,IFX,0.1985%
Mizuho Financial Group Inc,8411,0.1971%
Bank of Montreal,BMO,0.1963%
London Stock Exchange Group PLC,LSE,0.1961%
UBS Group AG,UBSG,0.1959%
Sumitomo Mitsui Financial Group Inc,8316,0.1953%
Wesfarmers Ltd,WES,0.1945%
Vodafone Group PLC,VOD,0.1935%
NTT Docomo Inc,9437,0.1926%
Australia and New Zealand Banking Group Ltd,ANZ,0.1914%
