VEGN: US Vegan Climate ETF
Inception Date: 2019-09-09
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	35869
Shares Outstanding: 1050000
Expense Ratio: 0.6%
Tracks This Index: Beyond Investing US Vegan Climate Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Beyond Investing LLC
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VEGN


Holding,Symbol,Weighting
Tesla Inc,TSLA,6.99%
Apple Inc.,AAPL,4.6%
Mastercard Incorporated Class A,MA,4.43%
Microsoft Corporation,MSFT,4.31%
Visa Inc. Class A,V,4.28%
NVIDIA Corporation,NVDA,4.15%
UnitedHealth Group Incorporated,UNH,4.09%
Verizon Communications Inc.,VZ,3.75%
Alphabet Inc. Class A,GOOGL,2.07%
Alphabet Inc. Class C,GOOG,2.07%
PayPal Holdings Inc,PYPL,1.61%
Adobe Inc.,ADBE,1.38%
Comcast Corporation Class A,CMCSA,1.36%
Intel Corporation,INTC,1.25%
AT&T Inc.,T,1.24%
"salesforce.com, inc.",CRM,1.15%
"Cisco Systems, Inc.",CSCO,1.02%
Broadcom Inc.,AVGO,0.99%
Qualcomm Inc,QCOM,0.99%
Accenture Plc Class A,ACN,0.97%
Texas Instruments Incorporated,TXN,0.88%
Union Pacific Corporation,UNP,0.82%
Oracle Corporation,ORCL,0.71%
"United Parcel Service, Inc. Class B",UPS,0.69%
International Business Machines Corporation,IBM,0.65%
"Advanced Micro Devices, Inc.",AMD,0.64%
"ServiceNow, Inc.",NOW,0.59%
American Tower Corporation,AMT,0.58%
Intuit Inc.,INTU,0.56%
"Charter Communications, Inc. Class A",CHTR,0.54%
Booking Holdings Inc.,BKNG,0.52%
First American Funds Inc X Government Obligations Fund,FGXXX,0.51%
"Fidelity National Information Services, Inc.",FIS,0.51%
"Micron Technology, Inc.",MU,0.49%
"Square, Inc. Class A",SQ,0.48%
"Applied Materials, Inc.",AMAT,0.47%
"S&P Global, Inc.",SPGI,0.47%
"Anthem, Inc.",ANTM,0.47%
"T-Mobile US, Inc.",TMUS,0.46%
Deere & Company,DE,0.45%
Cigna Corporation,CI,0.45%
"Prologis, Inc.",PLD,0.42%
American Express Company,AXP,0.42%
"Activision Blizzard, Inc.",ATVI,0.41%
Lam Research Corporation,LRCX,0.41%
CSX Corporation,CSX,0.4%
"Automatic Data Processing, Inc.",ADP,0.4%
"Zoom Video Communications, Inc. Class A",ZM,0.39%
Crown Castle International Corp,CCI,0.38%
CME Group Inc. Class A,CME,0.38%
"Autodesk, Inc.",ADSK,0.38%
Truist Financial Corporation,TFC,0.37%
Global Payments Inc.,GPN,0.37%
"PNC Financial Services Group, Inc.",PNC,0.37%
"Fiserv, Inc.",FISV,0.37%
"Intercontinental Exchange, Inc.",ICE,0.36%
FedEx Corporation,FDX,0.36%
"Equinix, Inc.",EQIX,0.36%
Chubb Limited,CB,0.35%
Norfolk Southern Corporation,NSC,0.35%
Progressive Corporation,PGR,0.34%
"Uber Technologies, Inc.",UBER,0.34%
"Marsh & McLennan Companies, Inc.",MMC,0.34%
Humana Inc.,HUM,0.32%
"Snap, Inc. Class A",SNAP,0.31%
Moody\'s Corporation,MCO,0.28%
Eaton Corp. Plc,ETN,0.28%
Aon Plc Class A,AON,0.27%
"Twilio, Inc. Class A",TWLO,0.27%
Capital One Financial Corporation,COF,0.26%
HCA Healthcare Inc,HCA,0.26%
Cognizant Technology Solutions Corporation Class A,CTSH,0.25%
"Twitter, Inc.",TWTR,0.25%
KLA Corporation,KLAC,0.24%
"Workday, Inc. Class A",WDAY,0.24%
Electronic Arts Inc.,EA,0.24%
"Synopsys, Inc.",SNPS,0.23%
"DocuSign, Inc.",DOCU,0.23%
"Match Group, Inc.",MTCH,0.22%
Veeva Systems Inc Class A,VEEV,0.22%
"Cadence Design Systems, Inc.",CDNS,0.22%
Centene Corporation,CNC,0.21%
MSCI Inc. Class A,MSCI,0.21%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.21%
