VGK: Vanguard FTSE Europe ETF
Inception Date: 2005-03-10
Fund Holdings as of: 2020-11-30
Total Assets Under Management (in thousands):	14535000
Shares Outstanding: 237888000
Expense Ratio: 0.09%
Tracks This Index: FTSE Developed Europe Index
ETFdb.com Category: Europe Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VGK


Holding,Symbol,Weighting
Nestle SA,NESN,3.4581%
Roche Holding AG,ROG,2.5482%
Novartis AG,NOVN,1.9585%
SAP SE,SAP,1.8337%
ASML Holding NV,ASML,1.5479%
AstraZeneca PLC,AZN,1.5003%
LVMH Moet Hennessy Louis Vuitton SE,MC,1.2439%
Novo Nordisk A/S,NOVO.B,1.1785%
Sanofi SA,SAN,1.1479%
Siemens AG,SIE,1.0154%
GlaxoSmithKline PLC,GSK,0.9607%
Unilever NV,UNA,0.9181%
British American Tobacco PLC,BATS,0.8505%
Total SE,FP,0.8368%
Allianz SE,ALV,0.8346%
L'Oreal SA,OR,0.829%
HSBC Holdings PLC,HSBA,0.8145%
Diageo PLC,DGE,0.8123%
L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes George,AI,0.7792%
Iberdrola SA,IBE,0.7628%
Enel SpA,ENEL,0.7133%
Schneider Electric SE,SU,0.7022%
Unilever PLC,ULVR,0.701%
Rio Tinto PLC,RIO,0.6851%
Adidas AG,ADS,0.6587%
Reckitt Benckiser Group PLC,RB.,0.6441%
Bayer AG,BAYN,0.6424%
BP PLC,BP.,0.609%
BASF SE,BAS,0.583%
Deutsche Telekom AG,DTE,0.5675%
Zurich Insurance Group AG,ZURN,0.5448%
Royal Dutch Shell PLC,RDSA,0.5407%
Adyen NV,ADYEN,0.5363%
Kering SA,KER,0.5274%
Lonza Group AG,LONN,0.4834%
Abb Ltd,ABBN,0.4779%
Royal Dutch Shell PLC,RDSB,0.475%
Anheuser Busch Inbev NV,ABI,0.471%
Deutsche Post AG,DPW,0.4701%
BHP Group PLC,BHP,0.4647%
Koninklijke Philips NV,PHIA,0.4492%
Daimler AG,DAI,0.4482%
Relx PLC,REL,0.4287%
Airbus SE,AIR,0.4245%
National Grid PLC,NG.,0.4157%
EssilorLuxottica SA,EL,0.4145%
Vinci SA,DG,0.4121%
BNP Paribas SA,BNP,0.4101%
Givaudan SA,GIVN,0.4094%
Prosus NV,PRX,0.4086%
Danone SA,BN,0.4055%
Vonovia SE,VNA,0.3995%
Investor AB,INVE.B,0.3994%
Prudential PLC,PRU,0.3967%
UBS Group AG,UBSG,0.3857%
Infineon Technologies AG,IFX,0.3839%
London Stock Exchange Group PLC,LSE,0.3737%
Muenchener Rueckversicherungs Gesellschaft AG in Muenchen,MUV2,0.3707%
Vodafone Group PLC,VOD,0.3697%
AXA SA,CS,0.3687%
Kone Oyj,KNEBV,0.3639%
Compagnie Financiere Richemont SA,CFR,0.3581%
Experian PLC,EXPN,0.3579%
Sika AG,SIKA,0.3524%
Telefonaktiebolaget LM Ericsson,ERIC.B,0.3473%
Pernod Ricard SA,RI,0.3456%
Deutsche Boerse AG,DB1,0.3408%
DSV Panalpina A/S,DSV,0.3405%
Safran SA,SAF,0.3349%
Koninklijke Ahold Delhaize NV,AD,0.3349%
Vestas Wind Systems A/S,VWS,0.3201%
Volvo AB,VOLV.B,0.318%
Volkswagen AG,VOW3,0.3093%
Industria de Diseno Textil SA,ITX,0.3082%
Anglo American PLC,AAL,0.3074%
Intesa Sanpaolo SpA,ISP,0.3012%
CRH PLC,CRH,0.3%
Atlas Copco AB,ATCO.A,0.2996%
ING Groep NV,INGA,0.2887%
Compass Group PLC,CPG,0.2881%
Koninklijke DSM NV,DSM,0.287%
Hermes International SCA,RMS,0.2799%
Tesco PLC,TSCO,0.2785%
Orsted A/S,ORSTED,0.2767%
Alcon AG,ALC,0.2756%
Dassault Systemes SE,DSY,0.2595%
Nordea Bank Abp,NDA.SE,0.2524%
E.ON SE,EOAN,0.2515%
Amadeus IT Group SA,AMS,0.249%
RWE AG,RWE,0.2475%
Lloyds Banking Group PLC,LLOY,0.2461%
Bayerische Motoren Werke AG,BMW,0.2434%
LafargeHolcim Ltd,LHN,0.2427%
Credit Suisse Group AG,CSGN,0.2412%
Wolters Kluwer NV,WKL,0.2403%
Ferguson PLC,FERG,0.2363%
Glencore PLC,GLEN,0.2342%
Vivendi SA,VIV,0.2342%
Neste Oyj,NESTE,0.2318%
Nokia Oyj,NOKIA,0.231%
Henkel AG & Co KGaA,HEN,0.2304%
Engie SA,ENGI,0.2303%
Ferrari NV,RACE,0.2299%
Assa Abloy AB,ASSA.B,0.2265%
Genmab A/S,GMAB,0.2258%
Barclays PLC,BARC,0.2251%
Cellnex Telecom SA,CLNX,0.2243%
Heineken NV,HEIA,0.2236%
Legrand SA,LR,0.223%
Coloplast A/S,COLO.B,0.221%
Sandvik AB,SAND,0.2198%
Swiss Re AG,SREN,0.2195%
Essity AB (publ),ESSITY.B,0.2169%
Compagnie de Saint Gobain SA,SGO,0.2147%
Geberit AG,GEBN,0.2132%
Capgemini SE,CAP,0.2127%
BAE Systems PLC,BA.,0.21%
Sampo plc,SAMPO,0.2096%
Orange SA,ORA,0.2076%
Hexagon AB,HEXA.B,0.205%
Akzo Nobel NV,AKZA,0.2042%
STMicroelectronics NV,STM,0.2032%
Kerry Group PLC,KRZ,0.2032%
Flutter Entertainment PLC,FLTR,0.2005%
Eni SpA,ENI,0.2001%
Compagnie Generale des Etablissements Michelin SCA,ML,0.198%
Merck KGaA,MRK,0.1963%
Fresenius SE & Co KGaA,FRE,0.1933%
