VIRS: Pacer BioThreat Strategy ETF
Inception Date: 2020-06-24
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	5617
Shares Outstanding: 200000
Expense Ratio: 0.7%
Tracks This Index: LifeSci BioThreat Strategy Index
ETFdb.com Category: Large Cap Growth Equities
Issuer: Pacer Financial
Structure: 
ETF Home Page: https://etfdb.com/etf/VIRS


Holding,Symbol,Weighting
Johnson & Johnson,JNJ,5.07%
Thermo Fisher Scientific Inc.,TMO,5.05%
Abbott Laboratories,ABT,4.98%
Walmart Inc.,WMT,4.94%
Danaher Corporation,DHR,4.93%
"Merck & Co., Inc.",MRK,4.92%
"Netflix, Inc.",NFLX,4.88%
NVIDIA Corporation,NVDA,4.85%
"Amazon.com, Inc.",AMZN,4.82%
"Home Depot, Inc.",HD,4.8%
Sanofi SA Sponsored ADR,SNY,4.53%
"Lowe\'s Companies, Inc.",LOW,4.32%
"Zoom Video Communications, Inc. Class A",ZM,3.79%
3M Company,MMM,3.65%
GlaxoSmithKline plc Sponsored ADR,GSK,3.45%
CVS Health Corporation,CVS,3.37%
"Gilead Sciences, Inc.",GILD,2.77%
Ecolab Inc.,ECL,2.25%
"Illumina, Inc.",ILMN,1.98%
"Regeneron Pharmaceuticals, Inc.",REGN,1.9%
Kimberly-Clark Corporation,KMB,1.67%
"Moderna, Inc.",MRNA,1.59%
"Agilent Technologies, Inc.",A,1.33%
Walgreens Boots Alliance Inc,WBA,1.32%
"Teladoc Health, Inc.",TDOC,1.02%
Mettler-Toledo International Inc.,MTD,1.01%
Clorox Company,CLX,0.93%
Hormel Foods Corporation,HRL,0.92%
Kroger Co.,KR,0.9%
"Church & Dwight Co., Inc.",CHD,0.79%
Laboratory Corporation of America Holdings,LH,0.73%
Xylem Inc.,XYL,0.66%
"Akamai Technologies, Inc.",AKAM,0.63%
Quest Diagnostics Incorporated,DGX,0.6%
"PerkinElmer, Inc.",PKI,0.6%
"Citrix Systems, Inc.",CTXS,0.58%
Waters Corporation,WAT,0.57%
Campbell Soup Company,CPB,0.54%
QIAGEN NV,QGEN,0.45%
U.S. Dollar,Other,0.39%
Booz Allen Hamilton Holding Corporation Class A,BAH,0.39%
"FLIR Systems, Inc.",FLIR,0.25%
"Stericycle, Inc.",SRCL,0.23%
Emergent BioSolutions Inc.,EBS,0.18%
Neogen Corporation,NEOG,0.15%
"Vir Biotechnology, Inc.",VIR,0.13%
"Energizer Holdings, Inc.",ENR,0.11%
Stepan Company,SCL,0.1%
