VNQ: Vanguard Real Estate Index Fund
Inception Date: 2004-09-23
Fund Holdings as of: 2020-11-30
Total Assets Under Management (in thousands):	29965000
Shares Outstanding: 365071000
Expense Ratio: 0.12%
Tracks This Index: MSCI US REIT Index
ETFdb.com Category: Real Estate
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VNQ


Holding,Symbol,Weighting
Vanguard Real Estate II Index Fund Institutional Plus Shares,VRTPX,12.26%
American Tower Corporation,AMT,7.57%
"Prologis, Inc.",PLD,5.45%
Crown Castle International Corp,CCI,5.33%
"Equinix, Inc.",EQIX,4.56%
Public Storage,PSA,2.53%
"Digital Realty Trust, Inc.",DLR,2.53%
SBA Communications Corp. Class A,SBAC,2.37%
"Simon Property Group, Inc.",SPG,1.98%
"Welltower, Inc.",WELL,1.94%
"AvalonBay Communities, Inc.",AVB,1.73%
Weyerhaeuser Company,WY,1.6%
Equity Residential,EQR,1.59%
Realty Income Corporation,O,1.53%
"Alexandria Real Estate Equities, Inc.",ARE,1.53%
"CBRE Group, Inc. Class A",CBRE,1.51%
"Ventas, Inc.",VTR,1.32%
"Invitation Homes, Inc.",INVH,1.18%
"Essex Property Trust, Inc.",ESS,1.18%
"Healthpeak Properties, Inc.",PEAK,1.15%
"Mid-America Apartment Communities, Inc.",MAA,1.07%
"Boston Properties, Inc.",BXP,1.07%
Duke Realty Corporation,DRE,1.04%
Extra Space Storage Inc.,EXR,1.03%
"Sun Communities, Inc.",SUI,1.01%
VICI Properties Inc,VICI,0.99%
W. P. Carey Inc.,WPC,0.89%
"UDR, Inc.",UDR,0.84%
"Medical Properties Trust, Inc.",MPW,0.76%
"Equity LifeStyle Properties, Inc.",ELS,0.75%
"Host Hotels & Resorts, Inc.",HST,0.73%
Camden Property Trust,CPT,0.71%
"Gaming and Leisure Properties, Inc.",GLPI,0.64%
American Homes 4 Rent Class A,AMH,0.6%
"CyrusOne, Inc.",CONE,0.6%
"Omega Healthcare Investors, Inc.",OHI,0.59%
"Iron Mountain, Inc.",IRM,0.59%
STORE Capital Corporation,STOR,0.58%
Regency Centers Corporation,REG,0.57%
"VEREIT, Inc.",VER,0.56%
U.S. Dollar,Other,0.55%
Lamar Advertising Company Class A,LAMR,0.51%
Americold Realty Trust,COLD,0.51%
Jones Lang LaSalle Incorporated,JLL,0.51%
"National Retail Properties, Inc.",NNN,0.48%
Kilroy Realty Corporation,KRC,0.47%
CubeSmart,CUBE,0.47%
Vornado Realty Trust,VNO,0.47%
Federal Realty Investment Trust,FRT,0.46%
Kimco Realty Corporation,KIM,0.46%
"Rexford Industrial Realty, Inc.",REXR,0.44%
"Healthcare Trust of America, Inc. Class A",HTA,0.42%
Apartment Investment & Management Co Class A,AIV,0.41%
"EastGroup Properties, Inc.",EGP,0.4%
"American Campus Communities, Inc.",ACC,0.4%
"Douglas Emmett, Inc",DEI,0.4%
CoreSite Realty Corporation,COR,0.39%
"First Industrial Realty Trust, Inc.",FR,0.39%
"Life Storage, Inc.",LSI,0.38%
Cousins Properties Incorporated,CUZ,0.37%
"STAG Industrial, Inc.",STAG,0.33%
"Brixmor Property Group, Inc.",BRX,0.33%
SL Green Realty Corp.,SLG,0.31%
MGM Growth Properties LLC Class A,MGP,0.3%
Healthcare Realty Trust Incorporated,HR,0.3%
"Highwoods Properties, Inc.",HIW,0.29%
Terreno Realty Corporation,TRNO,0.29%
"Hudson Pacific Properties, Inc.",HPP,0.29%
Redfin Corporation,RDFN,0.28%
"Spirit Realty Capital, Inc.",SRC,0.28%
"Park Hotels & Resorts, Inc.",PK,0.28%
Rayonier Inc.,RYN,0.28%
"QTS Realty Trust, Inc. Class A",QTS,0.27%
JBG SMITH Properties,JBGS,0.27%
Agree Realty Corporation,ADC,0.26%
Physicians Realty Trust,DOC,0.26%
"Sabra Health Care REIT, Inc.",SBRA,0.25%
"Ryman Hospitality Properties, Inc.",RHP,0.25%
Innovative Industrial Properties Inc,IIPR,0.25%
Equity Commonwealth,EQC,0.24%
PotlatchDeltic Corporation,PCH,0.23%
Corporate Office Properties Trust,OFC,0.22%
Howard Hughes Corporation,HHC,0.22%
Lexington Realty Trust,LXP,0.21%
"National Health Investors, Inc.",NHI,0.21%
Apple Hospitality REIT Inc,APLE,0.21%
EPR Properties,EPR,0.2%
"PS Business Parks, Inc.",PSB,0.2%
OUTFRONT Media Inc.,OUT,0.2%
"Taubman Centers, Inc.",TCO,0.19%
Weingarten Realty Investors,WRI,0.19%
Pebblebrook Hotel Trust,PEB,0.18%
National Storage Affiliates Trust,NSA,0.17%
"Sunstone Hotel Investors, Inc.",SHO,0.17%
"Piedmont Office Realty Trust, Inc. Class A",PDM,0.15%
"Kennedy-Wilson Holdings, Inc.",KW,0.15%
RLJ Lodging Trust,RLJ,0.15%
"Four Corners Property Trust, Inc.",FCPT,0.15%
"Colony Capital, Inc. Class A",CLNY,0.15%
"Essential Properties Realty Trust, Inc.",EPRT,0.14%
Brandywine Realty Trust,BDN,0.14%
Service Properties Trust,SVC,0.14%
Uniti Group Inc.,UNIT,0.14%
Washington Real Estate Investment Trust,WRE,0.14%
CareTrust REIT Inc,CTRE,0.14%
"Retail Properties of America, Inc. Class A",RPAI,0.13%
"Easterly Government Properties, Inc.",DEA,0.13%
Cushman & Wakefield Plc,CWK,0.12%
"Paramount Group, Inc.",PGRE,0.12%
SITE Centers Corp.,SITC,0.12%
"Columbia Property Trust, Inc.",CXP,0.12%
"Xenia Hotels & Resorts, Inc.",XHR,0.12%
Urban Edge Properties,UE,0.11%
"American Assets Trust, Inc.",AAT,0.11%
DiamondRock Hospitality Company,DRH,0.11%
"eXp World Holdings, Inc.",EXPI,0.11%
"LTC Properties, Inc.",LTC,0.11%
Retail Opportunity Investments Corp.,ROIC,0.11%
Industrial Logistics Properties Trust,ILPT,0.11%
Global Net Lease Inc,GNL,0.11%
Realogy Holdings Corp.,RLGY,0.1%
Monmouth Real Estate Investment Corporation Class A,MNR,0.1%
"Empire State Realty Trust, Inc. Class A",ESRT,0.1%
Mack-Cali Realty Corporation,CLI,0.09%
Kite Realty Group Trust,KRG,0.09%
Acadia Realty Trust,AKR,0.09%
"Independence Realty Trust, Inc.",IRT,0.09%
GEO Group Inc,GEO,0.08%
Office Properties Income Trust,OPI,0.08%
iStar Inc.,STAR,0.08%
"Newmark Group, Inc. Class A",NMRK,0.08%
Macerich Company,MAC,0.08%
Diversified Healthcare Trust,DHC,0.08%
St. Joe Company,JOE,0.08%
"Alexander & Baldwin, Inc.",ALEX,0.08%
Getty Realty Corp.,GTY,0.07%
"Tanger Factory Outlet Centers, Inc.",SKT,0.07%
Front Yard Residential Corp. Class B,RESI,0.07%
Community Healthcare Trust Incorporated,CHCT,0.07%
"Summit Hotel Properties, Inc.",INN,0.07%
"CoreCivic, Inc.",CXW,0.06%
"American Finance Trust, Inc.",AFIN,0.06%
"Marcus & Millichap, Inc.",MMI,0.06%
NexPoint Residential Trust Inc,NXRT,0.06%
Universal Health Realty Income Trust,UHT,0.06%
Investors Real Estate Trust,IRET,0.06%
Safehold Inc.,SAFE,0.06%
"Alexander\'s, Inc.",ALX,0.05%
Gladstone Commercial Corporation,GOOD,0.05%
"Armada Hoffler Properties, Inc.",AHH,0.04%
"UMH Properties, Inc.",UMH,0.04%
Chatham Lodging Trust,CLDT,0.04%
Global Medical REIT Inc,GMRE,0.04%
Franklin Street Properties Corp.,FSP,0.04%
"RE/MAX Holdings, Inc.",RMAX,0.04%
"RMR Group, Inc. Class A",RMR,0.04%
RPT Realty,RPT,0.04%
Seritage Growth Properties Class A,SRG,0.03%
Urstadt Biddle Properties Inc. Class A,UBA,0.03%
"CatchMark Timber Trust, Inc. Class A",CTT,0.03%
New Senior Investment Group Inc,SNR,0.03%
"City Office REIT, Inc.",CIO,0.03%
"Saul Centers, Inc.",BFS,0.03%
"Preferred Apartment Communities, Inc.",APTS,0.03%
Whitestone REIT,WSR,0.02%
Hersha Hospitality Trust Class A,HT,0.02%
"Retail Value, Inc.",RVI,0.02%
Tejon Ranch Co.,TRC,0.02%
"CorePoint Lodging, Inc.",CPLG,0.02%
"One Liberty Properties, Inc.",OLP,0.02%
Forestar Group Inc.,FOR,0.02%
Five Point Holdings LLC Class A,FPH,0.02%
Washington Prime Group Inc.,WPG,0.01%
Altisource Portfolio Solutions S.A.,ASPS,0.01%
FRP Holdings Inc,FRPH,0.01%
EQUITY OTHER,Other,0.0%
"CorEnergy Infrastructure Trust, Inc.",CORR,0.0%
Cedar Realty Trust Inc,CDR,0.0%
"Braemar Hotels & Resorts, Inc.",BHR,0.0%
Urstadt Biddle Properties Inc.,UBP,0.0%
"Ashford Hospitality Trust, Inc.",AHT,0.0%
