VPC: Virtus Private Credit Strategy ETF
Inception Date: 2019-02-07
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	21300
Shares Outstanding: 1050000
Expense Ratio: 7.64%
Tracks This Index: Indxx Private Credit Index
ETFdb.com Category: Small Cap Blend Equities
Issuer: Virtus
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VPC


Holding,Symbol,Weighting
Oxford Lane Capital Corp.,OXLC,5.41%
"Eagle Point Credit Co., Inc.",ECC,4.67%
EQUITY OTHER,Other,4.63%
"Barings BDC, Inc.",BBDC,3.46%
PennantPark Investment Corporation,PNNT,2.93%
Apollo Investment Corporation,AINV,2.76%
Nuveen Credit Strategies Income Fund,JQC,2.62%
"TCG BDC, Inc.",CGBD,2.58%
Prospect Capital Corporation,PSEC,2.4%
Capital Southwest Corporation,CSWC,2.26%
BlackRock TCP Capital Corp.,TCPC,2.07%
New Mountain Finance Corporation,NMFC,2.04%
PennantPark Floating Rate Capital Ltd.,PFLT,2.01%
Blackstone Long-Short Credit Income Fund Shs of Benef Interest,BGX,1.98%
Fidus Investment Corporation,FDUS,1.97%
KKR Income Opportunities Fund,KIO,1.92%
Blackstone Strategic Credit Fund Shs of Benef Interest,BGB,1.91%
"Hercules Capital, Inc.",HTGC,1.88%
"Goldman Sachs BDC, Inc",GSBD,1.84%
"WhiteHorse Finance, Inc.",WHF,1.82%
Gladstone Investment Corporation,GAIN,1.8%
Gladstone Capital Corporation,GLAD,1.76%
TriplePoint Venture Growth BDC Corp.,TPVG,1.73%
"Golub Capital BDC, Inc.",GBDC,1.7%
Ares Capital Corporation,ARCC,1.69%
Solar Capital Ltd.,SLRC,1.63%
Blackstone Senior Floating Rate Term Fund Shs of Benef Interest,BSL,1.62%
"Bain Capital Specialty Finance, Inc.",BCSF,1.54%
Main Street Capital Corporation,MAIN,1.53%
Nuveen Senior Income Fund,NSL,1.51%
Nuveen Floating Rate Income Opportunity Fund ETF,JRO,1.49%
Nuveen Floating Rate Income Fund,JFR,1.48%
Blackrock Debt Strategies Fund Inc,DSU,1.45%
"BNY Mellon Alcentra Global Credit Income 2024 Target Term Fund, Inc.",DCF,1.4%
First Trust Senior Floating Rate Income Fund II,FCT,1.39%
Barings Corporate Investors,MCI,1.38%
Oaktree Specialty Lending Corporation,OCSL,1.31%
Eaton Vance Senior Floating Rate Fund,EFR,1.25%
Invesco Senior Income Trust,VVR,1.2%
Pioneer Floating Rate Trust,PHD,1.18%
BlackRock Floating Rate Income Trust of Benef Interest,BGT,1.18%
Blackrock Limited Duration Income Trust,BLW,1.17%
Eaton Vance Senior Income Trust,EVF,1.13%
Oxford Square Capital Corp.,OXSQ,1.08%
"First Eagle Alternative Capital BDC, Inc.",FCRD,1.08%
Horizon Technology Finance Corporation,HRZN,1.06%
Eaton Vance Floating Rate Income Plus Fund,EFF,1.03%
U.S. Dollar,Other,1.02%
Voya Prime Rate Trust,PPR,1.02%
Oaktree Strategic Income Corporation,OCSI,1.0%
Monroe Capital Corp.,MRCC,0.97%
Saratoga Investment Corp.,SAR,0.95%
Solar Senior Capital Ltd,SUNS,0.94%
BlackRock Capital Investment Corporation,BKCC,0.92%
Stellus Capital Investment Corp.,SCM,0.92%
First Trust Senior Floating Rate 2022 Target Term Fund,FIV,0.78%
"Crescent Capital BDC, Inc.",CCAP,0.57%
