VPL: Vanguard FTSE Pacific ETF
Inception Date: 2005-03-10
Fund Holdings as of: 2020-11-30
Total Assets Under Management (in thousands):	4505040
Shares Outstanding: 56896000
Expense Ratio: 0.09%
Tracks This Index: FTSE Developed Asia Pacific Index
ETFdb.com Category: Asia Pacific Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VPL


Holding,Symbol,Weighting
"Samsung Electronics Co., Ltd.",005930,3.6%
Toyota Motor Corp.,7203,2.12%
AIA Group Limited,1299,1.69%
Sony Corporation,6758,1.45%
Commonwealth Bank of Australia,CBA,1.31%
SoftBank Group Corp.,9984,1.29%
CSL Limited,CSL,1.27%
Keyence Corporation,6861,1.17%
BHP Group Ltd,BHP,1.05%
U.S. Dollar,Other,0.86%
"Daiichi Sankyo Company, Limited",4568,0.86%
Shin-Etsu Chemical Co Ltd,4063,0.83%
Hong Kong Exchanges & Clearing Ltd.,388,0.8%
"Nintendo Co., Ltd.",7974,0.77%
"DAIKIN INDUSTRIES, LTD.",6367,0.76%
Nidec Corporation,6594,0.75%
National Australia Bank Limited,NAB,0.7%
Takeda Pharmaceutical Co. Ltd.,4502,0.69%
Westpac Banking Corporation,WBC,0.68%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.68%
"Recruit Holdings Co., Ltd.",6098,0.67%
Tokyo Electron Ltd.,8035,0.64%
"Murata Manufacturing Co., Ltd.",6981,0.63%
KDDI Corporation,9433,0.62%
"Honda Motor Co., Ltd.",7267,0.61%
HOYA CORPORATION,7741,0.61%
Fanuc Corporation,6954,0.6%
Australia and New Zealand Banking Group Limited,ANZ,0.6%
Samsung Electronics Co Ltd Pfd  Non-Voting,005935,0.58%
SK hynix Inc,000660,0.58%
"FAST RETAILING CO., LTD.",9983,0.53%
Wesfarmers Limited,WES,0.52%
"M3, Inc.",2413,0.49%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.48%
Itochu Corporation,8001,0.46%
SMC Corporation,6273,0.46%
Kao Corp.,4452,0.45%
"Hitachi,Ltd.",6501,0.45%
Woolworths Group Ltd,WOW,0.44%
SoftBank Corp.,9434,0.43%
LG Chem Ltd.,051910,0.43%
Macquarie Group Limited,MQG,0.42%
DBS Group Holdings Ltd,D05,0.42%
NAVER Corp.,035420,0.42%
"Tokio Marine Holdings, Inc.",8766,0.41%
"Mizuho Financial Group, Inc.",8411,0.41%
"Oriental Land Co., Ltd.",4661,0.41%
"Chugai Pharmaceutical Co., Ltd.",4519,0.4%
"Celltrion, Inc.",068270,0.4%
Mitsubishi Electric Corp.,6503,0.37%
Nippon Telegraph and Telephone Corporation,9432,0.37%
"Mitsui & Co.,Ltd",8031,0.36%
Transurban Group Ltd.,TCL,0.36%
Rio Tinto Limited,RIO,0.35%
Mitsubishi Corporation,8058,0.35%
"Shiseido Company,Limited",4911,0.35%
Astellas Pharma Inc.,4503,0.34%
Terumo Corporation,4543,0.33%
Fujitsu Limited,6702,0.33%
Oversea-Chinese Banking Corporation Limited,O39,0.33%
"Samsung SDI Co., Ltd",006400,0.32%
Suzuki Motor Corp.,7269,0.31%
"Seven & I Holdings Co., Ltd.",3382,0.31%
Goodman Group,GMG,0.31%
Japan Tobacco Inc.,2914,0.31%
Hyundai Motor Company,005380,0.3%
Olympus Corp.,7733,0.29%
Central Japan Railway Company,9022,0.29%
Panasonic Corporation,6752,0.29%
Komatsu Ltd.,6301,0.28%
Kubota Corporation,6326,0.28%
East Japan Railway Company,9020,0.28%
United Overseas Bank Ltd. (Singapore),U11,0.27%
DENSO CORPORATION,6902,0.27%
Fortescue Metals Group Ltd,FMG,0.27%
Bridgestone Corporation,5108,0.26%
"AEON Co., Ltd.",8267,0.26%
"Daiwa House Industry Co., Ltd.",1925,0.25%
CK Hutchison Holdings Ltd,1,0.25%
"Eisai Co., Ltd.",4523,0.25%
NIPPON PAINT HOLDINGS CO.LTD.,4612,0.25%
"Secom Co., Ltd.",9735,0.25%
"Mitsui Fudosan Co., Ltd.",8801,0.25%
Sysmex Corporation,6869,0.25%
"Mitsubishi Estate Company, Limited",8802,0.25%
Unicharm Corporation,8113,0.24%
FUJIFILM Holdings Corp,4901,0.24%
Sun Hung Kai Properties Limited,16,0.24%
Shimano Inc.,7309,0.23%
Link Real Estate Investment Trust,823,0.23%
Kakao Corp.,035720,0.23%
ORIX Corporation,8591,0.23%
BANDAI NAMCO Holdings Inc.,7832,0.23%
Amcor PLC Shs Chess Depository Interests Repr 1 Sh,AMC,0.22%
"Dai-ichi Life Holdings,Inc.",8750,0.22%
Kyocera Corporation,6971,0.22%
Canon Inc.,7751,0.22%
"Otsuka Holdings Co., Ltd.",4578,0.22%
OMRON Corporation,6645,0.21%
