VSGX: Vanguard ESG International Stock ETF
Inception Date: 2018-09-20
Fund Holdings as of: 2020-11-30
Total Assets Under Management (in thousands):	1585980
Shares Outstanding: 26700000
Expense Ratio: 0.17%
Tracks This Index: FTSE Global All Cap ex US Choice Index.
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VSGX


Holding,Symbol,Weighting
Alibaba Group Holding Ltd. Sponsored ADR,BABA,2.22%
Tencent Holdings Ltd.,700,2.0%
"Taiwan Semiconductor Manufacturing Co., Ltd.",2330,1.94%
Nestle S.A.,NESN,1.48%
"Samsung Electronics Co., Ltd.",005930,1.21%
Roche Holding Ltd,ROG,1.09%
ASML Holding NV,ASML,0.82%
EQUITY OTHER,Other,0.78%
Toyota Motor Corp.,7203,0.78%
Unilever PLC,UNA,0.72%
AstraZeneca PLC,AZN,0.65%
Meituan Class B,3690,0.64%
AIA Group Limited,1299,0.63%
Sony Corporation,6758,0.54%
Royal Bank of Canada,RY,0.54%
"Shopify, Inc. Class A",SHOP,0.52%
Vanguard Cash Management Market Liquidity Fund,Other,0.51%
Sanofi,SAN,0.51%
Novo Nordisk A/S Class B,NOVO.B,0.51%
SoftBank Group Corp.,9984,0.48%
Commonwealth Bank of Australia,CBA,0.48%
CSL Limited,CSL,0.47%
Toronto-Dominion Bank,TD,0.45%
Allianz SE,ALV,0.45%
Keyence Corporation,6861,0.43%
GlaxoSmithKline plc,GSK,0.41%
Naspers Limited Class N,NPN,0.4%
"JD.com, Inc. Sponsored ADR Class A",JD,0.35%
Samsung Electronics Co Ltd Pfd  Non-Voting,005935,0.35%
China Construction Bank Corporation Class H,939,0.34%
Canadian National Railway Company,CNR,0.34%
"Ping An Insurance (Group) Company of China, Ltd. Class H",2318,0.33%
"Daiichi Sankyo Company, Limited",4568,0.32%
Nidec Corporation,6594,0.31%
Hong Kong Exchanges & Clearing Ltd.,388,0.3%
adidas AG,ADS,0.29%
L\'Oreal SA,OR,0.29%
Shin-Etsu Chemical Co Ltd,4063,0.29%
Zurich Insurance Group Ltd,ZURN,0.28%
"Nintendo Co., Ltd.",7974,0.28%
Bayer AG,BAYN,0.27%
Takeda Pharmaceutical Co. Ltd.,4502,0.27%
Bank of Nova Scotia,BNS,0.27%
BNP Paribas SA Class A,BNP,0.26%
"Murata Manufacturing Co., Ltd.",6981,0.26%
"Recruit Holdings Co., Ltd.",6098,0.26%
U.S. Dollar,Other,0.25%
Daimler AG,DAI,0.25%
Westpac Banking Corporation,WBC,0.25%
Housing Development Finance Corporation Limited,500010,0.25%
Infosys Limited,500209,0.25%
National Australia Bank Limited,NAB,0.25%
Kering SA,KER,0.25%
Reckitt Benckiser Group plc,RB,0.25%
Adyen NV,ADYEN,0.24%
Tokyo Electron Ltd.,8035,0.24%
Deutsche Post AG,DPW,0.24%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.24%
NIO Inc. Sponsored ADR Class A,NIO,0.23%
KDDI Corporation,9433,0.23%
Industrial and Commercial Bank of China Limited Class H,1398,0.23%
HOYA CORPORATION,7741,0.23%
Lonza Group AG,LONN,0.22%
UBS Group AG,UBSG,0.22%
Prosus N.V. Class N,PRX,0.22%
Canadian Pacific Railway Limited,CP,0.22%
Banco Santander S.A.,SAN,0.22%
"Honda Motor Co., Ltd.",7267,0.22%
Fanuc Corporation,6954,0.22%
Australia and New Zealand Banking Group Limited,ANZ,0.22%
Koninklijke Philips N.V.,PHIA,0.22%
Vestas Wind Systems A/S,VWS,0.21%
AXA SA,CS,0.21%
Infineon Technologies AG,IFX,0.21%
Bank of Montreal,BMO,0.21%
Atlas Copco AB Class B,ATCO.B,0.21%
SK hynix Inc,000660,0.21%
"M3, Inc.",2413,0.2%
Vodafone Group Plc,VOD,0.2%
RELX PLC,REL,0.2%
EssilorLuxottica SA,EL,0.2%
Xiaomi Corp. Class B,1810,0.2%
"Baidu, Inc. Sponsored ADR Class A",BIDU,0.19%
"Pinduoduo, Inc. Sponsored ADR Class A",PDD,0.19%
Prudential plc,PRU,0.19%
Givaudan SA,GIVN,0.19%
"FAST RETAILING CO., LTD.",9983,0.19%
Wesfarmers Limited,WES,0.18%
National Grid plc,NG,0.18%
ING Groep NV,INGA,0.18%
"Oriental Land Co., Ltd.",4661,0.18%
Telefonaktiebolaget LM Ericsson Class B,ERIC.B,0.18%
Munich Reinsurance Company,MUV2,0.18%
Kao Corp.,4452,0.18%
Danone SA,BN,0.18%
Vonovia SE,VNA,0.18%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.17%
Canadian Imperial Bank of Commerce,CM,0.17%
DBS Group Holdings Ltd,D05,0.17%
"Industria de Diseno Textil, S.A.",ITX,0.17%
SMC Corporation,6273,0.17%
Intesa Sanpaolo S.p.A.,ISP,0.17%
MediaTek Inc,2454,0.17%
London Stock Exchange Group plc,LSE,0.16%
SoftBank Corp.,9434,0.16%
"Tokio Marine Holdings, Inc.",8766,0.16%
LG Chem Ltd.,051910,0.16%
Volvo AB Class B,VOLV.B,0.16%
DSV Panalpina A/S,DSV,0.16%
"Hon Hai Precision Industry Co., Ltd.",2317,0.16%
Macquarie Group Limited,MQG,0.15%
"Chugai Pharmaceutical Co., Ltd.",4519,0.15%
China Mobile Limited,941,0.15%
NAVER Corp.,035420,0.15%
Manulife Financial Corporation,MFC,0.15%
"Mizuho Financial Group, Inc.",8411,0.15%
Compass Group PLC,CPG,0.15%
"Celltrion, Inc.",068270,0.15%
Sberbank Russia PJSC,SBER,0.15%
Fujitsu Limited,6702,0.15%
Lloyds Banking Group plc,LLOY,0.15%
Experian PLC,EXPN,0.15%
Kone Oyj Class B,KNEBV,0.15%
WuXi Biologics (Cayman) Inc. TEMP,2963,0.15%
Credit Suisse Group AG,CSGN,0.14%
Nordea Bank Abp,NDA.FI,0.14%
Nippon Telegraph and Telephone Corporation,9432,0.14%
Amadeus IT Group SA Class A,AMS,0.14%
Tesco PLC,TSCO,0.14%
Ferrari NV,RACE,0.14%
Barclays PLC,BARC,0.14%
Koninklijke DSM N.V.,DSM,0.14%
Deutsche Boerse AG,DB1,0.14%
"Banco Bilbao Vizcaya Argentaria, S.A.",BBVA,0.14%
Nutrien Ltd.,NTR,0.14%
Koninklijke Ahold Delhaize N.V.,AD,0.14%
TAL Education Group Sponsored ADR Class A,TAL,0.13%
STMicroelectronics NV,STM,0.13%
"China Merchants Bank Co., Ltd. Class H",3968,0.13%
"Seven & I Holdings Co., Ltd.",3382,0.13%
Goodman Group,GMG,0.13%
Hermes International SCA,RMS,0.13%
Bank of China Limited Class H,3988,0.13%
CRH Plc,CRH,0.13%
Ferguson Plc,FERG,0.13%
Astellas Pharma Inc.,4503,0.13%
"Waste Connections, Inc.",WCN,0.13%
Terumo Corporation,4543,0.13%
Alimentation Couche-Tard Inc. Class B,ATD.B,0.13%
"Alcon, Inc.",ALC,0.13%
Transurban Group Ltd.,TCL,0.13%
"Shiseido Company,Limited",4911,0.13%
"New Oriental Education & Technology Group, Inc. Sponsored ADR",EDU,0.12%
Suzuki Motor Corp.,7269,0.12%
"Samsung SDI Co., Ltd",006400,0.12%
Merck KGaA,MRK,0.12%
"AEON Co., Ltd.",8267,0.12%
Vivendi SE,VIV,0.12%
"Secom Co., Ltd.",9735,0.12%
Genmab A/S,GMAB,0.12%
Legrand SA,LR,0.12%
Olympus Corp.,7733,0.12%
Hindustan Unilever Limited,500696,0.12%
Franco-Nevada Corporation,FNV,0.12%
Oversea-Chinese Banking Corporation Limited,O39,0.12%
Kubota Corporation,6326,0.12%
Swiss Re AG,SREN,0.12%
Panasonic Corporation,6752,0.12%
Worldline SA,WLN,0.11%
United Overseas Bank Ltd. (Singapore),U11,0.11%
Al Rajhi Bank,1120,0.11%
Orange SA,ORA,0.11%
