VWID: Virtus WMC International Dividend ETF
Inception Date: 2017-10-10
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	5485
Shares Outstanding: 200000
Expense Ratio: %
Tracks This Index: n/a
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Virtus
Structure: 
ETF Home Page: https://etfdb.com/etf/VWID


Holding,Symbol,Weighting
Enbridge Inc.,ENB,1.93%
AXA SA,CS,1.92%
Novartis AG,NOVN,1.87%
PCCW Limited,8,1.87%
Japan Tobacco Inc.,2914,1.84%
SoftBank Corp.,9434,1.79%
Nestle S.A.,NESN,1.76%
HKT Trust and HKT Ltd,6823,1.76%
Imperial Brands PLC,IMB,1.76%
British American Tobacco p.l.c.,BATS,1.75%
Aviva plc,AV,1.71%
Roche Holding Ltd,ROG,1.66%
Enagas SA,ENG,1.65%
BCE Inc.,BCE,1.5%
Fortescue Metals Group Ltd,FMG,1.47%
Telefonica Deutschland Holding AG,O2D,1.47%
BASF SE,BAS,1.39%
Unilever PLC,ULVR,1.38%
"Naturgy Energy Group, S.A.",NTGY,1.31%
Repsol SA,REP,1.3%
Zurich Insurance Group Ltd,ZURN,1.18%
Direct Line Insurance Group Plc,DLG,1.17%
BOC Hong Kong (Holdings) Limited,2388,1.13%
Power Assets Holdings Limited,6,1.12%
Total SE,FP,1.11%
Oracle Corporation Japan,4716,1.1%
Bank of Nova Scotia,BNS,1.08%
GlaxoSmithKline plc,GSK,1.07%
Oversea-Chinese Banking Corporation Limited,O39,1.06%
DBS Group Holdings Ltd,D05,1.05%
Swiss Re AG,SREN,1.01%
Assicurazioni Generali S.p.A.,G,1.01%
Canon Inc.,7751,0.97%
Swisscom AG,SCMN,0.96%
Mitsubishi Corporation,8058,0.94%
Canadian Imperial Bank of Commerce,CM,0.9%
Sanofi,SAN,0.9%
Takeda Pharmaceutical Co. Ltd.,4502,0.84%
TELUS Corporation,T,0.83%
Persimmon Plc,PSN,0.8%
"Nintendo Co., Ltd.",7974,0.79%
Orange SA,ORA,0.77%
Novo Nordisk A/S Class B,NOVO.B,0.75%
Tele2 AB Class B,TEL2.B,0.72%
Royal KPN NV,KPN,0.71%
Nippon Telegraph and Telephone Corporation,9432,0.71%
"Hang Seng Bank, Limited",11,0.68%
AstraZeneca PLC,AZN,0.68%
Deutsche Post AG,DPW,0.67%
NN Group N.V.,NN,0.66%
Proximus SA de droit public,PROX,0.64%
Henderson Land Development Co. Ltd.,12,0.61%
Evraz PLC,EVR,0.61%
Great-West Lifeco Inc.,GWO,0.61%
UPM-Kymmene Oyj,UPM,0.61%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.6%
BP p.l.c.,BP,0.6%
Standard Life Aberdeen PLC,SLA,0.56%
Bayer AG,BAYN,0.56%
National Grid plc,NG,0.56%
Enel SpA,ENEL,0.55%
M&G Plc,MNG,0.54%
Tokyo Electron Ltd.,8035,0.53%
Deutsche Telekom AG,DTE,0.52%
"Sekisui House, Ltd.",1928,0.52%
GALP Energia SGPS SA Class B,GALP,0.52%
Venture Corporation Limited,V03,0.51%
KDDI Corporation,9433,0.51%
Red Electrica Corp. SA,REE,0.5%
Koninklijke Ahold Delhaize N.V.,AD,0.49%
Singapore Telecommunications Limited,Z74,0.48%
Aurizon Holdings Ltd.,AZJ,0.47%
"Mitsui & Co.,Ltd",8031,0.47%
Vodafone Group Plc,VOD,0.46%
Spark New Zealand Limited,SPK,0.46%
"USS Co., Ltd.",4732,0.45%
"Japan Post Bank Co., Ltd.",7182,0.44%
"MS&AD Insurance Group Holdings, Inc.",8725,0.43%
Snam S.p.A.,SRG,0.41%
Endesa S.A.,ELE,0.41%
Sino Land Co. Ltd.,83,0.4%
Ascendas Real Estate Investment Trust,A17U,0.4%
IGM Financial Inc.,IGM,0.39%
J Sainsbury plc,SBRY,0.39%
Legal & General Group Plc,LGEN,0.39%
Banque Cantonale Vaudoise,BCVN,0.38%
Itochu Techno-Solutions Corporation,4739,0.38%
Power Corporation of Canada,POW,0.37%
EMS-CHEMIE HOLDING AG,EMSN,0.37%
U.S. Dollar,Other,0.36%
Admiral Group plc,ADM,0.35%
"OBIC Co., Ltd.",4684,0.34%
EDP-Energias de Portugal SA,EDP,0.34%
HOYA CORPORATION,7741,0.34%
"Mizuho Financial Group, Inc.",8411,0.33%
Fortum Oyj,FORTUM,0.32%
Otsuka Corporation,4768,0.32%
Singapore Technologies Engineering Ltd,S63,0.31%
SAP SE,SAP,0.31%
"ONO Pharmaceutical Co., Ltd.",4528,0.3%
"Chugai Pharmaceutical Co., Ltd.",4519,0.3%
ORIX Corporation,8591,0.3%
Fujitsu Limited,6702,0.3%
Eni S.p.A.,ENI,0.3%
Danone SA,BN,0.3%
Bridgestone Corporation,5108,0.29%
ageas SA/NV,AGS,0.29%
United Overseas Bank Ltd. (Singapore),U11,0.29%
Telenor ASA,TEL,0.29%
CK Infrastructure Holdings Limited,1038,0.28%
Elisa Oyj Class A,ELISA,0.28%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.28%
Orion Oyj Class B,ORNBV,0.27%
"Nomura Research Institute,Ltd.",4307,0.27%
Wesfarmers Limited,WES,0.26%
E.ON SE,EOAN,0.26%
ABB Ltd.,ABBN,0.26%
Itochu Corporation,8001,0.26%
HK Electric Investments & HK Electric Investments Ltd.,2638,0.26%
Telia Company AB,TELIA,0.26%
Trend Micro Incorporated,4704,0.26%
Toronto-Dominion Bank,TD,0.25%
Z Holdings Corporation,4689,0.25%
Coles Group Ltd.,COL,0.25%
"Kirin Holdings Company, Limited",2503,0.24%
Astellas Pharma Inc.,4503,0.24%
Rio Tinto plc,RIO,0.24%
Nutrien Ltd.,NTR,0.24%
Barrick Gold Corporation,ABX,0.22%
SSE plc,SSE,0.22%
EQUITY OTHER,Other,0.21%
Reckitt Benckiser Group plc,RB,0.21%
Royal Bank of Canada,RY,0.21%
CLP Holdings Limited,2,0.2%
Poste Italiane SpA,PST,0.2%
Kone Oyj Class B,KNEBV,0.2%
Coloplast A/S Class B,COLO.B,0.19%
Meridian Energy Limited,MEL,0.19%
TC Energy Corporation,TRP,0.19%
Kyushu Railway Company,9142,0.19%
"ABC-MART, INC.",2670,0.18%
Allianz SE,ALV,0.17%
Evonik Industries AG,EVK,0.17%
Scout24 AG,G24,0.17%
CSL Limited,CSL,0.17%
Porsche Automobil Holding SE Pref,PAH3,0.16%
Siemens Healthineers AG,SHL,0.16%
Uniper SE,UN01,0.16%
Agnico Eagle Mines Limited,AEM,0.16%
Bouygues SA,EN,0.16%
Swiss Life Holding AG,SLHN,0.16%
Tesco PLC,TSCO,0.16%
Lasertec Corp.,6920,0.16%
Singapore Exchange Ltd.,S68,0.16%
Carrefour SA,CA,0.16%
Givaudan SA,GIVN,0.16%
Evolution Mining Limited,EVN,0.16%
SES SA FDR (Class A),SESG,0.15%
"Square Enix Holdings Co., Ltd.",9684,0.15%
"Seven & I Holdings Co., Ltd.",3382,0.15%
WH Group Ltd. (HK),288,0.15%
Seiko Epson Corp.,6724,0.15%
NEC Corp.,6701,0.15%
"Daito Trust Construction Co., Ltd.",1878,0.15%
"Mitsubishi Gas Chemical Company, Inc.",4182,0.14%
Mapletree Logistics Trust,M44U,0.14%
New World Development Co. Ltd.,17,0.14%
Aroundtown SA,AT1,0.14%
SUEZ SA,SEV,0.14%
Nitto Denko Corp.,6988,0.14%
Wheaton Precious Metals Corp,WPM,0.13%
"Eisai Co., Ltd.",4523,0.13%
Iberdrola SA,IBE,0.12%
"GMO Payment Gateway, Inc.",3769,0.12%
BHP Group Ltd,BHP,0.12%
Disco Corporation,6146,0.12%
Hong Kong Exchanges & Clearing Ltd.,388,0.12%
Wm Morrison Supermarkets plc,MRW,0.12%
Wharf Real Estate Investment Co. Ltd.,1997,0.12%
Terna S.p.A.,TRN,0.12%
"SBI Holdings, Inc.",8473,0.11%
Link Real Estate Investment Trust,823,0.11%
AusNet Services Limited,AST,0.11%
"Japan Exchange Group, Inc.",8697,0.1%
Siemens AG,SIE,0.1%
"Kakaku.com, Inc.",2371,0.1%
SCSK Corporation,9719,0.1%
"SG Holdings Co., Ltd.",9143,0.1%
"Otsuka Holdings Co., Ltd.",4578,0.1%
