VXUS: Vanguard Total International Stock ETF
Inception Date: 2011-01-26
Fund Holdings as of: 2020-11-30
Total Assets Under Management (in thousands):	38608500
Shares Outstanding: 638157000
Expense Ratio: 0.09%
Tracks This Index: MSCI All Country World ex USA Investable Market Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VXUS


Holding,Symbol,Weighting
Alibaba Group Holding Ltd,BABA,2.0068%
Tencent Holdings Ltd,700,1.5006%
Taiwan Semiconductor Manufacturing Co Ltd,2330,1.4352%
Nestle SA,NESN,1.2652%
Samsung Electronics Co Ltd,005930,1.0893%
Roche Holding AG,ROG,0.9884%
Novartis AG,NOVN,0.7471%
SAP SE,SAP,0.6618%
Toyota Motor Corp,7203,0.6454%
ASML Holding NV,ASML,0.609%
AstraZeneca PLC,AZN,0.5811%
AIA Group Ltd,1299,0.4898%
LVMH Moet Hennessy Louis Vuitton SE,MC,0.4799%
SoftBank Group Corp,9984,0.4673%
Meituan Dianping,3690,0.4643%
Novo Nordisk A/S,NOVO.B,0.4582%
Shopify Inc,SHOP,0.4506%
Sony Corp,6758,0.4464%
Sanofi SA,SAN,0.4462%
Reliance Industries Ltd,RIL,0.4138%
CSL Ltd,CSL,0.4119%
Royal Bank of Canada,RY,0.4035%
Siemens AG,SIE,0.3878%
GlaxoSmithKline PLC,GSK,0.3733%
Daikin Industries Ltd,6367,0.3638%
Unilever NV,UNA,0.3491%
Toronto-Dominion Bank,TD,0.3306%
Commonwealth Bank of Australia,CBA,0.3287%
British American Tobacco PLC,BATS,0.3258%
Diageo PLC,DGE,0.3195%
Allianz SE,ALV,0.319%
Naspers Ltd,NPN,0.3116%
Total SE,FP,0.3106%
BHP Group Ltd,BHP,0.31%
L'Oreal SA,OR,0.3042%
Canadian National Railway Co,CNR,0.3002%
Ping An Insurance Group Co of China Ltd,2318,0.2948%
Iberdrola SA,IBE,0.293%
HSBC Holdings PLC,HSBA,0.2921%
JD.Com Inc,JD,0.2882%
Enel SpA,ENEL,0.2879%
L'Air Liquide Societe Anonyme pour l'Etude et l'Exploitation des Procedes George,AI,0.2879%
Takeda Pharmaceutical Co Ltd,4502,0.2819%
Schneider Electric SE,SU,0.2819%
Adidas AG,ADS,0.2785%
Mizuho Financial Group Inc,8411,0.2709%
Hong Kong Exchanges and Clearing Ltd,388,0.2664%
Rio Tinto PLC,RIO,0.2614%
Bayer AG,BAYN,0.2573%
Shin-Etsu Chemical Co Ltd,4063,0.2528%
Murata Manufacturing Co Ltd,6981,0.2508%
China Construction Bank Corp,939,0.2479%
Enbridge Inc,ENB,0.2467%
