VYMI: Vanguard International High Dividend Yield Index Fund
Inception Date: 2016-02-25
Fund Holdings as of: 2020-11-30
Total Assets Under Management (in thousands):	1711580
Shares Outstanding: 28054000
Expense Ratio: 0.32%
Tracks This Index: FTSE All-World ex US High Dividend Yield Index
ETFdb.com Category: Foreign Large Cap Equities
Issuer: Vanguard
Structure: ETF
ETF Home Page: https://etfdb.com/etf/VYMI


Holding,Symbol,Weighting
"Taiwan Semiconductor Manufacturing Co., Ltd.",2330,4.14%
Novartis AG,NOVN,2.14%
Toyota Motor Corp.,7203,1.87%
Sanofi,SAN,1.25%
Royal Bank of Canada,RY,1.14%
Siemens AG,SIE,1.1%
GlaxoSmithKline plc,GSK,1.06%
Unilever NV,UNA,1.01%
Toronto-Dominion Bank,TD,0.96%
Total SE,FP,0.95%
British American Tobacco p.l.c.,BATS,0.93%
Commonwealth Bank of Australia,CBA,0.93%
Allianz SE,ALV,0.91%
BHP Group Ltd,BHP,0.87%
Iberdrola SA,IBE,0.84%
Enel SpA,ENEL,0.77%
Unilever PLC,ULVR,0.77%
Schneider Electric SE,SU,0.75%
Rio Tinto plc,RIO,0.75%
U.S. Dollar,Other,0.71%
China Construction Bank Corporation Class H,939,0.7%
Bayer AG,BAYN,0.69%
Enbridge Inc.,ENB,0.68%
BP p.l.c.,BP,0.66%
"Ping An Insurance (Group) Company of China, Ltd. Class H",2318,0.65%
BASF SE,BAS,0.64%
Deutsche Telekom AG,DTE,0.62%
Takeda Pharmaceutical Co. Ltd.,4502,0.62%
Royal Dutch Shell Plc Class A,RDSA,0.59%
Zurich Insurance Group Ltd,ZURN,0.59%
Bank of Nova Scotia,BNS,0.58%
Infosys Limited,500209,0.57%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.57%
ABB Ltd.,ABBN,0.52%
BHP Group Plc,BHP,0.51%
Royal Dutch Shell Plc Class B,RDSB,0.51%
Westpac Banking Corporation,WBC,0.5%
KDDI Corporation,9433,0.49%
Industrial and Commercial Bank of China Limited Class H,1398,0.49%
"NTT DoCoMo, Inc.",9437,0.48%
National Australia Bank Limited,NAB,0.48%
"Honda Motor Co., Ltd.",7267,0.47%
National Grid plc,NG,0.46%
TC Energy Corporation,TRP,0.45%
Danone SA,BN,0.44%
Vonovia SE,VNA,0.44%
UBS Group AG,UBSG,0.43%
Bank of Montreal,BMO,0.43%
"Sumitomo Mitsui Financial Group, Inc.",8316,0.42%
Samsung Electronics Co Ltd Pfd  Non-Voting,005935,0.41%
Wesfarmers Limited,WES,0.41%
Vodafone Group Plc,VOD,0.41%
Munich Reinsurance Company,MUV2,0.41%
Itochu Corporation,8001,0.4%
Vale S.A.,VALE3,0.4%
China Mobile Limited,941,0.39%
Kone Oyj Class B,KNEBV,0.39%
Canadian Imperial Bank of Commerce,CM,0.38%
Woolworths Group Ltd,WOW,0.38%
"Hon Hai Precision Industry Co., Ltd.",2317,0.37%
"Mizuho Financial Group, Inc.",8411,0.36%
Koninklijke Ahold Delhaize N.V.,AD,0.36%
SoftBank Corp.,9434,0.35%
Anglo American plc,AAL,0.34%
Investor AB Class B,INVE.B,0.34%
Sberbank Russia PJSC,SBER,0.34%
Banco Santander S.A.,SAN,0.34%
Volkswagen AG Pref,VOW3,0.33%
"Tokio Marine Holdings, Inc.",8766,0.33%
Volvo AB Class B,VOLV.B,0.33%
"Mitsui & Co.,Ltd",8031,0.33%
Mitsubishi Corporation,8058,0.33%
Macquarie Group Limited,MQG,0.32%
ING Groep NV,INGA,0.32%
Transurban Group Ltd.,TCL,0.32%
Manulife Financial Corporation,MFC,0.31%
DBS Group Holdings Ltd,D05,0.3%
Tesco PLC,TSCO,0.3%
Rio Tinto Limited,RIO,0.29%
Nippon Telegraph and Telephone Corporation,9432,0.29%
Bank of China Limited Class H,3988,0.28%
Nordea Bank Abp,NDA.FI,0.28%
Saudi Arabian Oil Company (Saudi Aramco),2222,0.28%
E.ON SE,EOAN,0.27%
RWE AG,RWE,0.27%
Sun Life Financial Inc.,SLF,0.27%
Bayerische Motoren Werke AG,BMW,0.27%
LafargeHolcim Ltd.,LHN,0.27%
Nutrien Ltd.,NTR,0.26%
Al Rajhi Bank,1120,0.25%
Hyundai Motor Company,005380,0.25%
Japan Tobacco Inc.,2914,0.25%
ENGIE SA.,ENGI,0.25%
Oversea-Chinese Banking Corporation Limited,O39,0.25%
Qatar National Bank QPSC,QNBK,0.25%
Swiss Re AG,SREN,0.24%
Saudi Basic Industries Corp.,2010,0.24%
BAE Systems plc,BA,0.23%
Orange SA,ORA,0.23%
"B3 SA - Brasil, Bolsa, Balcao",B3SA3,0.23%
Komatsu Ltd.,6301,0.23%
Sampo Oyj Class A,SAMPO,0.23%
Fortis Inc.,FTS,0.22%
Eni S.p.A.,ENI,0.22%
