WDIV: SPDR S&P Global Dividend ETF
Inception Date: 2013-05-29
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	195731
Shares Outstanding: 3225000
Expense Ratio: 0.4%
Tracks This Index: S&P Global Dividend Aristocrats Index
ETFdb.com Category: Large Cap Value Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/WDIV


Holding,Symbol,Weighting
Nokian Renkaat Oyj,TYRES,2.34%
Lenovo Group Limited,992,2.18%
Northland Power Inc.,NPI,2.17%
IG Group Holdings plc,IGG,2.12%
EDP-Energias de Portugal SA,EDP,2.09%
Japan Tobacco Inc.,2914,1.99%
Bendigo & Adelaide Bank Ltd.,BEN,1.91%
Janus Henderson Group PLC,JHG,1.91%
Red Electrica Corp. SA,REE,1.8%
Enagas SA,ENG,1.78%
"Hysan Development Co., Ltd.",14,1.71%
UPM-Kymmene Oyj,UPM,1.65%
Universal Corp,UVV,1.62%
Wharf Real Estate Investment Co. Ltd.,1997,1.6%
BCE Inc.,BCE,1.57%
"Compass Minerals International, Inc.",CMP,1.53%
Philip Morris International Inc.,PM,1.53%
TELUS Corporation,T,1.51%
Sino Land Co. Ltd.,83,1.51%
Fortum Oyj,FORTUM,1.5%
Total SE,FP,1.47%
Mercury General Corporation,MCY,1.46%
"SK Telecom Co., Ltd.",017670,1.45%
Commonwealth Bank of Australia,CBA,1.45%
SmartCentres Real Estate Investment Trust,SRU.UT,1.44%
Canadian Imperial Bank of Commerce,CM,1.4%
Svenska Handelsbanken AB Class A,SHB.A,1.4%
Swisscom AG,SCMN,1.39%
Bouygues SA,EN,1.36%
"LTC Properties, Inc.",LTC,1.34%
"National Health Investors, Inc.",NHI,1.34%
New World Development Co. Ltd.,17,1.33%
AT&T Inc.,T,1.33%
Klepierre SA,LI,1.33%
APA Group,APA,1.32%
Emera Incorporated,EMA,1.28%
Mitsubishi Chemical Holdings Corporation,4188,1.28%
International Business Machines Corporation,IBM,1.28%
JM AB,JM,1.27%
KT & G Corporation,033780,1.26%
"Hengan International Group Co., Ltd.",1044,1.25%
Bank of Nova Scotia,BNS,1.24%
AGL Energy Limited,AGL,1.23%
Zurich Insurance Group Ltd,ZURN,1.22%
Legal & General Group Plc,LGEN,1.22%
Keyera Corp.,KEY,1.2%
Singapore Telecommunications Limited,Z74,1.2%
Shaw Communications Inc. Class B,SJR.B,1.2%
Power Assets Holdings Limited,6,1.19%
Brandywine Realty Trust,BDN,1.16%
Canon Inc.,7751,1.15%
Great-West Lifeco Inc.,GWO,1.15%
GlaxoSmithKline plc,GSK,1.15%
PPL Corporation,PPL,1.15%
Power Corporation of Canada,POW,1.12%
"Daito Trust Construction Co., Ltd.",1878,1.12%
CK Infrastructure Holdings Limited,1038,1.11%
Canadian Utilities Limited Class A,CU,1.1%
RioCan Real Estate Investment Trust,REI.UT,1.07%
CNP Assurances SA,CNP,1.06%
ORIX Corporation,8591,1.06%
Oversea-Chinese Banking Corporation Limited,O39,1.06%
Exxon Mobil Corporation,XOM,1.04%
"MS&AD Insurance Group Holdings, Inc.",8725,1.03%
TC Energy Corporation,TRP,1.03%
Bank of Montreal,BMO,1.01%
Umpqua Holdings Corporation,UMPQ,1.0%
Pembina Pipeline Corporation,PPL,1.0%
"Thanachart Capital Public Co., Ltd. NVDR",TCAP.R,0.98%
ageas SA/NV,AGS,0.95%
"Mitsubishi UFJ Financial Group, Inc.",8306,0.95%
"Redwood Trust, Inc.",RWT,0.93%
FirstRand Limited,FSR,0.88%
Ninety One Plc,N91,0.35%
U.S. Dollar,Other,0.17%
State Street Institutional Liquid Reserves Fund,SSIXX,0.07%
