WEBL: Daily Dow Jones Internet Bull 3X Shares
Inception Date: 2019-11-07
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	45260
Shares Outstanding: 700000
Expense Ratio: 1.17%
Tracks This Index: Dow Jones Internet Composite Index (300%)
ETFdb.com Category: Leveraged Equities
Issuer: Direxion
Structure: ETF
ETF Home Page: https://etfdb.com/etf/WEBL


Holding,Symbol,Weighting
Goldman Sachs Trust Financial Square Treasury Instruments Fund Institutional,FTIXX,16.93%
U.S. Dollar,Other,13.33%
"Amazon.com, Inc.",AMZN,6.94%
"Facebook, Inc. Class A",FB,4.84%
PayPal Holdings Inc,PYPL,3.85%
"Netflix, Inc.",NFLX,3.44%
"salesforce.com, inc.",CRM,3.15%
"Cisco Systems, Inc.",CSCO,3.0%
Alphabet Inc. Class A,GOOGL,3.0%
Alphabet Inc. Class C,GOOG,2.9%
"Zoom Video Communications, Inc. Class A",ZM,2.03%
"Twitter, Inc.",TWTR,1.82%
"Snap, Inc. Class A",SNAP,1.78%
"DocuSign, Inc.",DOCU,1.72%
"Workday, Inc. Class A",WDAY,1.68%
"Match Group, Inc.",MTCH,1.67%
Veeva Systems Inc Class A,VEEV,1.65%
eBay Inc.,EBAY,1.56%
"Pinterest, Inc. Class A",PINS,1.54%
"Okta, Inc. Class A",OKTA,1.5%
"Teladoc Health, Inc.",TDOC,1.34%
"Coupa Software, Inc.",COUP,1.32%
"Etsy, Inc.",ETSY,1.31%
"VeriSign, Inc.",VRSN,1.21%
"Expedia Group, Inc.",EXPE,1.19%
"Zillow Group, Inc. Class C",Z,1.14%
"Wayfair, Inc. Class A",W,1.12%
Datadog Inc Class A,DDOG,1.11%
"Akamai Technologies, Inc.",AKAM,1.11%
"Arista Networks, Inc.",ANET,1.07%
"Citrix Systems, Inc.",CTXS,1.04%
"GoDaddy, Inc. Class A",GDDY,0.99%
Ciena Corporation,CIEN,0.83%
"Grubhub, Inc.",GRUB,0.81%
"Juniper Networks, Inc.",JNPR,0.81%
"Smartsheet, Inc. Class A",SMAR,0.8%
"Fastly, Inc. Class A",FSLY,0.74%
"Dropbox, Inc. Class A",DBX,0.74%
"2U, Inc.",TWOU,0.59%
"Cloudera, Inc.",CLDR,0.57%
Vonage Holdings Corp.,VG,0.52%
"Box, Inc. Class A",BOX,0.51%
"CommScope Holding Co., Inc.",COMM,0.51%
"Zillow Group, Inc. Class A",ZG,0.29%
Dreyfus Cash Management Institutional,DICXX,0.0%
