WOOD: iShares Global Timber & Forestry ETF
Inception Date: 2008-06-24
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	300391
Shares Outstanding: 3780000
Expense Ratio: 0.46%
Tracks This Index: S&P Global Timber & Forestry Index
ETFdb.com Category: Materials
Issuer: iShares
Structure: ETF
ETF Home Page: https://etfdb.com/etf/WOOD


Holding,Symbol,Weighting
Svenska Cellulosa Aktiebolaget Class B,SCA.B,8.39%
Weyerhaeuser Company,WY,7.9%
PotlatchDeltic Corporation,PCH,7.33%
Rayonier Inc.,RYN,7.25%
West Fraser Timber Co. Ltd.,WFT,6.82%
Smurfit Kappa Group Plc,SK3,4.22%
Holmen AB Class B,HOLM.B,4.2%
Mondi plc,MNDI,3.95%
Stora Enso Oyj Class R,STERV,3.94%
UPM-Kymmene Oyj,UPM,3.94%
"Sumitomo Forestry Co., Ltd.",1911,3.92%
Suzano S.A.,SUZB3,3.9%
WestRock Company,WRK,3.89%
Oji Holdings Corp.,3861,3.85%
International Paper Company,IP,3.81%
BillerudKorsnas AB,BILL,3.59%
Klabin SA Ctf de Deposito de Acoes Cons of 1 Sh + 4 Pfd Shs,KLBN11,3.56%
Interfor Corporation,IFP,2.72%
Daio Paper Corporation,3880,2.58%
Canfor Corporation,CFP,2.36%
Metsa Board Oyj Class B,METSB,2.07%
Domtar Corporation,UFS,1.89%
Sappi Limited,SAP,1.39%
"Nippon Paper Industries Co., Ltd.",3863,1.29%
"CatchMark Timber Trust, Inc. Class A",CTT,0.99%
U.S. Dollar,Other,0.2%
MUTUAL FUND (OTHER),Other,0.05%
DERIVATIVE SECURITIES (OTHER),Other,0.0%
