XHB: SPDR S&P Homebuilders ETF
Inception Date: 2006-02-06
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	1303160
Shares Outstanding: 22950000
Expense Ratio: 0.35%
Tracks This Index: S&P Homebuilders Select Industry Index
ETFdb.com Category: Building & Construction 
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XHB


Holding,Symbol,Weighting
Lennar Corporation Class A,LEN,4.28%
RH,RH,4.26%
Trane Technologies plc,TT,4.24%
Johnson Controls International plc,JCI,4.18%
"Lowe\'s Companies, Inc.",LOW,4.16%
"PulteGroup, Inc.",PHM,4.16%
Carrier Global Corp.,CARR,4.15%
Masco Corporation,MAS,4.13%
"Home Depot, Inc.",HD,4.1%
"D.R. Horton, Inc.",DHI,4.03%
Whirlpool Corporation,WHR,4.01%
"NVR, Inc.",NVR,3.99%
"Williams-Sonoma, Inc.",WSM,3.96%
Allegion PLC,ALLE,3.83%
"Fortune Brands Home & Security, Inc.",FBHS,3.71%
"Floor & Decor Holdings, Inc. Class A",FND,3.4%
"Toll Brothers, Inc.",TOL,3.37%
Lennox International Inc.,LII,3.12%
Owens Corning,OC,3.05%
"Mohawk Industries, Inc.",MHK,2.87%
Tempur Sealy International Inc,TPX,2.75%
"Trex Company, Inc.",TREX,2.72%
TopBuild Corp.,BLD,2.5%
A. O. Smith Corporation,AOS,2.46%
"Leggett & Platt, Incorporated",LEG,2.01%
Helen of Troy Limited,HELE,1.94%
TRI Pointe Group Inc,TPH,1.34%
"LGI Homes, Inc.",LGIH,1.32%
Taylor Morrison Home Corporation,TMHC,1.3%
"Installed Building Products, Inc.",IBP,1.24%
"M.D.C. Holdings, Inc.",MDC,1.18%
"Century Communities, Inc.",CCS,0.65%
"M/I Homes, Inc.",MHO,0.56%
Skyline Champion Corp.,SKY,0.52%
"Cavco Industries, Inc.",CVCO,0.44%
State Street Institutional Liquid Reserves Fund,SSIXX,0.07%
