XHS: SPDR S&P Health Care Services ETF
Inception Date: 2011-09-28
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	136609
Shares Outstanding: 1410000
Expense Ratio: 0.35%
Tracks This Index: S&P Health Care Services Select Industry Index
ETFdb.com Category: Health & Biotech Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XHS


Holding,Symbol,Weighting
"BioTelemetry, Inc.",BEAT,2.43%
"Fulgent Genetics, Inc.",FLGT,2.39%
"1Life Healthcare, Inc.",ONEM,2.23%
Chemed Corporation,CHE,2.19%
"Magellan Health, Inc.",MGLN,2.17%
R1 RCM Inc,RCM,2.17%
"Molina Healthcare, Inc.",MOH,2.17%
DaVita Inc.,DVA,2.16%
"Progyny, Inc.",PGNY,2.16%
"Acadia Healthcare Company, Inc.",ACHC,2.16%
"Covetrus, Inc.",CVET,2.15%
"Amedisys, Inc.",AMED,2.15%
HealthEquity Inc,HQY,2.14%
Humana Inc.,HUM,2.12%
"LHC Group, Inc.",LHCG,2.11%
"Ensign Group, Inc.",ENSG,2.1%
"Owens & Minor, Inc.",OMI,2.1%
"MEDNAX, Inc.",MD,2.1%
UnitedHealth Group Incorporated,UNH,2.09%
HCA Healthcare Inc,HCA,2.09%
"Guardant Health, Inc.",GH,2.06%
Centene Corporation,CNC,2.06%
Addus HomeCare Corporation,ADUS,2.06%
"Anthem, Inc.",ANTM,2.06%
"Universal Health Services, Inc. Class B",UHS,2.06%
"AMN Healthcare Services, Inc.",AMN,2.04%
Laboratory Corporation of America Holdings,LH,2.02%
Select Medical Holdings Corporation,SEM,2.01%
McKesson Corporation,MCK,2.01%
Quest Diagnostics Incorporated,DGX,2.0%
Providence Service Corporation,PRSC,1.99%
Premier Inc. Class A,PINC,1.99%
AmerisourceBergen Corporation,ABC,1.98%
Cigna Corporation,CI,1.98%
CVS Health Corporation,CVS,1.97%
Encompass Health Corporation,EHC,1.96%
"Cardinal Health, Inc.",CAH,1.96%
Tenet Healthcare Corporation,THC,1.91%
"Henry Schein, Inc.",HSIC,1.91%
"PetIQ, Inc. Class A",PETQ,1.88%
"Patterson Companies, Inc.",PDCO,1.86%
"Castle Biosciences, Inc.",CSTL,1.75%
AdaptHealth Corp. Class A,AHCO,1.75%
"Surgery Partners, Inc.",SGRY,1.59%
"U.S. Physical Therapy, Inc.",USPH,1.43%
"Tivity Health, Inc.",TVTY,1.39%
"Community Health Systems, Inc.",CYH,1.18%
Option Care Health Inc,OPCH,1.17%
Pennant Group Inc,PNTG,1.03%
Brookdale Senior Living Inc.,BKD,1.01%
CorVel Corporation,CRVL,0.68%
"RadNet, Inc.",RDNT,0.59%
"Hanger, Inc.",HNGR,0.46%
National HealthCare Corporation,NHC,0.37%
Triple-S Management Corporation Class B,GTS,0.32%
State Street Institutional Liquid Reserves Fund,SSIXX,0.14%
