XITK: SPDR FactSet Innovative Technology ETF
Inception Date: 2016-01-13
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	409683
Shares Outstanding: 1930000
Expense Ratio: 0.45%
Tracks This Index: FactSet Innovative Technology Index
ETFdb.com Category: All Cap Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XITK


Holding,Symbol,Weighting
"FireEye, Inc.",FEYE,1.52%
"Tenable Holdings, Inc.",TENB,1.35%
CyberArk Software Ltd.,CYBR,1.35%
"RealPage, Inc.",RP,1.23%
"Bilibili, Inc. Sponsored ADR Class Z",BILI,1.2%
"ACM Research, Inc. Class A",ACMR,1.2%
Rapid7 Inc.,RPD,1.19%
"Qualys, Inc.",QLYS,1.17%
"Digital Turbine, Inc.",APPS,1.16%
"Varonis Systems, Inc.",VRNS,1.15%
"2U, Inc.",TWOU,1.12%
"Mitek Systems, Inc.",MITK,1.12%
"CrowdStrike Holdings, Inc. Class A",CRWD,1.1%
"CarGurus, Inc. Class A",CARG,1.09%
Mimecast Limited,MIME,1.09%
"Cloudera, Inc.",CLDR,1.09%
"Everbridge, Inc.",EVBG,1.09%
Zynga Inc. Class A,ZNGA,1.08%
"Proofpoint, Inc.",PFPT,1.08%
Quotient Technology Incorporated,QUOT,1.07%
"Gravity Co., Ltd. Sponsored ADR",GRVY,1.06%
"EverQuote, Inc. Class A",EVER,1.06%
Infinera Corporation,INFN,1.05%
ANGI Homeservices Inc Class A,ANGI,1.05%
"ZoomInfo Technologies, Inc. Class A",ZI,1.05%
"Cohu, Inc.",COHU,1.04%
Check Point Software Technologies Ltd.,CHKP,1.04%
"Zscaler, Inc.",ZS,1.04%
"SolarEdge Technologies, Inc.",SEDG,1.03%
"Health Catalyst, Inc.",HCAT,1.03%
Splunk Inc.,SPLK,1.03%
"Yext, Inc.",YEXT,1.02%
"Upland Software, Inc.",UPLD,1.02%
"Twitter, Inc.",TWTR,1.02%
"Pure Storage, Inc. Class A",PSTG,1.02%
Momo Inc Sponsored ADR Class A,MOMO,1.01%
AppFolio Inc Class A,APPF,1.01%
"Coupa Software, Inc.",COUP,1.01%
Tencent Music Entertainment Group Sponsored ADR Class A,TME,1.0%
Talend SA Sponsored ADR,TLND,1.0%
"Netflix, Inc.",NFLX,1.0%
"Workday, Inc. Class A",WDAY,1.0%
Veeva Systems Inc Class A,VEEV,1.0%
"Zillow Group, Inc. Class C",Z,1.0%
Weibo Corp Sponsored ADR Class A,WB,0.99%
"Arista Networks, Inc.",ANET,0.99%
"Asana, Inc. Class A",ASAN,0.99%
"HUYA, Inc. Sponsored ADR Class A",HUYA,0.98%
Sea Ltd. (Singapore) Sponsored ADR Class A,SE,0.98%
Yelp Inc,YELP,0.98%
"Square, Inc. Class A",SQ,0.98%
"Shopify, Inc. Class A",SHOP,0.98%
"BlackLine, Inc.",BL,0.97%
"Paycom Software, Inc.",PAYC,0.97%
"Autohome, Inc. Sponsored ADR Class A",ATHM,0.96%
"Slack Technologies, Inc. Class A",WORK,0.96%
Atlassian Corp. Plc Class A,TEAM,0.96%
"Sumo Logic, Inc.",SUMO,0.96%
"SS&C Technologies Holdings, Inc.",SSNC,0.96%
"Anaplan, Inc.",PLAN,0.96%
Elastic NV,ESTC,0.96%
"Okta, Inc. Class A",OKTA,0.96%
Yandex NV Class A,YNDX,0.96%
"LendingTree, Inc.",TREE,0.96%
"Facebook, Inc. Class A",FB,0.95%
Avalara Inc,AVLR,0.95%
"DocuSign, Inc.",DOCU,0.95%
"Dropbox, Inc. Class A",DBX,0.95%
Fiverr International Ltd.,FVRR,0.95%
DouYu International Holdings Ltd. Sponsored ADR,DOYU,0.94%
51job Inc Sponsored ADR,JOBS,0.94%
"GoodRx Holdings, Inc. Class A",GDRX,0.94%
Glu Mobile Inc.,GLUU,0.94%
"Twilio, Inc. Class A",TWLO,0.94%
Universal Display Corporation,OLED,0.94%
Teradata Corporation,TDC,0.93%
Liberty Broadband Corp. Class C,LBRDK,0.93%
Wix.com Ltd.,WIX,0.92%
"Pinterest, Inc. Class A",PINS,0.92%
Alphabet Inc. Class A,GOOGL,0.92%
"Bill.com Holdings, Inc.",BILL,0.92%
"Roku, Inc. Class A",ROKU,0.92%
SINA Corp.,SINA,0.92%
"PagerDuty, Inc.",PD,0.92%
Appian Corporation Class A,APPN,0.91%
"Alteryx, Inc. Class A",AYX,0.91%
"Smartsheet, Inc. Class A",SMAR,0.91%
"J2 Global, Inc.",JCOM,0.91%
"So-Young International, Inc. Sponsored ADR Class A",SY,0.9%
"Snap, Inc. Class A",SNAP,0.9%
"JOYY, Inc. Sponsored ADR Class A",YY,0.89%
Datadog Inc Class A,DDOG,0.89%
Kingsoft Cloud Holdings Ltd Sponsored ADR,KC,0.88%
Spotify Technology SA,SPOT,0.88%
"Zoom Video Communications, Inc. Class A",ZM,0.87%
JFrog Ltd.,FROG,0.85%
"Agora, Inc. Sponsored ADR Class A",API,0.81%
"Trade Desk, Inc. Class A",TTD,0.81%
"iQIYI, Inc. Sponsored ADR Class A",IQ,0.77%
"Snowflake, Inc. Class A",SNOW,0.75%
State Street Institutional Liquid Reserves Fund,SSIXX,0.01%
