XLE: Energy Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2020-12-31
Total Assets Under Management (in thousands):	13811500
Shares Outstanding: 363874000
Expense Ratio: 0.13%
Tracks This Index: Energy Select Sector Index
ETFdb.com Category: Energy Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLE


Holding,Symbol,Weighting
Exxon Mobil Corporation,XOM,23.1%
Chevron Corporation,CVX,22.42%
Phillips 66,PSX,4.44%
Schlumberger NV,SLB,4.42%
ConocoPhillips,COP,4.42%
"EOG Resources, Inc.",EOG,4.23%
Marathon Petroleum Corporation,MPC,3.91%
Kinder Morgan Inc Class P,KMI,3.87%
"Williams Companies, Inc.",WMB,3.54%
Valero Energy Corporation,VLO,3.36%
Pioneer Natural Resources Company,PXD,2.72%
"ONEOK, Inc.",OKE,2.48%
Halliburton Company,HAL,2.43%
Occidental Petroleum Corporation,OXY,2.11%
Hess Corporation,HES,2.1%
Baker Hughes Company Class A,BKR,2.08%
Concho Resources Inc.,CXO,1.67%
"Diamondback Energy, Inc.",FANG,1.11%
Cabot Oil & Gas Corporation,COG,0.94%
Devon Energy Corporation,DVN,0.88%
Apache Corporation,APA,0.78%
NOV Inc.,NOV,0.78%
Marathon Oil Corporation,MRO,0.77%
TechnipFMC Plc,FTI,0.58%
HollyFrontier Corporation,HFC,0.56%
State Street Institutional Liquid Reserves Fund,SSIXX,0.26%
U.S. Dollar,Other,0.05%
