XLF: Financial Select Sector SPDR Fund
Inception Date: 1998-12-16
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	24766700
Shares Outstanding: 851695000
Expense Ratio: 0.13%
Tracks This Index: Financial Select Sector Index
ETFdb.com Category: Financials Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XLF


Holding,Symbol,Weighting
Berkshire Hathaway Inc. Class B,BRK.B,13.62%
JPMorgan Chase & Co.,JPM,11.75%
Bank of America Corp,BAC,7.0%
Citigroup Inc.,C,3.83%
Wells Fargo & Company,WFC,3.76%
"BlackRock, Inc.",BLK,3.09%
Morgan Stanley,MS,2.99%
"Goldman Sachs Group, Inc.",GS,2.79%
"S&P Global, Inc.",SPGI,2.46%
Charles Schwab Corporation,SCHW,2.41%
American Express Company,AXP,2.36%
Chubb Limited,CB,2.07%
CME Group Inc. Class A,CME,1.97%
Truist Financial Corporation,TFC,1.95%
"Intercontinental Exchange, Inc.",ICE,1.95%
"PNC Financial Services Group, Inc.",PNC,1.94%
U.S. Bancorp,USB,1.94%
"Marsh & McLennan Companies, Inc.",MMC,1.76%
Progressive Corporation,PGR,1.74%
Moody\'s Corporation,MCO,1.44%
Aon Plc Class A,AON,1.43%
Capital One Financial Corporation,COF,1.37%
MSCI Inc. Class A,MSCI,1.11%
"MetLife, Inc.",MET,1.08%
"Travelers Companies, Inc.",TRV,1.05%
Bank of New York Mellon Corporation,BK,1.04%
T. Rowe Price Group,TROW,1.02%
Allstate Corporation,ALL,1.01%
"American International Group, Inc.",AIG,0.98%
"Prudential Financial, Inc.",PRU,0.93%
Aflac Incorporated,AFL,0.86%
Discover Financial Services,DFS,0.84%
Willis Towers Watson Public Limited Company,WLTW,0.8%
First Republic Bank,FRC,0.78%
State Street Corporation,STT,0.78%
Arthur J. Gallagher & Co.,AJG,0.71%
"Ameriprise Financial, Inc.",AMP,0.68%
MarketAxess Holdings Inc.,MKTX,0.65%
SVB Financial Group,SIVB,0.61%
Fifth Third Bancorp,FITB,0.59%
Northern Trust Corporation,NTRS,0.59%
Synchrony Financial,SYF,0.57%
"Hartford Financial Services Group, Inc.",HIG,0.53%
M&T Bank Corporation,MTB,0.5%
KeyCorp,KEY,0.49%
Regions Financial Corporation,RF,0.47%
"Citizens Financial Group, Inc.",CFG,0.46%
"Nasdaq, Inc.",NDAQ,0.46%
Huntington Bancshares Incorporated,HBAN,0.39%
Cincinnati Financial Corporation,CINF,0.39%
"Principal Financial Group, Inc.",PFG,0.38%
"Raymond James Financial, Inc.",RJF,0.35%
Loews Corporation,L,0.32%
Cboe Global Markets Inc,CBOE,0.31%
"Everest Re Group, Ltd.",RE,0.28%
W. R. Berkley Corporation,WRB,0.28%
Lincoln National Corporation,LNC,0.27%
Globe Life Inc.,GL,0.27%
"Assurant, Inc.",AIZ,0.24%
Comerica Incorporated,CMA,0.24%
"Zions Bancorporation, N.A.",ZION,0.22%
Invesco Ltd.,IVZ,0.2%
"Franklin Resources, Inc.",BEN,0.2%
"People\'s United Financial, Inc.",PBCT,0.17%
Unum Group,UNM,0.14%
State Street Institutional Liquid Reserves Fund,SSIXX,0.13%
