XMMO: Invesco S&P MidCap Momentum ETF
Inception Date: 2005-03-03
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	842765
Shares Outstanding: 10910000
Expense Ratio: 0.39%
Tracks This Index: S&P MidCap 400 Index
ETFdb.com Category: Mid Cap Growth Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XMMO


Holding,Symbol,Weighting
"SolarEdge Technologies, Inc.",SEDG,4.29%
"Enphase Energy, Inc.",ENPH,4.23%
Generac Holdings Inc.,GNRC,3.87%
"Monolithic Power Systems, Inc.",MPWR,3.36%
Masimo Corporation,MASI,2.53%
"Boston Beer Company, Inc. Class A",SAM,2.38%
Cognex Corporation,CGNX,2.37%
"Cable One, Inc.",CABO,2.22%
"Charles River Laboratories International, Inc.",CRL,2.2%
Quidel Corporation,QDEL,2.06%
"Ceridian HCM Holding, Inc.",CDAY,2.03%
"Amedisys, Inc.",AMED,2.03%
Bio-Techne Corporation,TECH,1.99%
"Molina Healthcare, Inc.",MOH,1.93%
Repligen Corporation,RGEN,1.92%
"Trex Company, Inc.",TREX,1.85%
Sunrun Inc.,RUN,1.73%
Fair Isaac Corporation,FICO,1.72%
PTC Inc.,PTC,1.66%
FactSet Research Systems Inc.,FDS,1.65%
"Watsco, Inc.",WSO,1.64%
Nordson Corporation,NDSN,1.62%
"Brown & Brown, Inc.",BRO,1.6%
"Penn National Gaming, Inc.",PENN,1.52%
"CyrusOne, Inc.",CONE,1.48%
RH,RH,1.47%
RPM International Inc.,RPM,1.46%
"Lumentum Holdings, Inc.",LITE,1.44%
Darling Ingredients Inc.,DAR,1.37%
Scotts Miracle-Gro Company Class A,SMG,1.33%
"MKS Instruments, Inc.",MKSI,1.33%
United Therapeutics Corporation,UTHR,1.25%
"LHC Group, Inc.",LHCG,1.25%
"Lithia Motors, Inc. Class A",LAD,1.25%
"Medical Properties Trust, Inc.",MPW,1.23%
Emergent BioSolutions Inc.,EBS,1.22%
Ciena Corporation,CIEN,1.1%
"BJ\'s Wholesale Club Holdings, Inc.",BJ,1.09%
"Thor Industries, Inc.",THO,1.09%
Deckers Outdoor Corporation,DECK,1.09%
Chemed Corporation,CHE,1.08%
"Williams-Sonoma, Inc.",WSM,1.03%
New York Times Company Class A,NYT,1.02%
"Arrowhead Pharmaceuticals, Inc.",ARWR,1.01%
TopBuild Corp.,BLD,0.99%
"CoreLogic, Inc.",CLGX,0.96%
II-VI Incorporated,IIVI,0.94%
Paylocity Holding Corp.,PCTY,0.91%
Synaptics Incorporated,SYNA,0.9%
"Penumbra, Inc.",PEN,0.88%
"Royal Gold, Inc.",RGLD,0.83%
"Stericycle, Inc.",SRCL,0.82%
Brunswick Corporation,BC,0.81%
CoreSite Realty Corporation,COR,0.78%
"Papa John\'s International, Inc.",PZZA,0.78%
Axon Enterprise Inc,AAXN,0.76%
"Qualys, Inc.",QLYS,0.73%
Helen of Troy Limited,HELE,0.71%
"Hain Celestial Group, Inc.",HAIN,0.69%
"Cirrus Logic, Inc.",CRUS,0.69%
Knight-Swift Transportation Holdings Inc. Class A,KNX,0.66%
"Tetra Tech, Inc.",TTEK,0.62%
"First Industrial Realty Trust, Inc.",FR,0.59%
"Murphy USA, Inc.",MUSA,0.59%
"Builders FirstSource, Inc.",BLDR,0.56%
"MSA Safety, Inc.",MSA,0.53%
Silgan Holdings Inc.,SLGN,0.51%
"EastGroup Properties, Inc.",EGP,0.51%
"Sprouts Farmers Markets, Inc.",SFM,0.46%
"Syneos Health, Inc. Class A",SYNH,0.46%
"FTI Consulting, Inc.",FCN,0.43%
SYNNEX Corporation,SNX,0.4%
"Patterson Companies, Inc.",PDCO,0.39%
"Werner Enterprises, Inc.",WERN,0.37%
KB Home,KBH,0.3%
TRI Pointe Group Inc,TPH,0.22%
Ligand Pharmaceuticals Incorporated,LGND,0.19%
MUTUAL FUND (OTHER),Other,0.02%
