XSD: SPDR S&P Semiconductor ETF
Inception Date: 2006-02-06
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	929586
Shares Outstanding: 5475000
Expense Ratio: 0.35%
Tracks This Index: S&P Semiconductor Select Industry
ETFdb.com Category: Technology Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XSD


Holding,Symbol,Weighting
Synaptics Incorporated,SYNA,3.39%
"Monolithic Power Systems, Inc.",MPWR,3.26%
SunPower Corporation,SPWR,3.23%
"First Solar, Inc.",FSLR,3.21%
"Cree, Inc.",CREE,3.16%
"Power Integrations, Inc.",POWI,3.1%
"MACOM Technology Solutions Holdings, Inc.",MTSI,3.02%
"Skyworks Solutions, Inc.",SWKS,2.97%
Inphi Corporation,IPHI,2.97%
Marvell Technology Group Ltd.,MRVL,2.96%
"Qorvo, Inc.",QRVO,2.96%
"Cirrus Logic, Inc.",CRUS,2.96%
Lattice Semiconductor Corporation,LSCC,2.93%
ON Semiconductor Corporation,ON,2.92%
Silicon Laboratories Inc.,SLAB,2.89%
"Micron Technology, Inc.",MU,2.88%
Broadcom Inc.,AVGO,2.87%
"Maxim Integrated Products, Inc.",MXIM,2.85%
"Analog Devices, Inc.",ADI,2.84%
NXP Semiconductors NV,NXPI,2.83%
"Ambarella, Inc.",AMBA,2.83%
Qualcomm Inc,QCOM,2.82%
Semtech Corporation,SMTC,2.79%
Texas Instruments Incorporated,TXN,2.77%
NVIDIA Corporation,NVDA,2.76%
"Advanced Micro Devices, Inc.",AMD,2.76%
Intel Corporation,INTC,2.74%
Diodes Incorporated,DIOD,2.74%
"Xilinx, Inc.",XLNX,2.72%
Universal Display Corporation,OLED,2.68%
Microchip Technology Incorporated,MCHP,2.68%
MaxLinear inc,MXL,2.44%
SiTime Corporation,SITM,2.1%
Rambus Inc.,RMBS,1.46%
"Impinj, Inc.",PI,1.15%
"CEVA, Inc.",CEVA,0.97%
"SMART Global Holdings, Inc.",SGH,0.9%
"DSP Group, Inc.",DSPG,0.33%
State Street Institutional Liquid Reserves Fund,SSIXX,0.14%
