XSHQ: Invesco S&P SmallCap Quality ETF
Inception Date: 2017-04-06
Fund Holdings as of: 2021-01-05
Total Assets Under Management (in thousands):	26006
Shares Outstanding: 820000
Expense Ratio: 0.29%
Tracks This Index:  S&P SmallCap 600 Quality Index
ETFdb.com Category: Small Cap Growth Equities
Issuer: Invesco
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XSHQ


Holding,Symbol,Weighting
"Exponent, Inc.",EXPO,2.43%
MicroStrategy Incorporated Class A,MSTR,2.36%
"SPS Commerce, Inc.",SPSC,2.12%
"Proto Labs, Inc.",PRLB,1.98%
Stamps.com Inc.,STMP,1.86%
Green Dot Corporation Class A,GDOT,1.83%
WD-40 Company,WDFC,1.8%
"UFP Industries, Inc.",UFPI,1.76%
Meritage Homes Corporation,MTH,1.68%
"Watts Water Technologies, Inc. Class A",WTS,1.66%
"FormFactor, Inc.",FORM,1.62%
"Community Bank System, Inc.",CBU,1.62%
UniFirst Corporation,UNF,1.6%
"AAON, Inc.",AAON,1.53%
Diodes Incorporated,DIOD,1.49%
Fabrinet,FN,1.48%
ESCO Technologies Inc.,ESE,1.47%
"Badger Meter, Inc.",BMI,1.45%
"Pacific Premier Bancorp, Inc.",PPBI,1.45%
Rogers Corporation,ROG,1.42%
"Gibraltar Industries, Inc.",ROCK,1.38%
"Franklin Electric Co., Inc.",FELE,1.35%
"Arcosa, Inc.",ACA,1.33%
"Helmerich & Payne, Inc.",HP,1.31%
CVB Financial Corp.,CVBF,1.3%
American Equity Investment Life Holding Company,AEL,1.29%
"United Community Banks, Inc.",UCBI,1.27%
Stepan Company,SCL,1.26%
Assured Guaranty Ltd.,AGO,1.23%
Brady Corporation Class A,BRC,1.22%
"Dorman Products, Inc.",DORM,1.22%
Plexus Corp.,PLXS,1.17%
"Axos Financial, Inc.",AX,1.17%
iRobot Corporation,IRBT,1.17%
Xperi Holding Corporation,XPER,1.12%
Sanmina Corporation,SANM,1.1%
Innospec Inc.,IOSP,1.08%
Gentherm Incorporated,THRM,1.07%
Barnes Group Inc.,B,1.06%
"Mueller Industries, Inc.",MLI,1.06%
"Magellan Health, Inc.",MGLN,1.05%
"AeroVironment, Inc.",AVAV,1.05%
J & J Snack Foods Corp.,JJSF,1.05%
Albany International Corp. Class A,AIN,1.05%
Providence Service Corporation,PRSC,0.96%
Boise Cascade Co.,BCC,0.94%
"Hub Group, Inc. Class A",HUBG,0.93%
Kaman Corporation Class A,KAMN,0.9%
"Meta Financial Group, Inc.",CASH,0.83%
Vista Outdoor Inc,VSTO,0.83%
"Cavco Industries, Inc.",CVCO,0.77%
Seacoast Banking Corporation of Florida,SBCF,0.76%
Park National Corporation,PRK,0.74%
"Cal-Maine Foods, Inc.",CALM,0.73%
Banner Corporation,BANR,0.73%
"LTC Properties, Inc.",LTC,0.7%
"Virtus Investment Partners, Inc.",VRTS,0.69%
"TTM Technologies, Inc.",TTMI,0.69%
"Astec Industries, Inc.",ASTE,0.67%
"Methode Electronics, Inc.",MEI,0.67%
NBT Bancorp Inc.,NBTB,0.67%
"Sturm, Ruger & Company, Inc.",RGR,0.66%
"Ultra Clean Holdings, Inc.",UCTT,0.66%
"USANA Health Sciences, Inc.",USNA,0.65%
"Hope Bancorp, Inc.",HOPE,0.65%
"FARO Technologies, Inc.",FARO,0.61%
National Beverage Corp.,FIZZ,0.6%
Encore Wire Corporation,WIRE,0.59%
AZZ Inc.,AZZ,0.59%
"AMERISAFE, Inc.",AMSF,0.59%
Kite Realty Group Trust,KRG,0.59%
Stewart Information Services Corporation,STC,0.57%
First Commonwealth Financial Corporation,FCF,0.57%
OFG Bancorp,OFG,0.57%
Office Properties Income Trust,OPI,0.55%
"Waddell & Reed Financial, Inc. Class A",WDR,0.55%
City Holding Company,CHCO,0.54%
"Warrior Met Coal, Inc.",HCC,0.52%
"MarineMax, Inc.",HZO,0.51%
"Inter Parfums, Inc.",IPAR,0.51%
National Bank Holdings Corporation Class A,NBHC,0.51%
"QuinStreet, Inc.",QNST,0.49%
Third Point Reinsurance Ltd.,TPRE,0.49%
Tompkins Financial Corporation,TMP,0.49%
"Marten Transport, Ltd.",MRTN,0.49%
"Boston Private Financial Holdings, Inc.",BPFH,0.47%
"PetMed Express, Inc.",PETS,0.47%
"Innoviva, Inc.",INVA,0.46%
"HomeStreet, Inc.",HMST,0.43%
"Employers Holdings, Inc.",EIG,0.43%
Heritage Financial Corporation,HFWA,0.42%
Perdoceo Education Corporation,PRDO,0.41%
Universal Electronics Inc.,UEIC,0.39%
"Myers Industries, Inc.",MYE,0.38%
"John B. Sanfilippo & Son, Inc.",JBSS,0.38%
Quanex Building Products Corporation,NX,0.38%
"Agilysys, Inc.",AGYS,0.38%
"Enanta Pharmaceuticals, Inc.",ENTA,0.37%
Preferred Bank,PFBC,0.37%
"Allegiance Bancshares, Inc.",ABTX,0.36%
Natus Medical Incorporated,NTUS,0.35%
"Anika Therapeutics, Inc.",ANIK,0.32%
"Eagle Pharmaceuticals, Inc.",EGRX,0.32%
"ADTRAN, Inc.",ADTN,0.32%
"Hawkins, Inc.",HWKN,0.25%
"National Presto Industries, Inc.",NPK,0.24%
"Insteel Industries, Inc.",IIIN,0.24%
"American Public Education, Inc.",APEI,0.24%
"QEP Resources, Inc.",QEP,0.23%
"Universal Insurance Holdings, Inc.",UVE,0.21%
"HCI Group, Inc.",HCI,0.2%
FutureFuel Corp.,FF,0.18%
"Computer Programs and Systems, Inc.",CPSI,0.17%
"Powell Industries, Inc.",POWL,0.16%
Seneca Foods Corporation Class A,SENEA,0.14%
"Haynes International, Inc.",HAYN,0.13%
"Unifi, Inc.",UFI,0.13%
MUTUAL FUND (OTHER),Other,0.1%
"Daktronics, Inc.",DAKT,0.09%
"Olympic Steel, Inc.",ZEUS,0.06%
United Insurance Holdings Corp.,UIHC,0.06%
