XSW: SPDR S&P Software & Services ETF
Inception Date: 2011-09-28
Fund Holdings as of: 2021-01-04
Total Assets Under Management (in thousands):	354840
Shares Outstanding: 2350000
Expense Ratio: 0.35%
Tracks This Index: S&P Software & Services Select Industry Index
ETFdb.com Category: Technology Equities
Issuer: State Street SPDR
Structure: ETF
ETF Home Page: https://etfdb.com/etf/XSW


Holding,Symbol,Weighting
Riot Blockchain Inc,RIOT,1.02%
"FireEye, Inc.",FEYE,0.85%
MicroStrategy Incorporated Class A,MSTR,0.8%
"Tenable Holdings, Inc.",TENB,0.75%
"Domo, Inc. Class B",DOMO,0.71%
"Alarm.com Holdings, Inc.",ALRM,0.69%
"RealPage, Inc.",RP,0.69%
"Vertex, Inc. Class A",VERX,0.67%
Rapid7 Inc.,RPD,0.67%
"Qualys, Inc.",QLYS,0.66%
"A10 Networks, Inc.",ATEN,0.65%
"Digital Turbine, Inc.",APPS,0.65%
"Varonis Systems, Inc.",VRNS,0.64%
"Workiva, Inc. Class A",WK,0.62%
"SPS Commerce, Inc.",SPSC,0.62%
"Shift4 Payments, Inc. Class A",FOUR,0.62%
Repay Holdings Corp. Class A,RPAY,0.62%
"2U, Inc.",TWOU,0.62%
"Mitek Systems, Inc.",MITK,0.62%
"Cadence Design Systems, Inc.",CDNS,0.62%
Unisys Corporation,UIS,0.61%
"Fortinet, Inc.",FTNT,0.61%
Mimecast Limited,MIME,0.61%
"Cloudera, Inc.",CLDR,0.61%
Zynga Inc. Class A,ZNGA,0.61%
"Everbridge, Inc.",EVBG,0.61%
"SVMK, Inc.",SVMK,0.61%
Cerence Inc.,CRNC,0.61%
"CrowdStrike Holdings, Inc. Class A",CRWD,0.61%
"Palo Alto Networks, Inc.",PANW,0.61%
"i3 Verticals, Inc. Class A",IIIV,0.6%
Verint Systems Inc.,VRNT,0.6%
"Zuora, Inc. Class A",ZUO,0.6%
"Proofpoint, Inc.",PFPT,0.6%
ManTech International Corporation Class A,MANT,0.59%
Zix Corporation,ZIXI,0.59%
DXC Technology Co.,DXC,0.58%
"Synopsys, Inc.",SNPS,0.58%
"Model N, Inc.",MODN,0.58%
"Pluralsight, Inc. Class A",PS,0.58%
"Activision Blizzard, Inc.",ATVI,0.58%
Global Payments Inc.,GPN,0.58%
Mastercard Incorporated Class A,MA,0.58%
"RingCentral, Inc. Class A",RNG,0.58%
"EPAM Systems, Inc.",EPAM,0.58%
Splunk Inc.,SPLK,0.58%
PayPal Holdings Inc,PYPL,0.58%
Channeladvisor Corporation,ECOM,0.58%
"SailPoint Technologies Holdings, Inc.",SAIL,0.58%
"8x8, Inc.",EGHT,0.58%
"Zscaler, Inc.",ZS,0.58%
"Dynatrace, Inc.",DT,0.58%
"Euronet Worldwide, Inc.",EEFT,0.57%
"ANSYS, Inc.",ANSS,0.57%
"Bottomline Technologies (de), Inc.",EPAY,0.57%
"Yext, Inc.",YEXT,0.57%
Oracle Corporation,ORCL,0.57%
"Duck Creek Technologies, Inc.",DCT,0.57%
"Five9, Inc.",FIVN,0.57%
"Autodesk, Inc.",ADSK,0.57%
NortonLifeLock Inc.,NLOK,0.57%
Visa Inc. Class A,V,0.57%
Pegasystems Inc.,PEGA,0.57%
"Coupa Software, Inc.",COUP,0.57%
"Take-Two Interactive Software, Inc.",TTWO,0.57%
NIC Inc.,EGOV,0.57%
"Upland Software, Inc.",UPLD,0.57%
"Q2 Holdings, Inc.",QTWO,0.57%
Progress Software Corporation,PRGS,0.57%
"LivePerson, Inc.",LPSN,0.57%
"EVO Payments, Inc. Class A",EVOP,0.57%
WEX Inc.,WEX,0.57%
"CommVault Systems, Inc.",CVLT,0.57%
"PROS Holdings, Inc.",PRO,0.57%
Accenture Plc Class A,ACN,0.56%
PTC Inc.,PTC,0.56%
Paylocity Holding Corp.,PCTY,0.56%
OneSpan Inc.,OSPN,0.56%
"CSG Systems International, Inc.",CSGS,0.56%
"Workday, Inc. Class A",WDAY,0.56%
"Ceridian HCM Holding, Inc.",CDAY,0.56%
AppFolio Inc Class A,APPF,0.56%
Xperi Holding Corporation,XPER,0.56%
"Manhattan Associates, Inc.",MANH,0.56%
